area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,CRIMPING,MUESTRAS PARA DESARROLLO,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,CRIMPING,MUESTRAS PARA DESARROLLO,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,CRIMPING,MUESTRAS PARA DESARROLLO,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,DESPANELIZADAS SIN DATOS DE AOI,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,DESPANELIZADAS SIN DATOS DE AOI,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,DESPANELIZADAS SIN DATOS DE AOI,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,MAL DESPANALIZADAS,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,MAL DESPANALIZADAS,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,MAL DESPANALIZADAS,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,SIN INTERLOCKING,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,SIN INTERLOCKING,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,SIN INTERLOCKING,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,UNIDAD CAIDA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,UNIDAD CAIDA,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,UNIDAD CAIDA,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,UNIDAD DAÑADA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,UNIDAD DAÑADA,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,DESPANALIZADO,UNIDAD DAÑADA,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,METODO,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,MANO DE OBRA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,MAQUINA,B&S,NISSAN KEY FOB CMF1
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,METODO,B&S,NISSAN KEY FOB CMF2
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,MANO DE OBRA,B&S,NISSAN KEY FOB CMF3
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,MAQUINA,B&S,NISSAN KEY FOB CMF4
BACKEND/ENSAMBLE FINAL,EMPAQUE,NO LEE DATA MATRIZ,METODO,B&S,NISSAN KEY FOB CMF5
BACKEND/ENSAMBLE FINAL,EMPAQUE,SERIAL DUPLICADO,MAQUINA,B&S,NISSAN KEY FOB CMF6
BACKEND/ENSAMBLE FINAL,EMPAQUE,SERIAL DUPLICADO,METODO,B&S,NISSAN KEY FOB CMF7
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,MANO DE OBRA,B&S,NISSAN KEY FOB CMF8
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,MAQUINA,B&S,NISSAN KEY FOB CMF9
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,METODO,B&S,NISSAN KEY FOB CMF10
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD CAIDA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF11
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD CAIDA,MAQUINA,B&S,NISSAN KEY FOB CMF12
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD CAIDA,METODO,B&S,NISSAN KEY FOB CMF13
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD YA EMPACADAS,MANO DE OBRA,B&S,NISSAN KEY FOB CMF14
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD YA EMPACADAS,MAQUINA,B&S,NISSAN KEY FOB CMF15
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD YA EMPACADAS,METODO,B&S,NISSAN KEY FOB CMF16
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA ABIERTA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF17
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA ABIERTA,MAQUINA,B&S,NISSAN KEY FOB CMF18
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA ABIERTA,METODO,B&S,NISSAN KEY FOB CMF19
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA QUEBRADA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF20
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA QUEBRADA,MAQUINA,B&S,NISSAN KEY FOB CMF21
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA QUEBRADA,METODO,B&S,NISSAN KEY FOB CMF22
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF23
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,MAQUINA,B&S,NISSAN KEY FOB CMF24
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,METODO,B&S,NISSAN KEY FOB CMF25
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCASA RAYADA,PROVEEDOR,B&S,NISSAN KEY FOB CMF26
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCAZA DAÑADA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF27
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCAZA DAÑADA,MAQUINA,B&S,NISSAN KEY FOB CMF28
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,CARCAZA DAÑADA,METODO,B&S,NISSAN KEY FOB CMF29
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,COMPONENTE FRACTURADO,MANO DE OBRA,B&S,NISSAN KEY FOB CMF30
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,COMPONENTE FRACTURADO,MAQUINA,B&S,NISSAN KEY FOB CMF31
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,COMPONENTE FRACTURADO,METODO,B&S,NISSAN KEY FOB CMF32
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,MAL ENSAMBLADA,MANO DE OBRA,B&S,NISSAN KEY FOB CMF33
