area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,EMPAQUE,EXCESO DE PASS-COUNT,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,EMPAQUE,MAL MANEJO,MANO DE OBRA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,EMPAQUE,piezas diferentes,MANO DE OBRA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,EMPAQUE,SIN PRUEBA ANTERIOR,MANO DE OBRA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDADES CAIDAS AL PISO,MANO DE OBRA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,BRACKET CHUECO,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,BRACKET MANCHADO,PROVEEDOR,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,CAMBIO DE INGENIERIA ,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,CARCASA ABIERTA,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,CARCASA QUEBRADA,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,CARCASA RAYADA,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,CARCAZA DAÑADA ,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,MAL ENSAMBLADA ,MAQUINA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,MAL FLUJO,METODO,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,UNIDAD DAÑADA,MANO DE OBRA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,FINAL ASSY,UNIDAD GOLPEADA,MANO DE OBRA,B&S,FOBS TX4 TX6
BACKEND/ENSAMBLE FINAL,KITTING,EXCESO DE PASS-COUNT,METODO,B&S,FOBS TX4 TX6
