area,tecnologia,defecto,causa,division,proyecto,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,COMPONENTE GIRADO,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,CONTAMINACION,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,DESPLAZADOS,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,FALTANTES,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,FALTA DE MATERIAL,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,MAL MANEJO,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,PANEL ABORTADO,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,PANEL ATORADO,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,PIN ELEVADO,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,POLARIDAD INVERTIDA,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,SET UP,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,TOMBSTONE,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,UNIDAD CAIDA,PROVEEDOR,B&S,GLOBAL A,,
SMD,SX2_2,ADICIONALES,MAQUINA,B&S,PEPS,,
SMD,SX2_2,BARRIDA,MAQUINA,B&S,PEPS,,
SMD,SX2_2,CANTO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,COMPONENTE DE CABEZA,MAQUINA,B&S,PEPS,,
SMD,SX2_2,COMPONENTE EQUIVOCADO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,COMPONENTE GIRADO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,CONTAMINACION,MAQUINA,B&S,PEPS,,
SMD,SX2_2,DESPLAZADOS,MAQUINA,B&S,PEPS,,
SMD,SX2_2,FALTANTES,MAQUINA,B&S,PEPS,,
SMD,SX2_2,FALTA DE MATERIAL,MAQUINA,B&S,PEPS,,
SMD,SX2_2,INSERCION MANUAL INCOMPLETA,MAQUINA,B&S,PEPS,,
SMD,SX2_2,MAL MANEJO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,PANEL ABORTADO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,PANEL ATORADO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,PIN ELEVADO,MAQUINA,B&S,PEPS,,
SMD,SX2_2,POLARIDAD INVERTIDA,MAQUINA,B&S,PEPS,,
SMD,SX2_2,SET UP,MAQUINA,B&S,PEPS,,
SMD,SX2_2,TOMBSTONE,MAQUINA,B&S,PEPS,,
SMD,SX2_2,UNIDAD CAIDA,MAQUINA,B&S,PEPS,,
