area,tecnologia,division,proyecto
SMD,AOI,PSAD,Aramis I
SMD,ASPI,PSAD,Aramis I
SMD,ASYS,PSAD,Aramis I
SMD,HORNO,PSAD,Aramis I
SMD,IMPRESION DE PASTA,PSAD,Aramis I
SMD,LASER,PSAD,Aramis I
SMD,SIPLACE,PSAD,Aramis I
SMD,SIPLACE,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,SOLDADURA DE OLA,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,ICT,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,DTA,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,POTTING,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,LAQUEADO,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,SHAKER,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,ROLL OVER,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,EMPAQUE,PSAD,Aramis I
BACKEND/ENSAMBLE FINAL,PRESSFIT,PSAD,Aramis I
