area,tecnologia,division,proyecto
 BACKEND/ENSAMBLE FINAL,Atornillado Automatico,PSAD,GM BRASIL
 BACKEND/ENSAMBLE FINAL,Empaque,PSAD,GM BRASIL
 BACKEND/ENSAMBLE FINAL,Ict,PSAD,GM BRASIL
 BACKEND/ENSAMBLE FINAL,Prueba Final,PSAD,GM BRASIL
 BACKEND/ENSAMBLE FINAL,Sawing,PSAD,GM BRASIL
PTH,Aoi de Ola,PSAD,GM BRASIL
PTH,Soldadura de Ola,PSAD,GM BRASIL
Smd,Aoi,PSAD,GM BRASIL
Smd,Aspi,PSAD,GM BRASIL
Smd,Asys,PSAD,GM BRASIL
Smd,Horno,PSAD,GM BRASIL
Smd,Impresion De Pasta,PSAD,GM BRASIL
Smd,Laser,PSAD,GM BRASIL
Smd,Siplace,PSAD,GM BRASIL
