area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,EMPAQUE,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCAZA,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,HOT MELT,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,ICT,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,OLA,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,PROGRAMING,B&S,NISSAN BCM SQUARE D
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,B&S,NISSAN BCM SQUARE D
DIAGNOSTICO,DIAGNOSTICO,B&S,NISSAN BCM SQUARE D
DIAGNOSTICO,JAULA DE CALIDAD,B&S,NISSAN BCM SQUARE D
DIAGNOSTICO,RETRABAJO,B&S,NISSAN BCM SQUARE D
SMD,AOI,B&S,NISSAN BCM SQUARE D
SMD,ASYS,B&S,NISSAN BCM SQUARE D
SMD,DEK,B&S,NISSAN BCM SQUARE D
SMD,HORNO DE REFLUJO,B&S,NISSAN BCM SQUARE D
SMD,LASER,B&S,NISSAN BCM SQUARE D
SMD,REPARACION,B&S,NISSAN BCM SQUARE D
SMD,SIPLACE,B&S,NISSAN BCM SQUARE D
WHSE,002,B&S,NISSAN BCM SQUARE D
