area,tecnologia,defecto,causa,division,proyecto,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE,PILA DESCARGADA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE,PILA DESCARGADA,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE,UNIDAD CAIDA AL PISO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE,UNIDAD CAIDA AL PISO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE,UNIDAD CAIDA AL PISO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET BARRIDO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET BARRIDO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,METODO,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET CHUECO,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET MANCHADO,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET MANCHADO,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,BRACKET MANCHADO,PROVEEDOR,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CAMBIO DE INGENIERIA,MANO DE OBRA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CAMBIO DE INGENIERIA,MAQUINA,B&S,PEPS PK  1 WAY,,,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,CAMBIO DE INGENIERIA,METODO,B&S,PEPS PK  1 WAY,,,,,
