area,tecnologia,linea,division,proyecto
SMD,AOI,Linea AB,B&S,ESCL
SMD,ASPI,Linea AB,B&S,ESCL
SMD,ASYS,Linea AB,B&S,ESCL
SMD,DEK,Linea AB,B&S,ESCL
SMD,HORNO,Linea AB,B&S,ESCL
SMD,HORNO DE REFLUJO,Linea AB,B&S,ESCL
SMD,IMPRESION DE PASTA,Linea AB,B&S,ESCL
SMD,LASER,Linea AB,B&S,ESCL
SMD,SIPLACE,Linea AB,B&S,ESCL
SMD,AOI,Linea AB,B&S,WEBASTO
SMD,ASPI,Linea AB,B&S,WEBASTO
SMD,ASYS,Linea AB,B&S,WEBASTO
SMD,DEK,Linea AB,B&S,WEBASTO
SMD,HORNO,Linea AB,B&S,WEBASTO
SMD,HORNO DE REFLUJO,Linea AB,B&S,WEBASTO
SMD,IMPRESION DE PASTA,Linea AB,B&S,WEBASTO
SMD,LASER,Linea AB,B&S,WEBASTO
SMD,SIPLACE,Linea AB,B&S,WEBASTO
SMD,AOI,Linea AB,B&S,KWAN JIN
SMD,ASPI,Linea AB,B&S,KWAN JIN
SMD,ASYS,Linea AB,B&S,KWAN JIN
SMD,DEK,Linea AB,B&S,KWAN JIN
SMD,HORNO,Linea AB,B&S,KWAN JIN
SMD,HORNO DE REFLUJO,Linea AB,B&S,KWAN JIN
SMD,IMPRESION DE PASTA,Linea AB,B&S,KWAN JIN
SMD,LASER,Linea AB,B&S,KWAN JIN
SMD,SIPLACE,Linea AB,B&S,KWAN JIN
SMD,AOI,Linea AB,B&S,PQ GATEWAY
SMD,ASPI,Linea AB,B&S,PQ GATEWAY
SMD,ASYS,Linea AB,B&S,PQ GATEWAY
SMD,DEK,Linea AB,B&S,PQ GATEWAY
SMD,HORNO,Linea AB,B&S,PQ GATEWAY
SMD,HORNO DE REFLUJO,Linea AB,B&S,PQ GATEWAY
SMD,IMPRESION DE PASTA,Linea AB,B&S,PQ GATEWAY
SMD,LASER,Linea AB,B&S,PQ GATEWAY
SMD,SIPLACE,Linea AB,B&S,PQ GATEWAY
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
