area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,PROVEEDOR,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO/GOLPEADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO/GOLPEADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,MATERIAL OBSOLETO,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PRUEBAS DE INGENIERIA,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SET UP DE EQUIPO,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,PROVEEDOR,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE ARRANCADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE DAÑADO/GOLPEADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,COMPONENTE DAÑADO/GOLPEADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR DAÑADO,PROVEEDOR,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR MANCHADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,CONECTOR MANCHADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,EXCESO DE PRUEBAS,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,MAL DISEÑO,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,MATERIAL OBSOLETO,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,MUESTRA DE ORO OBSOLETA,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,PINES DE CONECTOR SUMIDOS,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,PINES DE CONECTOR SUMIDOS,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,PRUEBAS DE INGENIERIA,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,SET UP DE EQUIPO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,DTA,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,COMPONENTE DAÑADO/GOLPEADO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,COMPONENTE DAÑADO/GOLPEADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,MATERIAL OBSOLETO,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,PINES DE CONECTOR SUMIDOS,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,PRUEBAS DE INGENIERIA,METODO,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,SERIAL DUPLICADO,MAQUINA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD GOLPEADA/DAÑADA,MANO DE OBRA,PSAD,RENAULT
BACKEND/ENSAMBLE FINAL,EMPAQUE,UNIDAD GOLPEADA/DAÑADA,MAQUINA,PSAD,RENAULT
