area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,KITTING,B&S 2,CUSW
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,APLICACION DE GRASA,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,CORONA LIMPIEZA,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,HEAT STAKE,B&S 2,CUSW UF PASE
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,PROGRAMACION,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,KITTING,B&S 2,CUSW UF RFHM
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,INSERCION DE PINES (UMG y EBERHARD),B&S 2,DCU
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE TAPA,B&S 2,DCU
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,DCU
