g,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,FALLA DE ICT,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,GOLDEN OBSOLETA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,PRUEBAS DE INGENIERIA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,SET UP,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,BROCA O DISCO DAÑADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE FRACTURADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANELIZADAS SIN DATOS DE AOI,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROGRAMA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL CORTE,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PANEL QUEBRADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PRUEBAS DE INGENIERIA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SET UP,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD GOLPEADA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,MALA SECUENCIA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,SIN INTERLOCKING,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO  BARRIDO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO CAPADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO EQUIVOCADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,TORNILLO MAL COLOCADO,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,UNIDAD CAIDA ,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ATORNILLADO,UNIDAD GOLPEADA,METODO,B&S,ABM
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,FALLA DE ICT,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,GOLDEN OBSOLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,PRUEBAS DE INGENIERIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,SET UP,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,BROCA O DISCO DAÑADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE FRACTURADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANELIZADAS SIN DATOS DE AOI,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROGRAMA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL CORTE,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PANEL QUEBRADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PRUEBAS DE INGENIERIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SET UP,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,COMPONENTE CAIDO AL PISO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,COMPONENTE EQUIVOCADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,COMPONENTE GOLPEADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,COMPONENTE MAL INSERTADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,PINES DOBLADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,COMPONENTE MAL INSERTADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,CONTAMINACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,CORTOS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,GOLDEN OBSOLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,INSUFICIENCIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,MAL FLUJO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,MUESTRAS FISICAS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,PERLAS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,PIN BOLA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,PRUEBA DE INGENIERIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,SET UP,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,SOLADADURA SOBRE PANEL,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,MINI OLA,UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,BURBUJAS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,CARCAZA DAÑADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,COMPONENTE ARRANCADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,DESPLAZADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,EXCESO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,INSUFICIENCIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,MAL MANEJO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,SET UP,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DISPENSADO de Hot Melt,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,GOLDEN OBSOLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,PESTAÑAS DOBLADAS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,SET UP,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD ABIERTA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,DAÑO POR FIXTURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,EXCESO DE PRUEBAS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,GOLDEN OBSOLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,KIT INCOMPLETO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PRUEBA DE INGENIERIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,SET UP,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,SIN EVIDENCIA DE PIN,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CORRUPTA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),DAÑO POR FIXTURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),EXCESO DE PRUEBAS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),FALLA 220 MASK ERROR,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),FALLA SYNC COUNTER EN EOL,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),GOLDEN OBSOLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),PRUEBA DE INGENIERIA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD CORRUPTA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,ADICIONALES,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,CANTO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE ARRANCADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE DE CABEZA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE EQUIVOCADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE GIRADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,CONTAMINACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,CORTOS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,DESPLAZADOS,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,DIAGNOSTICO EXHAUSTIVO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,FALTANTES,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,GOLDEN OBSOLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,INSERCION MANUAL INCOMPLETA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,INSUFICIENCIA SOLDADURA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,PIN ELEVADO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,POLARIDAD INVERTIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,TOMBSTONE,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,UNIDAD CAIDA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,UNIDAD GOLPEADA,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,MATERIAL OSBOLETO,METODO,B&S,BCM
BACKEND/ENSAMBLE FINAL,ICT,CONTAMINACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PASS-COUNT,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,FALLA DE ICT,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,GOLDEN OBSOLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,MAL FLUJO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,PRUEBAS DE INGENIERIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,SET UP,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,SIN INTERLOCKING,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,BROCA O DISCO DAÑADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COBRE EXPUESTO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE FRACTURADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,CORTE FUERA DE GUIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,DESPANELIZADAS SIN DATOS DE AOI,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROGRAMA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MAL CORTE,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PANEL QUEBRADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PRUEBAS DE INGENIERIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,SET UP,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,COMPONENTE MAL INSERTADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,CONTAMINACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,CORTOS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,GOLDEN OBSOLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,MAL FLUJO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,MUESTRAS FISICAS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,PIN BOLA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,PRUEBA DE INGENIERIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,SET UP,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,SOLADADURA SOBRE PANEL,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,OLA,UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,GOLDEN OBSOLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,PESTAÑAS DOBLADAS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,SET UP,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD ABIERTA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,COBRE EXPUESTO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,DEFECTO DE PROVEEDOR,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,DOBLE MARCADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,INFORMACION INCORRECTA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,LASER DESPLAZADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,LASER QUEMADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,LASER TENUE,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,PRUEBAS DE INGENIERIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,SERIAL DUPLICADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,LASER MARKING,UNIDADES SIN LASER,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,DAÑO POR FIXTURA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,EXCESO DE PRUEBAS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,GOLDEN OBSOLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,KIT INCOMPLETO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PRUEBA DE INGENIERIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,SET UP,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,SIN EVIDENCIA DE PIN,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD CORRUPTA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),DAÑO POR FIXTURA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),EXCESO DE PRUEBAS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),FALLA 220 MASK ERROR,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),FALLA SYNC COUNTER EN EOL,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),GOLDEN OBSOLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),PRUEBA DE INGENIERIA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD CAIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD CORRUPTA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD GOLPEADA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,FLASHING (Test Software),UNIDAD MAL COLOCADA EN FIXTURA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,ADICIONALES,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,CANTO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE ARRANCADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE DE CABEZA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE EQUIVOCADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,COMPONENTE GIRADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,CONTAMINACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,CORTOS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,DESPLAZADOS,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,DIAGNOSTICO EXHAUSTIVO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,FALTANTES,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,GOLDEN OBSOLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,INSERCION MANUAL INCOMPLETA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,INSUFICIENCIA SOLDADURA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,PIN ELEVADO,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,POLARIDAD INVERTIDA,METODO,B&S,BCM K2XX
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,TOMBSTONE,METODO,B&S,BCM K2XX
