area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,EMPAQUE,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,HEAD STAKE,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,ICT,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,INSPECCION,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,INTRODUCCION,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,OLA,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,PROGRAMING,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,ROUTER,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,B&S,PEPS PK  1 WAY
DIAGNOSTICO,INTRODUCCION,B&S,PEPS PK  1 WAY
DIAGNOSTICO,JAULA DE CALIDAD,B&S,PEPS PK  1 WAY
DIAGNOSTICO,RETRABAJO,B&S,PEPS PK  1 WAY
SMD,ASYS,B&S,PEPS PK  1 WAY
SMD,DEK,B&S,PEPS PK  1 WAY
SMD,HF3,B&S,PEPS PK  1 WAY
SMD,HORNO DE REFLUJO,B&S,PEPS PK  1 WAY
SMD,HS 60,B&S,PEPS PK  1 WAY
SMD,INTRODUCCION,B&S,PEPS PK  1 WAY
SMD,LASER,B&S,PEPS PK  1 WAY
SMD,REPARACION,B&S,PEPS PK  1 WAY
SMD,SIPLACE,B&S,PEPS PK  1 WAY
SMD,SX1_1,B&S,PEPS PK  1 WAY
SMD,SX1_2,B&S,PEPS PK  1 WAY
SMD,SX2_1,B&S,PEPS PK  1 WAY
SMD,SX2_2,B&S,PEPS PK  1 WAY
SMD,SX2_3,B&S,PEPS PK  1 WAY
WHSE,002,B&S,PEPS PK  1 WAY
WHSE,INTRODUCCION,B&S,PEPS PK  1 WAY
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,EMPAQUE,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,ENSAMBLE,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE BRACKET,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE CARCASA,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,HEAD STAKE,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,ICT,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,INSPECCION,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,INTRODUCCION,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,OLA,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,PROGRAMING,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,ROUTER,B&S,PEPS PK Lincoln Embrace
BACKEND/ENSAMBLE FINAL,SAFE LAUNCH,B&S,PEPS PK Lincoln Embrace
DIAGNOSTICO,INTRODUCCION,B&S,PEPS PK Lincoln Embrace
DIAGNOSTICO,JAULA DE CALIDAD,B&S,PEPS PK Lincoln Embrace
DIAGNOSTICO,RETRABAJO,B&S,PEPS PK Lincoln Embrace
SMD,ASYS,B&S,PEPS PK Lincoln Embrace
SMD,DEK,B&S,PEPS PK Lincoln Embrace
SMD,HF3,B&S,PEPS PK Lincoln Embrace
SMD,HORNO DE REFLUJO,B&S,PEPS PK Lincoln Embrace
SMD,HS 60,B&S,PEPS PK Lincoln Embrace
SMD,INTRODUCCION,B&S,PEPS PK Lincoln Embrace
SMD,LASER,B&S,PEPS PK Lincoln Embrace
SMD,REPARACION,B&S,PEPS PK Lincoln Embrace
SMD,SIPLACE,B&S,PEPS PK Lincoln Embrace
SMD,SX1_1,B&S,PEPS PK Lincoln Embrace
SMD,SX1_2,B&S,PEPS PK Lincoln Embrace
SMD,SX2_1,B&S,PEPS PK Lincoln Embrace
SMD,SX2_2,B&S,PEPS PK Lincoln Embrace
SMD,SX2_3,B&S,PEPS PK Lincoln Embrace
WHSE,002,B&S,PEPS PK Lincoln Embrace
WHSE,INTRODUCCION,B&S,PEPS PK Lincoln Embrace
