No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
424200	3/6/2014	ZSCR	551	034-2	NA	'054	5WY72520	NA	A2C00022954	435	3011	054	 	1342	"22uH,1.25A,HOL,COIL/B82144-F"	NA	ROH	NA	317.55	OES_HONDA ACCORD_.	NO	
424200	3/6/2014	ZSCR	551	034-2	NA	'054	A2C53082583	NA	A2C00022954	315	3011	054	 	1342	"22uH,1.25A,HOL,COIL/B82144-F"	NA	ROH	NA	229.95	OES_HONDA ACCORD_.	NO	
424205	3/6/2014	ZSCR	551	030-1	NA	'054	A2C8397190092	NA	A2C34638400	28	3011	054	 	1301	pcb 6-lay main	NA	ROH	NA	694.68	PS_SDM10+_C.CAROLINA OT	NO	
424208	3/6/2014	ZSCR	551	030-1	NA	'054	5WK44822	NA	A2C32679900	60	3011	054	 	1301	pcb	NA	ROH	NA	1176	PS_HONDA HRS6_J.JUAN CH	NO	
424369	3/6/2014	ZSCR	551	034-2	NA	'054	A2C3268040002	NA	A2C53330109	19	3011	054	 	1342	socket	NA	ROH	NA	343.9	PS_HONDA HRS6_J.JUAN CH	NO	
424376	3/6/2014	ZSCR	551	034-2	NA	'054	A2C81768403	NA	A2C32523400	1	3011	054	 	1342	base plate B	NA	ROH	NA	10.2	PSAD_DAIMLER STAR 2_A.A	NO	4975876902
424389	3/6/2014	ZSCR	551	034-2	NA	'054	A2C53106455	NA	6590160301	1	3011	054	 	1342	Housing Ford Airbags	NA	ROH	NA	17.45	PS_FORD_.	NO	
424424	3/6/2014	ZSCR	551	034-2	NA	'054	A2C37744300	NA	A2C53330103	4	3011	054	 	1342	socket	NA	ROH	NA	41.8	PS_HONDA HRS6_J.JUAN CH	NO	
424424	3/6/2014	ZSCR	551	034-2	NA	'054	A2C32453903	NA	A2C53330109	2	3011	054	 	1342	socket	NA	ROH	NA	36.2	PS_HONDA HRS6_J.JUAN CH	NO	
424482	3/6/2014	ZSCR	551	034-2	NA	'054	A2C53350937MI	NA	A2C53345668	1	3011	054	 	1342	multipoint connector 96P H 2SYS D-A	NA	ROH	NA	35.13	PS_ARAMIS III_E.EDWIN R	NO	
424486	3/6/2014	ZSCR	551	034-2	NA	'054	A2C85215000	NA	A2C53330106	1	3011	054	 	1342	socket	NA	ROH	NA	13.71	PS_HONDA HRS6_J.JUAN CH	NO	
424486	3/6/2014	ZSCR	551	034-2	NA	'054	A2C32453905	NA	A2C53330109	1	3011	054	 	1342	socket	NA	ROH	NA	18.1	PS_HONDA HRS6_J.JUAN CH	NO	
424622	3/7/2014	ZSCR	551	034-2	NA	'054	A2C91763900	NA	A2C40000022	7	3011	054	 	1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	47.11	PS_SDM10+_C.CAROLINA OT	NO	4975877021
424622	3/7/2014	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C40000025	1	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	6.83	PS_SDM10+_C.CAROLINA OT	NO	
424622	3/7/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53395713	1	3011	054	 	1342	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM10+_C.CAROLINA OT	NO	
424630	3/7/2014	ZSCR	551	034-2	NA	'054	A2C87075000	NA	A2C53333522	1	3011	054	 	1342	COVER	NA	ROH	NA	2.36	PS_SDM10+_C.CAROLINA OT	NO	
424630	3/7/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	NA	ROH	NA	33	PS_SDM10+_C.CAROLINA OT	NO	4975876738
424657	3/7/2014	ZSCR	551	030-1	NA	'054	A2C8254490092	NA	A2C82538800	4	3011	054	 	1301	pcb 4-lay Series	NA	ROH	NA	98.76	PSAD_OPEL 4400_J.JOSE O	NO	
424800	3/7/2014	ZSCR	551	034-2	NA	'054	5WK44285	2	5WK44285	2	3011	054	 	1342	MODULE CONTROL FOR AIRBAG VW10 RdW	NA	FERT	NA	462.92	PS_VW10 LC_U.ULISES VIL	NO	
424801	3/7/2014	ZSCR	551	034-2	NA	'054	5WK44285	2	5WK44285	2	3011	054	 	1342	MODULE CONTROL FOR AIRBAG VW10 RdW	NA	FERT	NA	462.92	PS_VW10 LC_U.ULISES VIL	NO	
424802	3/7/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C91764200	1	3011	054	 	1342	ACU MY14 12 SDM30.12R	NA	FERT	NA	413.51	PS_SDM10+_C.CAROLINA OT	NO	
424803	3/7/2014	ZSCR	551	040-1	NA	'054	A2C82541900	NA	A2C82542000	2	3011	054	 	1401	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	479.34	PSAD_OPEL 4400_J.JOSE O	NO	
424804	3/7/2014	ZSCR	551	050-3	NA	'054	A2C82541900	NA	A2C82542000	1	3011	054	 	1503	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	239.67	PSAD_OPEL 4400_J.JOSE O	NO	
424805	3/7/2014	ZSCR	551	034-2	NA	'054	A2C82541900	NA	A2C82542000	1				1342	pcb assy OPLA4400 4401XESE	NA	HALB	S.Real	239.67	PSAD_OPEL 4400_J.JOSE O	NO	4975876267
424808	3/7/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C86852400	1	3011	054	 	1401	ACU PTFSPEED10 MY13 12 UD 4DR FL	NA	FERT	NA	228.84	PS_HYUNDAI_.	NO	
424811	3/7/2014	ZSCR	551	040-3	NA	'054	A2C83016700	NA	A2C83016700	2	3011	054	 	1403	ACU PSAG3I 8-V CAN	NA	FERT	NA	638.28	PSAD_PSA MAGNA_J.JOSE O	NO	
424812	3/7/2014	ZSCR	551	040-2	NA	'054	5WK44675	NA	A2C53408763	1	3011	054	 	1402	pcb assy FIA326 OCS V15	NA	HALB	S.Real	154.96	PS_FIAT BRAZIL_E.EDWIN	NO	
424814	3/7/2014	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C91764200	1	3011	054	 	1342	ACU MY14 12 SDM30.12R	NA	FERT	NA	413.51	PS_SDM30_C.CAROLINA OTA	NO	
424815	3/7/2014	ZSCR	551	040-2	NA	'054	A2C83377600	NA	A2C83377600	1	3011	054	 	1402	ACU RCMT5 MY10 Landrover	NA	FERT	NA	503.73	PSAD_LAND ROVER_J.JOSE	NO	
424816	3/7/2014	ZSCR	551	040-2	NA	'054	A2C32453907	NA	A2C32453907	1	3011	054	 	1402	ACU DAGSTAR2 MY12 RO 24 W/V/X222mi	NA	FERT	NA	427.76	PSAD_DAIMLER STAR 2_A.A	NO	
424817	3/7/2014	ZSCR	551	042-4	NA	'054	A2C80645000	NA	A2C81532800	1	3011	054	 	1424	pcb assy DAGARM3 V12	NA	HALB	S.Real	330.02	PS_ARAMIS III_E.EDWIN R	NO	
424820	3/7/2014	ZSCR	551	040-3	NA	'054	5WK44252	2	5WK44252	3	3011	054	 	1403	BoSe VW	NA	FERT	NA	312.09	OC_BOSE VW_A.ANA TAPIA-	NO	
424844	3/7/2014	ZSCR	551	040-1	NA	'054	A2C86816800	NA	A2C86617100	1				1401	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	4975876467
424847	3/7/2014	ZSCR	551	040-1	NA	'054	A2C82347400	NA	A2C81533000	1	3011	054	 	1401	pcb assy DAGARM3 V13	NA	HALB	S.Real	507.23	PS_ARAMIS III_E.EDWIN R	NO	
424848	3/7/2014	ZSCR	551	040-1	NA	'054	A2C38081602	NA	A2C53375496	1	3011	054	 	1401	pcb assy DAGARM3 V04	NA	HALB	S.Real	296.44	PS_ARAMIS III_E.EDWIN R	NO	
424849	3/7/2014	ZSCR	551	040-1	NA	'054	A2C86816800	NA	A2C86617100	1				1401	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	4975876467
424851	3/7/2014	ZSCR	551	042-4	NA	'054	A2C80645001	NA	A2C81532800	1	3011	054	 	1424	pcb assy DAGARM3 V12	NA	HALB	S.Real	330.02	PS_ARAMIS III_E.EDWIN R	NO	
424853	3/7/2014	ZSCR	551	034-2	NA	'054	5WK44252	2	5WK44252	2	3011	054	 	1342	BoSe VW	NA	FERT	NA	208.06	OC_BOSE VW_A.ANA TAPIA-	NO	
