No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
127888	ZSCR	551	034-2	NA	5WK49598	NA	A2C53239500	30	pin header 12P V 2R THP GY	NA	ROH	NA	196.2	4956506003
127890	ZSCR	551	030-1	NA	A2C53249259	NA	A2C53216585	4	pcb panel multiple 4-up	NA	ROH	NA	94.24	4956505930
127897	ZSCR	551	030-1	NA	5WK49717	NA	A2C53293773	8	pcb HONDA ZZDIV	NA	ROH	NA	96.48	
127928	ZSCR	551	034-2	NA	5WK49598	NA	A2C00046724	7	"1A,14V,HOL,OTHER,SWITCH/"	NA	ROH	NA	76.58	4956506003
127928	ZSCR	551	034-2	NA	5WK49598	NA	A2C53239500	7	pin header 12P V 2R THP GY	NA	ROH	NA	45.78	4956506003
127974	ZSCR	551	034-2	NA	5WK49525	NA	A2C53251339	3	Housing cover JPN variant 4 buttons	NA	ROH	NA	18.57	4956505998
127974	ZSCR	551	034-2	NA	A2C53278275	NA	A2C53278277	1	button	NA	ROH	NA	4.51	4956506138
127974	ZSCR	551	034-2	NA	5WK49684	NA	A2C53278278	1	button	NA	ROH	NA	4.2	4956506020
127974	ZSCR	551	034-2	NA	5WK49685	NA	A2C53278279	1	button	NA	ROH	NA	4.42	4956506027
127974	ZSCR	551	034-2	NA	5WK49859	NA	A2C53278292	1	housing	NA	ROH	NA	42.64	4956506032
127975	ZSCR	551	034-2	NA	5WK49830	NA	A2C53251339	1	Housing cover JPN variant 4 buttons	NA	ROH	NA	6.19	4956506030
127975	ZSCR	551	034-2	NA	5WK49682	NA	A2C53251340	1	Housing cover JPN variant 3 buttons PSD	NA	ROH	NA	6.19	4956506015
127975	ZSCR	551	034-2	NA	5WK49685	NA	A2C53278279	1	button	NA	ROH	NA	4.51	4956506027
127975	ZSCR	551	034-2	NA	5WK49685	NA	A2C53278279	1	button	NA	ROH	NA	4.2	4956506027
127975	ZSCR	551	034-2	NA	5WK49685	NA	A2C53278279	1	button	NA	ROH	NA	4.42	4956506027
127975	ZSCR	551	034-2	NA	5WK49859	NA	A2C53278292	1	housing	NA	ROH	NA	42.64	4956506032
127976	ZSCR	551	034-2	NA	5WK49521	NA	A2C53248676	2	inner housing	NA	ROH	NA	5.28	4956505994
127976	ZSCR	551	034-2	NA	5WK49521	NA	A2C53248677	2	cover inner housing	NA	ROH	NA	3.3	4956505994
127976	ZSCR	551	034-2	NA	5WK49521	NA	A2C53251346	8	FOB HONDA LOGO	NA	ROH	NA	43.6	4956505994
127981	ZSCR	551	034-2	NA	5WK49990	NA	A2C53249345	2	housing assy	NA	ROH	NA	10.84	4956506073
