No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
101829	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C5337495300	2	3011	073		1344	Controlboard Ford Cuautla	NA	ROH	NA	584.98	4955034615
101829	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C5337495100	2	3011	073		1344	Powerboard Ford Cuautla	NA	ROH	NA	812.24	4955034615
101833	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C53323962	2	3011	073		1344	pin connector 30P 3R	NA	ROH	NA	15.3	4955034615
101833	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C53331069	1	3011	073		1344	electronic assy DIV ZZDIV	NA	ROH	NA	64.47	4955034615
101833	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C53323960	2	3011	073		1344	pin connector 29P 3R	NA	ROH	NA	17.64	4955034615
101833	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C53331127	1	3011	073		1344	multipoint connector 86P H 2SYS BK	NA	ROH	NA	55.81	4955034615
101833	ZSCR	551	034-4	NA	A2C53374953PC	NA	A2C5337495100	1	3011	073		1344	Powerboard Ford Cuautla	NA	ROH	NA	406.12	4955034615
101834	ZSCR	551	040-2	NA	A2C53374953PC	NA	A2C53331127	6	3011	073		1402	multipoint connector 86P H 2SYS BK	NA	ROH	NA	334.86	4955034615
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6521010706	1	3011	073		1401	SOPORTE PARA CAPACITOR RM15	NA	ROH	NA	1.02	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6521017002	1	3011	073		1401	CONECTOR X2 CEC I	NA	ROH	NA	61.38	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6576372038	2	3011	073		1401	"INDUCTOR, 4.7UH, 12.7X30.5"	NA	ROH	NA	10.3	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6596672047	1	3011	073		1401	"IC, LMB1029, TO 220"	NA	ROH	NA	0.3	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6592392085	2	3011	073		1401	"330UF,30%,63V,HOL,AL,ELEC CAP/"	NA	ROH	NA	35.68	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6521011304	7	3011	073		1401	TUERCA M4	NA	ROH	NA	0.84	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6521010709	7	3011	073		1401	PERNO DE UNION NAVYSTAR	NA	ROH	NA	23.03	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6593352098	1	3011	073		1401	"0R5,1%,TK0,10W,R_TO220,FIX RES"	NA	ROH	NA	9.41	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6594312007	3	3011	073		1401	"DIODO, MUR840, TO 220"	NA	ROH	NA	6	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	A2C00065102	8	3011	073		1401	"1RANSISTOR, IRF9640, TO 220"	NA	ROH	NA	37.36	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6594392053	1	3011	073		1401	"1UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	1.65	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6594602055	6	3011	073		1401	BIP TRANSISTOR / TIP32C_______	NA	ROH	NA	9.6	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6594602092	1	3011	073		1401	"TRANSISTOR,MJE15031,TO220 AB"	NA	ROH	NA	2.44	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	A2C00022085	2	3011	073		1401	"1,42V,38mOhm,TO220-AB/5,GENERAL PURPOSE,"	NA	ROH	NA	23.52	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6591602099	2	3011	073		1401	"TRANSISTOR, BUZ31L, TO 220"	NA	ROH	NA	8.54	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	A2C00011060	4	3011	073		1401	"60V,30mOhm,TO220-AB/5,GENERAL PURPOSE,HI"	NA	ROH	NA	30.44	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6521017001	1	3011	073		1401	CONECTOR X1 CEC I	NA	ROH	NA	61.38	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	6593352097	2	3011	073		1401	"0R12,1%,TK0,10W,R_TO220,FIX RE"	NA	ROH	NA	18.82	4955034521
101937	ZSCR	551	040-1	NA	5WY7050RU	NA	A2C00040366	2	3011	073		1401	"1,N_CHAN,MOS,POWER,200V,7A,400mOhm,TO-22"	NA	ROH	NA	5.86	4955034521
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C5337495100	8	3011	073		1105	Powerboard Ford Cuautla	QN410079908	ROH	NA	3248.96	4955034333
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C5337495300	8	3011	073		1105	Controlboard Ford Cuautla	QN410079908	ROH	NA	2339.92	4955034333
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C53331127	8	3011	073		1105	multipoint connector 86P H 2SYS BK	QN410079908	ROH	NA	446.48	4955034333
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C53338187	40	3011	073		1105	"spacer bushing 4,50x10,00x10,00mm"	QN410079908	ROH	NA	37.6	4955034333
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C53323960	16	3011	073		1105	pin connector 29P 3R	QN410079908	ROH	NA	141.12	4955034333
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C53323962	16	3011	073		1105	pin connector 30P 3R	QN410079908	ROH	NA	122.4	4955034333
102310	MB1A	551	010-5	B30301-02610	NA	NA	A2C53331069	8	3011	073		1105	electronic assy DIV ZZDIV	QN410079908	ROH	NA	515.76	4955034333
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C5337495100	3	3011	073		1103	Powerboard Ford Cuautla	QN410079889	ROH	NA	1218.36	4955034359
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C5337495300	3	3011	073		1103	Controlboard Ford Cuautla	QN410079889	ROH	NA	877.47	4955034359
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C53331127	3	3011	073		1103	multipoint connector 86P H 2SYS BK	QN410079889	ROH	NA	167.43	4955034359
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C53338187	15	3011	073		1103	"spacer bushing 4,50x10,00x10,00mm"	QN410079889	ROH	NA	14.1	4955034359
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C53323960	6	3011	073		1103	pin connector 29P 3R	QN410079889	ROH	NA	52.92	4955034359
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C53323962	6	3011	073		1103	pin connector 30P 3R	QN410079889	ROH	NA	45.9	4955034359
102315	MB1A	551	010-3	B30301-02610	NA	NA	A2C53331069	3	3011	073		1103	electronic assy DIV ZZDIV	QN410079889	ROH	NA	193.41	4955034359
102378	MB1A	551	010-3	B30301-02610	NA	NA	A2C53323962	1260	3011	073		1103	pin connector 30P 3R	QN410071346	ROH	NA	9639	4955028934
102394	ZSCR	551	040-2	NA	A2C53351437P	NA	A2C53331069	1	3011	073		1402	electronic assy DIV ZZDIV	NA	ROH	NA	64.47	4955034597
102428	ZSCR	551	040-5	NA	5WY8463	NA	A2C53390573	1	3011	073		1405	laminated PCB FOR MY10 V8/V	NA	ROH	NA	99.76	4955034536
102428	ZSCR	551	040-5	NA	5WY8463	NA	A2C53255998	1	3011	073		1405	multipoint connector 190P H 3SYS DCC	NA	ROH	NA	56.1	4955034536
102432	ZSCR	551	040-5	NA	5WY8463	NA	A2C53390573	1	3011	073		1405	laminated PCB FOR MY10 V8/V	NA	ROH	NA	99.76	4955034536
102432	ZSCR	551	040-5	NA	5WY8463	NA	A2C53255998	1	3011	073		1405	multipoint connector 190P H 3SYS DCC	NA	ROH	NA	56.1	4955034536
102633	ZSCR	551	040-1	NA	A2C53351437E	NA	A2C53331127	1	3011	073		1401	multipoint connector 86P H 2SYS BK	NA	ROH	NA	55.81	4955034594
102633	ZSCR	551	040-1	NA	A2C53351437E	NA	A2C53331069	1	3011	073		1401	electronic assy DIV ZZDIV	NA	ROH	NA	64.47	4955034594
102633	ZSCR	551	040-1	NA	A2C53351437E	NA	A2C53338187	5	3011	073		1401	"spacer bushing 4,50x10,00x10,00mm"	NA	ROH	NA	4.7	4955034594
102633	ZSCR	551	040-1	NA	A2C53351437E	NA	A2C53323960	2	3011	073		1401	pin connector 29P 3R	NA	ROH	NA	17.64	4955034594
102633	ZSCR	551	040-1	NA	A2C53351437E	NA	A2C53323962	2	3011	073		1401	pin connector 30P 3R	NA	ROH	NA	15.3	4955034594
102658	ZSCR	551	050-3	NA	5WY8906	NA	A2C53255998	16	3011	073		1503	multipoint connector 190P H 3SYS DCC	NA	ROH	NA	897.6	4955034578
