No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
135206	ZSCR	551	040-2	NA	A2C53430026	NA	A2C53429648	38	3011	050		1402	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	3.04	S1SPDJBSISTEMA.APROB	4957301342
139372	ZSCR	551	035-1	NA	5WY9011	NA	A2C53428199	1414	3011	050		1351	"PIN,NAT"	NA	ROH	NA	84.84	S1TIPMLOGICSISTEMA.	4957301105
139442	ZSCR	551	034-2	NA	5WK49308	NA	A2C53379740	2	3011	015		1342	housing bottom	NA	ROH	NA	2.54	S5TXKSISTEMA.APROBAC	4957300720
139846	ZSCR	551	034-2	NA	5WK49308	NA	A2C53379740	6	3011	015		1342	housing bottom	NA	ROH	NA	7.62	S5TXK(APROBACIONAU	4957300720
140459	ZSCR	551	040-1	NA	5WY8848	NA	A2C53430025	3				1401	MY09 SPDJB PROGRAM ASM MODEL C	NA	HALB	S.Real	913.38	S1SPDJB(APROBACION	4957299566
140461	ZSCR	551	030-1	NA	A2C53430102T	NA	A2C53430027	2	3011	050		1301	PCB MY09 SPDJB	NA	ROH	NA	107.54	S1SPDJB(APROBACION	4957300657
140465	ZSCR	551	040-1	NA	5WY8848	NA	A2C53430025	4				1401	MY09 SPDJB PROGRAM ASM MODEL C	NA	HALB	S.Real	1217.84	S1SPDJB(APROBACION	4957299566
140466	ZSCR	551	040-5	NA	A2C53430026	NA	A2C53429644	116	3011	050		1405	"26 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	809.68	S1SPDJB(APROBACION	4957301431
140468	ZSCR	551	040-5	NA	A2C53430026	NA	A2C53429645	80	3011	050		1405	"14 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	237.6	S1SPDJB(APROBACION	4957301431
140470	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428227	8	3011	050		1342	PIN	NA	ROH	NA	1.6	S1TIPMMEDIUM(APROB	4957300951
140470	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428228	84	3011	050		1342	PIN	NA	ROH	NA	16.8	S1TIPMMEDIUM(APROB	4957300951
140470	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428229	8	3011	050		1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	1.76	S1TIPMMEDIUM(APROB	4957300951
