No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
173025	28/06/2012	ZSCR	551	034-2	NA	6592827601V02	NA	A2C00016838	890	3011	054		1342	connector pin	NA	ROH	NA	249.2	OC_OCS NISSAN_GERARDO E	NO	4959357282
173025	28/06/2012	ZSCR	551	034-2	NA	5WK43955	NA	A2C53095018	27	3011	054		1342	"label 58,00x 20,00mm white foil"	NA	ROH	NA	4.32	OC_OCS NISSAN_GERARDO E	NO	4959357242
173025	28/06/2012	ZSCR	551	034-2	NA	6592827601V02	NA	A2C53140271	1	3011	054		1342	cable harness	NA	ROH	NA	23.6	OC_OCS NISSAN_GERARDO E	NO	4959357282
173735	30/06/2012	ZSCR	551	040-2	NA	5WK44123	NA	A2C53125065	2	3011	054		1402	multipoint connector 96P H 2SYS C-B	NA	ROH	NA	43.68	PS_ARAMIS 2011_GERARDO	NO	4959357350
173736	30/06/2012	ZSCR	551	040-2	NA	5WY89350	NA	A2C30202900	6	3011	054		1402	multipoint connector 84P H 2SYS AFAD	NA	ROH	NA	156.36	PS_ARAMIS 2013_GERARDO	NO	4959357408
173737	30/06/2012	ZSCR	551	040-2	NA	5WY79010	NA	6590162701	3	3011	054		1402	CONNECTOR KEY A-G VN127 RCM3V	NA	ROH	NA	70.68	PS_FORD_GERARDO ECHEAGA	NO	4959357714
173746	30/06/2012	ZSCR	551	034-2	NA	A2C53389836	NA	A2C00049991	161	3011	054		1342	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	189.98	PS_ARAMIS II MCG_GERARD	NO	4959357669
173749	30/06/2012	ZSCR	551	034-2	NA	A2C53142463	NA	A2C00042364	20	3011	054		1342	"120uF,20%,50V,HOL,AL,ELEC CAP/UPW1H121MP"	NA	ROH	NA	14.6	PS_HONDA ACCORD_GERARDO	NO	4959357723
173750	30/06/2012	ZSCR	551	040-5	NA	5WK44096	NA	6593757501	60	3011	054		1405	Bracket Capacitor Cap Cradle	NA	ROH	NA	68.4	PS_ARAMIS III_GERARDO E	NO	4959357694
174264	02/07/2012	ZSCR	551	034-2	NA	5WK44288		5WK44288	1				1342	MODULE CONTROL FOR AIRBAG VW10G NAR	NA	FERT	NA	305.56	PS_VW10 LC_GERARDO ECHE	NO	4959357998
174266	02/07/2012	ZSCR	551	034-2	NA	5WK44288		5WK44288	1				1342	MODULE CONTROL FOR AIRBAG VW10G NAR	NA	FERT	NA	305.56	PS_VW10 LC_GERARDO ECHE	NO	4959357998
174267	02/07/2012	ZSCR	551	034-2	NA	5WK44285		5WK44285	1				1342	MODULE CONTROL FOR AIRBAG VW10 RdW	NA	FERT	NA	287.51	PS_VW10 LC_GERARDO ECHE	NO	4959358014
174279	02/07/2012	ZSCR	551	042-4	NA	5WK44252		5WK44252	1				1424	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	NO	4959358026
174281	02/07/2012	ZSCR	551	034-2	NA	5WK44739	NA	A2C53108387	10	3011	054		1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	1.9	PS_ARAMIS III_GERARDO E	NO	4959357704
174281	02/07/2012	ZSCR	551	034-2	NA	5WK44739	NA	A2C53245952	2	3011	054		1342	"housing FIP 152,0x 135,7"	NA	ROH	NA	38.32	PS_ARAMIS III_GERARDO E	NO	4959357704
174281	02/07/2012	ZSCR	551	034-2	NA	5WK44739	NA	A2C53371768	2	3011	054		1342	cover FIP T GY	NA	ROH	NA	7.28	PS_ARAMIS III_GERARDO E	NO	4959357704
174283	02/07/2012	ZSCR	551	034-2	NA	5WK44288	NA	A2C00014717	15	3011	054		1342	"pan head screw SF-M4 x 10,00 1241"	NA	ROH	NA	3.6	PS_VW10 LC_GERARDO ECHE	NO	4959357940
174283	02/07/2012	ZSCR	551	034-2	NA	5WK44288	NA	A2C00027390	3	3011	054		1342	COVER	NA	ROH	NA	10.2	PS_VW10 LC_GERARDO ECHE	NO	4959357940
174283	02/07/2012	ZSCR	551	034-2	NA	5WK44287	NA	A2C53163642	3	3011	054		1342	housing FIP	NA	ROH	NA	56.43	PS_VW10 LC_GERARDO ECHE	NO	4959357940
174343	02/07/2012	ZSCR	551	034-2	NA	5WK44252	NA	A2C53355144	1	3011	054		1342	housing	NA	ROH	NA	4.04	OC_BOSE VW_GERARDO ECHE	NO	4959356986
