No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
199009	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	1				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199013	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C31080700	1				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4960823682	
199014	30/08/2012	ZSCR	551	030-1	NA	'054	5WK44742	NA	A2C53375499MI2	1				1301	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	338.82	PS_ARAMIS III_GERARDO E	NO	4960823546	
199015	30/08/2012	ZSCR	551	030-1	NA	'054	5WK44508	NA	A2C53416946	1				1301	ACU VW10 MY10 8 RdW	NA	HALB	S.Real	228.45	PS_VW10 LC_GERARDO ECHE	NO	4960823612	
199016	30/08/2012	ZSCR	551	030-1	NA	'054	5WK44288	NA	A2C53367547	1				1301	ACU VW10 MY10 16 NAR BOSE	NA	HALB	S.Real	283.53	PS_VW10 LC_GERARDO ECHE	NO	4960823620	
199019	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C53412223	1				1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	NO	4960823722	
199021	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C53412223	1				1095	GMB SMT Top side	NA	HALB	S.Real	142.46	PSAD_GM BRASIL_GERARDO	NO	4960823722	
199024	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070093	1				1095	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	334.15	PS_CHRYSLER MY2013_GERA	NO	4960823682	
199027	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070092	1				1095	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	132.15	PS_CHRYSLER MY2013_GERA	NO	4960823794	
199029	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C3108070092	1				1095	SMT Bot Chrysler RT ORC MY13	NA	HALB	S.Real/AutoBF	132.15	PS_CHRYSLER MY2013_GERA	NO	4960823794	
199031	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C32509000	1				1095	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	160.36	PSAD_VW20_GERARDO ECHEA	NO	4960823776	
199039	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199040	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199041	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199042	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199043	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199044	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199045	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199046	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199047	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199048	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199050	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199052	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199054	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	2				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	174.02	PS_ARAMIS III_GERARDO E	NO	4960823434	
199055	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498MI	NA	A2C53375498A	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	413.41	PS_ARAMIS III_GERARDO E	NO	4960823556	
199059	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199061	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199063	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199064	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199066	30/08/2012	ZSCR	551	030-1	NA	'054	A2C53375498A	NA	A2C53375498B	1				1301	SMD Assy X204 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real/AutoBF	87.01	PS_ARAMIS III_GERARDO E	NO	4960823434	
199068	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	1				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199069	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	2				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	714.98	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199071	30/08/2012	MB1A	551	030-1	K96019	'054	NA	NA	A2C80216600	1				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199073	30/08/2012	ZSCR	551	030-1	NA	'054	5WY78881	NA	A2C53241830	1				1301	circuit board assy	NA	HALB	S.Real	255.28	PS_FORD_GERARDO ECHEAGA	NO	4960823496	
199075	30/08/2012	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1				1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	NO	4960823558	
199076	30/08/2012	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1				1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	NO	4960823558	
199078	30/08/2012	ZSCR	551	030-1	NA	'054	5WK44551	NA	A2C53287874	1				1301	pcb assy	NA	HALB	S.Real	57.99	OC_OCS NISSAN_GERARDO E	NO	4960823558	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80216600	6				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	2144.94	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80217300	5				1095	pcb assy HONHRS6 V06	NA	HALB	S.Real	1038.6	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80217700	4				1095	pcb assy HONHRS6 V20	NA	HALB	S.Real	1419.28	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80256400	2				1095	pcb assy HONHRS6 V07	NA	HALB	S.Real	416.48	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80323100	2				1095	pcb assy HONHRS6 V10	NA	HALB	S.Real	399.62	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80323400	8				1095	pcb assy HONHRS6 V08	NA	HALB	S.Real	1663.6	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199098	30/08/2012	MB1A	551	022-2	K96019	'054	NA	NA	A2C80323600	4				1095	pcb assy HONHRS6 V19	NA	HALB	S.Real	830.96	PS_HONDA HRS6_GERARDO E	NO	4960823708	
199122	30/08/2012	ZSCR	551	034-2	NA	'054	5WK43758	NA	A2C53193004	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	481.46	OC_OCS NISSAN_GERARDO E	NO	4960823327	
199128	30/08/2012	ZSCR	551	034-2	NA	'054	5WK43760	NA	A2C53221384	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	487.76	OC_OCS NISSAN_GERARDO E	NO	4960823331	
198864	30/08/2012	ZSCR	551	040-3	NA	'054	5WK44366	NA	A2C53279728	2				1403	keypad assy	NA	HALB	S.Real/AutoBF	995.48	OC_OCS NISSAN_GERARDO E	NO	4960823340	
198863	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44047	NA	A2C53296568	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	502.55	OC_OCS NISSAN_GERARDO E	NO	4960823348	
199118	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44047	NA	A2C53296568	2				1342	keypad assy	NA	HALB	S.Real/AutoBF	1005.1	OC_OCS NISSAN_GERARDO E	NO	4960823370	
199131	30/08/2012	ZSCR	551	040-2	NA	'054	5WK43521	NA	A2C53106605	1				1402	keypad assy	NA	HALB	S.Real/AutoBF	647.24	OC_OCS SUZUKI_GERARDO E	NO	4960823385	
199132	30/08/2012	ZSCR	551	034-2	NA	'054	5WK43521	NA	A2C53106605	1				1342	keypad assy	NA	HALB	S.Real/AutoBF	647.24	OC_OCS SUZUKI_GERARDO E	NO	4960823395	
199138	30/08/2012	ZSCR	551	034-2	NA	'054	5WK42560	NA	A2C53328548	4				1342	keypad assy	NA	HALB	S.Real/AutoBF	2009.2	OC_OCS NISSAN_GERARDO E	NO	4960823376	
