No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	338144
369495	10/29/2013	ZSCR	551	035-1	0	'050	A2C8158270093	NA	A2C00034028	103	3011	050	 	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	2.06	S1_TG1C NISSAN_.	NO		
369495	10/29/2013	ZSCR	551	035-1	0	'050	A2C3735150093	NA	A2C00034028	107	3011	050	 	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	2.14	S1_TG1C NISSAN_.	NO		
369495	10/29/2013	ZSCR	551	035-1	0	'050	A2C3156350093	NA	A2C00034028	154	3011	050	 	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	3.08	S1_TG1C NISSAN_.	NO		
369495	10/29/2013	ZSCR	551	035-1	0	'050	A2C3144250092	NA	A2C00049349	1	3011	050	 	1351	"4pF,0.1pF,50V,C0G,0402,Sn,CER CAP/++ RF-"		ROH	NA	0.02	S1_TG1C NISSAN_.	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412B	NA	A2C00003692	45	3011	050	 	1351	"R LIN,47K,5%,TK200,100mW,0603"		ROH	NA	0.45	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53338452T	NA	A2C00003692	692	3011	050	 	1351	"R LIN,47K,5%,TK200,100mW,0603"		ROH	NA	6.92	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412B	NA	A2C00004318	1	3011	050	 	1351	"R LIN,1K,1%,TK100,100mW,0603"		ROH	NA	0.01	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412T	NA	A2C00004463	96	3011	050	 	1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.96	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412B	NA	A2C00006721	79	3011	050	 	1351	"R LIN,174K,1%,TK100,100mW,0603"		ROH	NA	0.79	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53338452T	NA	A2C00006721	668	3011	050	 	1351	"R LIN,174K,1%,TK100,100mW,0603"		ROH	NA	6.68	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412T	NA	A2C00023273	16	3011	050	 	1351	"2,PNP,NORMAL,500mA,45V,SC74,BIP/BC807U/h"		ROH	NA	4.32	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412T	NA	A2C00038706	35	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	13.3	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53328412B	NA	A2C00044348	30	3011	050	 	1351	"1,PNP,NORMAL,100mA,45V,SOT323,BIP,hFE=22"		ROH	NA	2.4	S1_DCU_M.MIGUEL BANUELO	NO		
369498	10/29/2013	ZSCR	551	035-1	0	'050	A2C53338452T	NA	A2C00044348	48	3011	050	 	1351	"1,PNP,NORMAL,100mA,45V,SOT323,BIP,hFE=22"		ROH	NA	3.84	S1_DCU_M.MIGUEL BANUELO	NO		
369500	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673310093	NA	A2C00019748	24	3011	050	 	1351	"R LIN,2K2,1%,TK100,63mW,0402"		ROH	NA	0.24	S1_TIS 1D CHRYSLER_.	NO		
369500	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673310093	NA	A2C00031131	477	3011	050	 	1351	"R LIN,470R,1%,TK100,63mW,0402"		ROH	NA	4.77	S1_TIS 1D CHRYSLER_.	NO		
369500	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673310093	NA	A2C00032101	385	3011	050	 	1351	"47pF,1%,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	11.55	S1_TIS 1D CHRYSLER_.	NO		
369500	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673310093	NA	A2C00057187	148	3011	050	 	1351	"C CER,C0G,8.2pF,0.1pF,50V,0402,Sn"		ROH	NA	2.96	S1_TIS 1D CHRYSLER_.	NO		
369505	10/29/2013	ZSCR	551	035-1	0	'050	A2C8551390093	NA	A2C00031131	34	3011	050	 	1351	"R LIN,470R,1%,TK100,63mW,0402"		ROH	NA	0.34	S1_TIS1C127 BMW_.	NO		
369510	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673320093	NA	A2C00010737	27	3011	050	 	1351	"100pF,5%,50V,C0G,0402,TINNED,CER CAP/VJ"		ROH	NA	0.27	S1_TIS 1D MMC_.	NO		
369510	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673320093	NA	A2C00019748	4	3011	050	 	1351	"R LIN,2K2,1%,TK100,63mW,0402"		ROH	NA	0.04	S1_TIS 1D MMC_.	NO		
369510	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673320093	NA	A2C00031131	45	3011	050	 	1351	"R LIN,470R,1%,TK100,63mW,0402"		ROH	NA	0.45	S1_TIS 1D MMC_.	NO		
369510	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673320093	NA	A2C00032099	13	3011	050	 	1351	"27pF,1%,50V,C0G,0402,TINNED,CER CAP/RF a"		ROH	NA	0.39	S1_TIS 1D MMC_.	NO		
369510	10/29/2013	ZSCR	551	035-1	0	'050	A2C8673320093	NA	A2C00032101	1	3011	050	 	1351	"47pF,1%,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	0.03	S1_TIS 1D MMC_.	NO		
369512	10/29/2013	ZSCR	551	035-1	0	'050	A2C8749600092	NA	A2C00019748	67	3011	050	 	1351	"R LIN,2K2,1%,TK100,63mW,0402"		ROH	NA	0.67	S5_TIS1C127 NISSAN_.	NO		
369512	10/29/2013	ZSCR	551	035-1	0	'050	A2C8749600093	NA	A2C00031131	77	3011	050	 	1351	"R LIN,470R,1%,TK100,63mW,0402"		ROH	NA	0.77	S5_TIS1C127 NISSAN_.	NO		
369512	10/29/2013	ZSCR	551	035-1	0	'050	A2C8749600092	NA	A2C00031131	210	3011	050	 	1351	"R LIN,470R,1%,TK100,63mW,0402"		ROH	NA	2.1	S5_TIS1C127 NISSAN_.	NO		
369512	10/29/2013	ZSCR	551	035-1	0	'050	A2C8749600092	NA	A2C00031965	13	3011	050	 	1351	"6.8pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	0.26	S5_TIS1C127 NISSAN_.	NO		
369512	10/29/2013	ZSCR	551	035-1	0	'050	A2C8749600093	NA	A2C00038411	40	3011	050	 	1351	"470uH,25mA,SMD,COIL/"		ROH	NA	12	S5_TIS1C127 NISSAN_.	NO		
										4695													
