No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
563649	11/12/2014	ZSCR	551	040-1	NA	'045	A2C53334349	NA	A2C53334349	1	1401	module assy USM IKEY RHD	NA	HALB	S.Real/AutoBF	270.51	S2_BCM_R.RODRIGO CERVAN	NO	4985224912
563666	11/12/2014	ZSCR	551	040-2	NA	'045	S180144003	NA	A2C5343019092	1	1402	PCB Assy 4B 433.92 MHz	NA	HALB	S.Real	42.94	S2_NISSAN KEY FOB SQUAR	NO	4985224981
563690	11/12/2014	ZSCR	551	030-1	NA	'045	A2C87582100	NA	A2C87582100	1	1301	pcb assy SCU	NA	HALB	S.Real/AutoBF	263.58	S2_BCM SQUARE D_R.RODRI	NO	4985224698
564207	13/12/2014	ZSCR	551	030-1	NA	'045	S122736034C	NA	A2C00000389	24	1301	"35V,10A,2,SCHOTTKY,TO252/DPAK,RECT DIODE"	NA	ROH	NA	28.08	S2_BCM_R.RODRIGO CERVAN	NO	4985224564
564226	13/12/2014	ZSCR	551	030-1	NA	'045	A2C53285996B	NA	A2C53285996B	7	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	310.59	S2_KEY FOB_A.ANTONIO AL	NO	4985224680
564426	13/12/2014	ZSCR	551	030-1	NA	'045	A2C90929400	NA	A2C90929400	1	1301	pcb assy LCM v01 Base	NA	HALB	S.Real	86.39	S1_ABM_. (APROBACION A	NO	4985224686
565002	14/12/2014	ZSCR	551	030-1	NA	'045	A2C53334340	NA	A2C53334343	1	1301	module assy USM IKEY LHD	NA	HALB	S.Real/AutoBF	270.51	S2_BCM_R.RODRIGO CERVAN	NO	4985224703
565036	15/12/2014	ZSCR	551	030-1	NA	'045	A2C53251265	NA	A2C53251265	4	1301	circuit board assy TPM ikey	NA	HALB	S.Real	731.64	S2_BCM_R.RODRIGO CERVAN	NO	4985224677
565310	15/12/2014	ZSCR	551	030-1	NA	'045	S180144102	NA	A2C3280500092	7	1301	circuit board assy TPM bottom	NA	HALB	S.Real	277.34	S2_KEY FOB_A.ANTONIO AL	NO	4985224668
565310	15/12/2014	ZSCR	551	030-1	NA	'045	A2C53285996B	NA	A2C53285996B	5	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	221.85	S2_KEY FOB_A.ANTONIO AL	NO	4985224680
565417	15/12/2014	MB1A	951	025-3	NA	'045	NA	NA	A2C3280500092	2	1253	circuit board assy TPM bottom	VUG102484	HALB	S.Real	79.24	S2_NISSAN KEY FOB CMF1_	NO	4985224519
565417	15/12/2014	MB1A	951	025-3	NA	'045	NA	NA	A2C3280590092	1	1253	circuit board assy TPM bottom	VUG102484	HALB	S.Real	40.52	S2_NISSAN KEY FOB CMF1_	NO	4985224519
565936	16/12/2014	ZSCR	551	030-1	NA	'045	A2C53285996B	NA	A2C53285996B	4	1301	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	177.48	S2_KEY FOB_A.ANTONIO AL	NO	4985224680
