No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	apd		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
654420	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304051	2	3011	015		1095	housing	NA	ROH	NA	5.72	S1_DCU MCA346_. (APROB	NO	4993999797
654420	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304051	2	3011	015		1095	housing	NA	ROH	NA	5.72	S1_DCU MCA346_. (APROB	NO	4993999797
654420	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304052	9	3011	015		1095	housing	NA	ROH	NA	25.74	S1_DCU MCA346_. (APROB	NO	4993999797
654421	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304050	4	3011	015		1095	housing bottom	NA	ROH	NA	10.36	S1_DCU MCA346_. (APROB	NO	4993999797
654421	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53323521	8	3011	015		1095	housing bottom	NA	ROH	NA	21.84	S1_DCU MCA346_. (APROB	NO	4993999797
654428	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304050	16	3011	015		1095	housing bottom	NA	ROH	NA	41.44	S1_DCU MCA346_. (APROB	NO	4993999797
654428	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304051	16	3011	015		1095	housing	NA	ROH	NA	45.76	S1_DCU MCA346_. (APROB	NO	4993999797
654428	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53304052	10	3011	015		1095	housing	NA	ROH	NA	28.6	S1_DCU MCA346_. (APROB	NO	4993999797
654428	19/08/2015	MB1A	551	022-2	B30301-00495	015	NA	NA	A2C53323521	9	3011	015		1095	housing bottom	NA	ROH	NA	24.57	S1_DCU MCA346_. (APROB	NO	4993999797
658501	02/09/2015	MB1A	551	034-2	K96019	015	A2C53373417	NA	A2C00510300	1	3011	015		1095	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	7.62	S1_TIS1C HMC 162_. (AP	NO	4993999922
658819	02/09/2015	MB1A	951	064-2	NA	015	5WY8829	NA	A2C53422372	8	3011	015		1642	housing	NA	ROH	NA	18.24	S5_TIS1C127 NISSAN_C.CA	NO	4994000019
659190	03/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	6	3011	015		1095	housing assy TPM	NA	ROH	NA	33.54	S1_TIS 1D REDI_. (APRO	NO	4993999851
659193	03/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C53413509	6	3011	015		1095	cover NC	NA	ROH	NA	3.6	S1_TIS 1D REDI_. (APRO	NO	4993999851
659303	03/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	11	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	82.06	S1_TIS 1D REDI_. (APRO	NO	4993999851
661111	08/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	3	3011	015		1095	housing assy TPM	NA	ROH	NA	16.77	S1_TIS 1D REDI_. (APRO	NO	4993999851
661148	08/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	2	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	14.92	S1_TIS 1D REDI_. (APRO	NO	4993999851
661168	08/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	6	3011	015		1095	housing assy TPM	NA	ROH	NA	33.54	S1_TIS 1D REDI_. (APRO	NO	4993999851
661172	08/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	7	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	52.22	S1_TIS 1D REDI_. (APRO	NO	4993999851
661288	09/09/2015	MB1A	951	025-3	NA	015	NA	NA	A2C00052450	2	3011	015		1253	"EM OTH BATTERY/CR2050HR,340mAh,3V"	VUT019784	ROH	NA	14.92	S1_TIS 1D MMC_. (APROB	NO	4993999975
661288	09/09/2015	MB1A	951	025-3	NA	015	NA	NA	A2C53413503	7	3011	015		1253	valve core assy TPM	VUT019784	ROH	NA	32.83	S1_TIS 1D MMC_. (APROB	NO	4993999975
661410	09/09/2015	MB1A	951	025-3	NA	015	NA	NA	A2C00052450	10	3011	015		1253	"EM OTH BATTERY/CR2050HR,340mAh,3V"	VUT019433	ROH	NA	74.6	S1_TIS 1D MMC_. (APROB	NO	4993999975
661555	09/09/2015	MB1A	951	025-4	NA	015	NA	NA	A2C53354981	803	3011	015		1254	keypad	NA	ROH	NA	3155.79	S1_SKREEK_. (APROBACIO	NO	4993999992
661555	09/09/2015	MB1A	951	025-4	NA	015	NA	NA	A2C53354985	4000	3011	015		1254	keypad	NA	ROH	NA	15720	S1_SKREEK_. (APROBACIO	NO	4993999992
662022	11/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	11	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	82.06	S1_TIS 1D REDI_. (APRO	NO	4993999851
662025	11/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	19	3011	015		1095	housing assy TPM	NA	ROH	NA	106.21	S1_TIS 1D REDI_. (APRO	NO	4993999851
662030	11/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	3	3011	015		1095	housing assy TPM	NA	ROH	NA	16.77	S1_TIS 1D REDI_. (APRO	NO	4993999851
662182	11/09/2015	MB1A	551	023-2	K96019	015	NA	NA	A2C00052450	79	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	589.34	S1_TIS 1D WK_WD_.	NO	4993999891
662182	11/09/2015	MB1A	551	023-2	K96019	015	NA	NA	A2C53413509	79	3011	015		1095	cover NC	NA	ROH	NA	47.4	S1_TIS 1D WK_WD_.	NO	4993999891
662308	11/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	6	3011	015		1095	housing assy TPM	NA	ROH	NA	33.54	S1_TIS 1D REDI_. (APRO	NO	4993999851
662313	11/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	2	3011	015		1095	housing assy TPM	NA	ROH	NA	11.18	S1_TIS 1D REDI_. (APRO	NO	4993999851
662322	11/09/2015	MB1A	551	034-3	K96019	015	NA	NA	A2C00052450	1	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	7.46	S1_TIS 1D REDI_. (APRO	NO	4993999851
662664	14/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	2	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	14.92	S1_TIS 1D WK_WD_. (APR	NO	4993999905
662831	14/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	1	3011	015		1095	housing assy TPM	NA	ROH	NA	5.59	S1_TIS 1D REDI_. (APRO	NO	4993999851
662845	14/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	8	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	59.68	S1_TIS 1D REDI_. (APRO	NO	4993999851
663253	15/09/2015	MB1A	951	064-2	NA	015	NA	NA	A2C53422372	5	3011	015		1642	housing	NA	ROH	NA	11.4	S5_TIS1C127 NISSAN_C.CA	NO	4994000019
663551	15/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C00052450	17	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	126.82	S1_TIS 1D REDI_. (APRO	NO	4993999851
663666	17/09/2015	MB1A	551	034-2	K96019	015	NA	NA	A2C86176400	2	3011	015		1095	housing assy TPM	NA	ROH	NA	11.18	S1_TIS 1D REDI_. (APRO	NO	4993999851
663683	17/09/2015	MB1A	551	040-4	K96019	015	NA	NA	A2C82525300	2	3011	015		1095	valve assy blanck	NA	ROH	NA	14.66	S1_TIS1C HMC 162_. (AP	NO	4993999922
663683	17/09/2015	MB1A	551	040-4	K96019	015	NA	NA	A2C82525300	2	3011	015		1095	valve assy blanck	NA	ROH	NA	14.66	S1_TIS1C HMC 162_. (AP	NO	4993999922
663683	17/09/2015	MB1A	551	040-4	K96019	015	NA	NA	A2C82525300	2	3011	015		1095	valve assy blanck	NA	ROH	NA	14.66	S1_TIS1C HMC 162_. (AP	NO	4993999922
663850	17/09/2015	MB1A	551	040-3	K96019	015	NA	NA	A2C00052450	1	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	7.46	S1_TIS 1D REDI_. (APRO	NO	4993999851
663852	17/09/2015	MB1A	551	040-3	K96019	015	NA	NA	A2C53413509	22	3011	015		1095	cover NC	NA	ROH	NA	13.2	S1_TIS 1D REDI_. (APRO	NO	4993999851
664743	21/09/2015	MB1A	551	042-4	K96019	015	NA	NA	A2C00052450	1	3011	015		1095	"EM OTH BATTERY/CR2050HR,340mAh,3V"	NA	ROH	NA	7.46	S1_TIS 1D REDI_. (APRO	NO	4993999851
664743	21/09/2015	MB1A	551	042-4	K96019	015	NA	NA	A2C53413509	1	3011	015		1095	cover NC	NA	ROH	NA	0.6	S1_TIS 1D REDI_. (APRO	NO	4993999851
