No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	A	B	C	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
663496	15/09/2015	ZSCR	551	040-3	NA	'054	A2C83046900	A2C83046900	NA	A2C83043900	40	3011	054	 	1403	label identificati	1	ROH	NA	51.6	PSAD_LAND ROVER_.	NO	
663523	15/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
663526	15/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
664045	17/09/2015	ZSCR	551	035-1	0	'054	A2C95268300	A2C95268300	NA	6593811404	1428	3011	054	 	1351	ETIQUETA P131	1	ROH	NA	1085.28	PS_FORD_L.LPL AUTOMATIC	NO	
664048	17/09/2015	ZSCR	551	035-1	0	'054	A2C84371000	A2C84371000	NA	A2C83008400	219	3011	054	 	1351	label identificati	1	ROH	NA	50.37	PS_LEGACY_L.LPL AUTOMAT	NO	
664071	18/09/2015	ZSCR	551	030-1	NA	'054	A2C38171905	A2C38171905	NA	A2C8522100193	1	3011	054	 	1301	pcb assy DAGSM D_2_ SMD TOP	1	HALB	S.Real	176.21	PSAD_DAIMLER STAR2_ISC_	NO	
664099	18/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
665052	21/09/2015	MB1A	551	010-3	95000066	'054	NA	#N/A	NA	A2C91600700	9	3011	054	 	1103	multipoint connector124/ 86P H 2SYS 1018	QN410113308	ROH	NA	514.08	410113308_DAIMLE	NO	4994304838
665052	21/09/2015	MB1A	551	010-3	95000066	'054	NA	#N/A	NA	A2C91600800	1	3011	054	 	1103	multipoint connector124/ 76P H 2SYS 1018	QN410113308	ROH	NA	51.68	410113308_DAIMLE	NO	4994304838
665110	21/09/2015	MB1A	551	95	K96019	'054	A2C8522130193	A2C38172003	NA	A2C40003612	30	3011	054	 	1095	"R LIN,10K,1%,TK100,63mW,0402"		ROH	NA	0.3	PSAD_DAIMLER SMART_F.FE	NO	4994305002
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300092	A2C98115400	NA	A2C00034044	3	3011	054	 	1351	"1,N_CHAN,LL,MOS,POWER,55V,15A,69mOhm,TO2"	3	ROH	NA	3.39	PS_VW10 LC_L.LPL AUTOMA	NO	
665120	21/09/2015	ZSCR	551	035-1	0	'054	A2C9858300093	A2C98115400	NA	A2C00043841	1	3011	054	 	1351	"EEPROM,64KBit,8k x 8,SO8,-40C,125C,MEMOR"	3	ROH	NA	2.58	PS_VW10 LC_L.LPL AUTOMA	NO	
665278	22/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
665387	22/09/2015	MB1A	551	010-3	95000066	'054	NA	#N/A	NA	A2C91600800	6	3011	054	 	1103	multipoint connector124/ 76P H 2SYS 1018	QN410113308	ROH	NA	310.08	410113308_DAIMLE	NO	4994304838
665462	22/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C87689800	4	3011	054	 	1095	pcb 4-lay ImSn	NA	ROH	NA	78.64	PS_SDM40_.	NO	4994305002
665550	23/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
665566	23/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C94817900	6	3011	054	 	1095	pcb	NA	ROH	NA	113.76	PS_HONDA HRS7_.	NO	4994305002
665637	23/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C9682930193	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	278.27	PS_HONDA HRS7_.	NO	4994305002
665748	23/09/2015	MB1A	551	034-2	K96019	'054	NA	#N/A	NA	A2C96829301	1	3011	054	 	1095	pcb assy HONHRS7 D_1-1	NA	HALB	S.Real	320.62	PS_HONDA HRS7_.	NO	4994305002
665786	23/09/2015	MB1A	551	010-3	95000066	'054	NA	#N/A	NA	A2C00013374	0.001	3011	054	 	1103	protective laquer BECTRON PK4340	QN410113306	ROH	NA	0.41	410113306_DAIMLE	NO	4994304838
665786	23/09/2015	MB1A	551	010-3	95000066	'054	NA	#N/A	NA	A2C96631500	3	3011	054	 	1103	pcb assy DAGSTAR2 ISC with SW	QN410113306	HALB	S.Real	1534.38	410113306_DAIMLE	NO	4994304838
