No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
285701	4/4/2013	ZSCR	551	040-2	NA	'015	S180052041	NA	A2C00510300	3	3011	´015	 	1402	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	30.93	S1_TG1C HYUNDAI_MIGUEL	NO	
285704	4/4/2013	ZSCR	551	034-2	NA	'015	S180052017	NA	A2C53311707	1	3011	´015	 	1342	housing	NA	ROH	NA	2.43	S1_TG1C HYUNDAI_MIGUEL	NO	
285706	4/4/2013	ZSCR	551	034-2	NA	'015	S180052041	NA	A2C53422372	6	3011	´015	 	1342	housing	NA	ROH	NA	10.2	S1_TG1C HYUNDAI_MIGUEL	NO	
285712	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53429216	NA	A2C80640100	1	3011	´015	 	1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	27.02	S1_TG1C HYUNDAI_MIGUEL	NO	4966271105
285738	4/4/2013	ZSCR	551	034-2	NA	'050	5WY8828	NA	A2C33313400	48	3011	050		1342	pcb	NA	ROH	NA	134.4	S5_TIS1C127 HMC_ADRIANA	NO	
285739	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53429204	NA	A2C53429204	11	3011	´015	 	1342	wheel unit TPM 315 MHz	NA	HALB	S.Real/AutoBF	582.56	S5_TIS1C127 HMC_ADRIANA	NO	4966270958
285808	4/4/2013	ZSCR	551	040-2	NA	'015	A2C73658000	NA	A2C73658000	30	3011	´015	 	1402	TIPM 7Ci MY13 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	6752.4	S1_TIPM MEDIUM_PABLO PA	NO	
285811	4/4/2013	MB1A	551	010-4	95000024	'015	NA	NA	A2C80163000	16				1104	pcb assy RKE 433 w/oKG Var#4	QN410093560	HALB	S.Real/AutoBF	2220.64	S1_RFHM CUSW_ADRIANA RE	NO	4966269848
285915	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C31109500	16	3011	´015	 	1342	valve housing assy	NA	ROH	NA	100.48	S5_TIS1C127 NISSAN_CARL	NO	
285915	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C31556200	16	3011	´015	 	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	701.44	S5_TIS1C127 NISSAN_CARL	NO	4966270445
285915	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364500	NA	A2C53352996	16	3011	´015	 	1342	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	36.48	S5_TIS1C127 NISSAN_CARL	NO	
285916	4/4/2013	ZSCR	551	034-2	NA	'015	A2C81364700	NA	A2C31556200	11	3011	´015	 	1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	482.24	S1_TG1C NISSAN_JAIME JI	NO	4966270445
285942	4/4/2013	ZSCR	551	034-2	NA	'015	5WY8920	NA	A2C32118700	4	3011	´015	 	1342	MY12 SPDJB LOOP PROGRAM ASM MODEL C	NA	HALB	S.Real	1013.72	S1_SPDJB_PABLO PALMER-C	NO	
285953	4/4/2013	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53304052	10	3011	´015	 	1342	housing	NA	ROH	NA	29.2	S1_DCU_ADRIAN CEBALLOS	NO	
285957	4/4/2013	ZSCR	551	030-1	NA	'015	A2C73849703	NA	A2C73849703	8	3011	´015	 	1301	pcb top PF BCU CHR high SER/TEST	NA	HALB	S.Real/AutoBF	3911.84	S1_CBC_PABLO PALMER-CAS	NO	4966270368
285964	4/4/2013	ZSCR	551	034-2	NA	'015	A2C30723401	NA	A2C30723201	2	3011	´015	 	1342	module assy TPM	NA	HALB	S.Real/AutoBF	86.9	S5_TG1C HONDA_MIGUEL QU	NO	4966270431
285967	4/4/2013	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C30723201	1	3011	´015	 	1342	module assy TPM	NA	HALB	S.Real/AutoBF	43.45	S5_TG1C HONDA_MIGUEL QU	NO	4966270431
285967	4/4/2013	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C53277894	1	3011	´015	 	1342	valve housing	NA	ROH	NA	6.31	S5_TG1C HONDA_MIGUEL QU	NO	
285967	4/4/2013	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C53327812	1	3011	´015	 	1342	"sealing ring 10x 4,4"	NA	ROH	NA	1.8	S5_TG1C HONDA_MIGUEL QU	NO	
285969	4/4/2013	ZSCR	551	034-2	NA	'015	A2C37351700	NA	A2C37351600	6	3011	´015	 	1342	housing assy TPM	NA	HALB	S.Real/AutoBF	258.18	S1_TG1C NISSAN_JAIME JI	NO	4966270638
285973	4/4/2013	ZSCR	551	042-4	NA	'015	A2C73849703	NA	A2C73849703	1	3011	´015	 	1424	pcb top PF BCU CHR high SER/TEST	NA	HALB	S.Real/AutoBF	488.98	S1_CBC_PABLO PALMER-CAS	NO	
285976	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53402099	NA	A2C53402100	17	3011	´015	 	1342	module assy TPM	NA	HALB	S.Real/AutoBF	767.89	S1_TG1C HYUNDAI_MIGUEL	NO	4966270863
285980	4/4/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C32163600	1	3011	´015	 	1342	module assy TPM	NA	HALB	S.Real/AutoBF	44.54	S1_TG1C UNIVERSAL_JAIME	NO	4966270457
285985	4/4/2013	ZSCR	551	034-8	NA	'050	A2C7360170093	NA	A2C37574600	210	3011	050		1348	"FLAT CONNECTOR 1,2 X 0,6 X 12,2"	NA	ROH	NA	29.4	S1_CBC_PABLO PALMER-CAS	NO	
285985	4/4/2013	ZSCR	551	034-8	NA	'050	A2C7360170093	NA	A2C37574700	62	3011	050		1348	"FLAT CONNECTOR 2,8 x 0,8 X 11,8"	NA	ROH	NA	14.88	S1_CBC_PABLO PALMER-CAS	NO	
285985	4/4/2013	ZSCR	551	034-8	NA	'050	A2C7360170093	NA	A2C73519600	2	3011	050		1348	PCB CHRYSLER CBC (1-SCREW)-MY13update	NA	ROH	NA	153.64	S1_CBC_PABLO PALMER-CAS	NO	
