No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031577	128	1351	"C CER,C0G,10pF,1%,50V,0402,Sn/RF applica"	ROH	NA	2.56	S5_FOB ACURA 09_ENRIQUE	NO	4959521569		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031578	501	1351	"22pF,1%,50V,C0G,0402,TINNED,CER CAP/RF a"	ROH	NA	15.03	S5_FOB ACURA 09_ENRIQUE	NO	4959521609		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031579	280	1351	"18pF,1%,50V,C0G,0402,TINNED,CER CAP/RF a"	ROH	NA	8.4	S5_FOB ACURA 09_ENRIQUE	NO	4959521637		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00032259	4	1351	"HAL-IC, HAL509SF-K,SENSOR/"	ROH	NA	12.44	S5_FOB ACURA 09_ENRIQUE	NO	4959521662		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00034028	684	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"	ROH	NA	13.68	S5_FOB ACURA 09_ENRIQUE	NO	4959521715		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294	NA	A2C00034028	10	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"	ROH	NA	0.2	S5_FOB ACURA 09_ENRIQUE	NO			
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00040658	81	1351	"18nH,200mA,SMD,COIL/MLK1005S18NJT"	ROH	NA	7.29	S5_FOB ACURA 09_ENRIQUE	NO	4959521738		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00040850	83	1351	"100nH,300mA,SMD,COIL/LQG18"	ROH	NA	11.62	S5_FOB ACURA 09_ENRIQUE	NO	4959521767		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00043666	17	1351	"33uF,10%,35V,SMD,TA, Case E, ELEC CAP/"	ROH	NA	136.34	S5_FOB ACURA 09_ENRIQUE	NO	4959521796		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00044402	8	1351	"6.8uH,135mA,SMD,COIL/B82422/NLV32T"	ROH	NA	2.24	S5_FOB ACURA 09_ENRIQUE	NO	4959520796		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00047242	5	1351	"2.36mH,30mA,SMD,LEADFREE_COIL/"	ROH	NA	11.75	S5_FOB ACURA 09_ENRIQUE	NO	4959520644		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00049219	3	1351	"220K,1%,TK100,100mW,0603,LIN RES/Thick F"	ROH	NA	0.06	S5_FOB ACURA 09_ENRIQUE	NO	4959520627		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00049420	2	1351	"HAL-IC, HAL546SF-K,SENSOR/"	ROH	NA	6.42	S5_FOB ACURA 09_ENRIQUE	NO	4959520588		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00056009	59	1351	"IC OTH/PCF7953ATT/ M1AC1700, TSSOP28, A"	ROH	NA	1457.3	S5_FOB ACURA 09_ENRIQUE	NO	4959520568		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C31445000	61	1351	contact spring	ROH	NA	218.38	S5_FOB ACURA 09_ENRIQUE	NO	4959520527		
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53295352B	NA	A2C00010444	5	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"	ROH	NA	0.05	S5_FOB SLOT 09_ENRIQUE	NO	4959520179		
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53295352B	NA	A2C00010737	3	1351	"100pF,5%,50V,C0G,0402,TINNED,CER CAP/VJ"	ROH	NA	0.03	S5_FOB SLOT 09_ENRIQUE	NO	4959520217		
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00031579	280	1351	"18pF,1%,50V,C0G,0402,TINNED,CER CAP/RF a"	ROH	NA	8.4	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00032259	4	1351	"HAL-IC, HAL509SF-K,SENSOR/"	ROH	NA	12.44	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00034028	684	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"	ROH	NA	13.68	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00040658	81	1351	"18nH,200mA,SMD,COIL/MLK1005S18NJT"	ROH	NA	7.29	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00040850	83	1351	"100nH,300mA,SMD,COIL/LQG18"	ROH	NA	11.62	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00043666	17	1351	"33uF,10%,35V,SMD,TA, Case E, ELEC CAP/"	ROH	NA	136.34	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00044402	8	1351	"6.8uH,135mA,SMD,COIL/B82422/NLV32T"	ROH	NA	2.24	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00047242	5	1351	"2.36mH,30mA,SMD,LEADFREE_COIL/"	ROH	NA	11.75	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00049219	3	1351	"220K,1%,TK100,100mW,0603,LIN RES/Thick F"	ROH	NA	0.06	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00049420	2	1351	"HAL-IC, HAL546SF-K,SENSOR/"	ROH	NA	6.42	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C00056009	59	1351	"IC OTH/PCF7953ATT/ M1AC1700, TSSOP28, A"	ROH	NA	1457.3	S5_FOB SLOT 09_ENRIQUE	NO			
176756	09/07/2012	ZSCR	551	035-1	0	'050	A2C53239501-B	NA	A2C31445000	61	1351	contact spring	ROH	NA	218.38	S5_FOB SLOT 09_ENRIQUE	NO			
