No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
123272	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53319341	13	1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.52	4956269890
123272	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53323911	13	1342	housing	NA	ROH	NA	13.78	4956269890
123272	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53323916	13	1342	slide	NA	ROH	NA	10.4	4956269890
123272	ZSCR	551	034-2	NA	5WK49608C	NA	A2C53358639	13	1342	contact spring	NA	ROH	NA	7.28	4956269890
123272	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	13	1342	housing bottom	NA	ROH	NA	12.48	4956269925
123274	ZSCR	551	034-2	NA	5WK49622C	NA	A2C00004906	6	1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	8.22	4956269904
123274	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53319341	6	1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.24	4956269904
123274	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53323911	6	1342	housing	NA	ROH	NA	6.36	4956269904
123274	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53323916	6	1342	slide	NA	ROH	NA	4.8	4956269904
123274	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53358639	6	1342	contact spring	NA	ROH	NA	3.36	4956269904
123274	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	6	1342	housing bottom	NA	ROH	NA	5.76	4956269925
123308	ZSCR	551	035-1	NA	5WK50331	NA	A2C00052547	10	1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	66.3	4956269281
123528	ZSCR	551	035-1	0	A2C53420007T	NA	A2C53375402	71	1351	receiver DIVZZDIV RXI-35-3		ROH	NA	1893.57	4956269838
124659	ZSCR	551	035-1	0	A2C53350875B	NA	6531672097	1	1351	IC/PHILIPS ADVANCED BASESTATIO		ROH	NA	5.64	4956269700
124659	ZSCR	551	035-1	0	A2C53350875B	NA	6575602092	1	1351	"80V,1A, SOT223,BIP PNP TRANSIS"		ROH	NA	0.32	4956269700
124659	ZSCR	551	035-1	0	A2C53350875B	NA	6576362028	1	1351	"330PF,5%,50V,NPO,0805,NISN,CER"		ROH	NA	0.11	4956269700
124659	ZSCR	551	035-1	0	A2C53350875	NA	6588672022	1	1351	"COMPARATOR,LM2903,DUAL COMPARA"		ROH	NA	0.53	4956269663
124659	ZSCR	551	035-1	0	A2C53350875B	NA	6591312043	1	1351	"6.2V,350MW, SOT23, ZENER,STAB"		ROH	NA	0.1	4956269700
124659	ZSCR	551	035-1	0	A2C53350875	NA	6591602029	1	1351	TRANSISTOR BCP55 SOT23		ROH	NA	0.61	4956269663
