Reason Code	(All)			
				
Count of No.Item	Column Labels			
Row Labels	FERT	HALB	ROH	Grand Total
A2C53428225			2	2
6578520302			1	1
A2C53430065			1	1
A2C34172100	3			3
A2C73601801	1			1
A2C00006606			2	2
A2C40016280			1	1
A2C53249431			1	1
A2C53105128			3	3
A2C53251339			1	1
A2C53125065			1	1
A2C53251342			1	1
6596312047			1	1
A2C53255998			1	1
A2C53141159			4	4
A2C53259651			1	1
6577241907			1	1
A2C53278277			2	2
A2C00037293			1	1
A2C53278278			2	2
A2C00039698			3	3
A2C53278279			1	1
A2C00042286			1	1
A2C53278282			1	1
A2C37574600			1	1
A2C53278286			1	1
5WY8285	1			1
A2C53278287			1	1
A2C53408549			5	5
A2C53278292			2	2
A2C00043753			1	1
A2C00008583			1	1
A2C00045243			2	2
A2C53283864			3	3
A2C53414277			2	2
A2C53285130			1	1
A2C40000660			2	2
A2C00010549			3	3
A2C00047459			3	3
A2C00000522			3	3
A2C00049991			1	1
A2C00001083			1	1
A2C40006562			1	1
A2C53299582			1	1
A2C53428222			1	1
A2C53299661			3	3
A2C40012032			1	1
A2C53299925			1	1
A2C53430047			1	1
A2C53304050			1	1
A2C53430182			2	2
A2C53304051			1	1
A2C40012807			1	1
A2C53304052			2	2
A2C73637100			2	2
A2C53306326			1	1
A2C73801403	4			4
A2C34685400			1	1
A2C30840500			3	3
A2C34685500			2	2
A2C53103663			1	1
A2C00010853			2	2
A2C53108387			2	2
A2C00010903			3	3
A2C53122018			1	1
A2C53311196			4	4
A2C53139536			4	4
A2C53311707			14	14
A2C53139537			1	1
A2C53324560			1	1
6577230303			1	1
5WK44508	2			2
A2C83358900			2	2
A2C00010964			2	2
A2C53163642			1	1
A2C00011699			1	1
6598172132			1	1
A2C53330105			1	1
A2C00036125			1	1
A2C53330107			3	3
5WK44285	2			2
A2C53330109			2	2
A2C00038366			2	2
A2C53331174			4	4
A2C00039254			1	1
A2C53331175			2	2
A2C00039707			1	1
9577621903			1	1
A2C53402399			1	1
6598282101			2	2
A2C00042658			1	1
5WK44252	4			4
A2C00003422			3	3
A2C53331574			1	1
A2C00043246			1	1
A2C53332366			2	2
8800630110			1	1
A2C53332369			2	2
A2C53405173			1	1
A2C00014697			4	4
A2C53406789			1	1
A2C53334853			2	2
A2C53408690			1	1
A2C53335101			1	1
A2C00043666			1	1
5WK44600	1			1
A2C00044202			1	1
A2C00017679			2	2
A2C53412057			2	2
A2C35130000			4	4
A2C00046497			4	4
A2C53339918			1	1
A2C53412606			1	1
A2C35130400			7	7
A2C53414278			3	3
A2C86365300			1	1
A2C00047242			1	1
6577291401			1	1
A2C40000766			3	3
A2C00018862			2	2
A2C40000996			2	2
A2C00002057			1	1
A2C00048832			1	1
5WK44741	1			1
A2C00049779			1	1
A2C00019082			1	1
A2C00051931			5	5
5WK44771	2			2
A2C00052450			1	1
A2C53352996			3	3
A2C53424009			1	1
A2C53353454			3	3
A2C53427412			1	1
A2C00019459			4	4
A2C53428223			1	1
A2C00002102			1	1
A2C53428231			1	1
A2C32519400			2	2
A2C40012033			1	1
A2C53358639			10	10
A2C53429315			9	9
A2C00002107			1	1
A2C53430063			5	5
A2C53364453			1	1
A2C53430067			1	1
A2C53365377			1	1
A2C30115900			14	14
A2C00020115			1	1
A2C73519600			4	4
A2C53371501			1	1
A2C40013155			2	2
A2C53371768			1	1
A2C40014441			1	1
A2C53374377			2	2
A2C73637200			1	1
A2C53375407			1	1
A2C30236101			2	2
A2C00021139			1	1
A2C73801404	2			2
A2C00021293			1	1
A2C30816300			1	1
A2C00021642			1	1
A2C30910800	1			1
A2C00025083			1	1
6578527002			1	1
A2C00027389			4	4
A2C53103670			3	3
A2C00027390			3	3
A2C53108379			1	1
A2C00031131			3	3
A2C53114664			3	3
A2C00032101			1	1
6593331401			2	2
A2C00034103			1	1
A2C53125064			1	1
A2C32519500			1	1
A2C81350400			1	1
A2C53380226			1	1
A2C31109500			5	5
A2C53381596			2	2
6596117662			1	1
A2C53385267			1	1
A2C31229200			2	2
A2C53385465			1	1
6598142121			1	1
A2C53387067			1	1
A2C53139538			4	4
A2C00034679			1	1
A2C83145200			4	4
A2C53390344			1	1
6577230304			1	1
A2C53390573			4	4
A2C53141160			1	1
A2C53394918			6	6
A2C31445000			1	1
A2C53395076			1	1
A2C83818700			1	1
A2C53395243			1	1
5WK44354	2			2
A2C00034839			1	1
A2C53213475			7	7
A2C53397769			4	4
A2C53340509			5	5
A2C86398500			1	1
A2C53341943			1	1
A2C53342620			4	4
A2C53249345			2	2
Grand Total	29	620	484	1133
