No.Item	Fecha	 	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
541508	28/10/2014	ZSCR	551	034-9	NA	'054	5WK44077	NA	A2C53340359	1				1349	keypad assy	NA	HALB	S.Real/AutoBF	522.2	OC_OCS NISSAN_A.ANA TAP	NO	4983477174		
541511	28/10/2014	ZSCR	551	040-2	NA	'054	5WK44252	NA	A2C53364457	1				1402	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4983477296	4983477279	
541610	28/10/2014	ZSCR	551	040-3	NA	'054	A2C91764400	2800	A2C91764400	1				1403	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO	4983476407		
541714	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541715	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541717	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541718	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541719	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541720	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
541721	29/10/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO	4983476955		
