No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143478	ZSCR	551	034-2	NA	5WK49598	NA	A2C00046724	1342	"1A,14V,HOL,OTHER,SWITCH/"	NA	ROH	NA	10.94	S5_FOB SLOT 08_ (APROB	4957513075		
143478	ZSCR	551	034-2	NA	5WK49598	NA	A2C53239500	1342	pin header 12P V 2R THP GY	NA	ROH	NA	6.54	S5_FOB SLOT 08_ (APROB	4957513075		
143478	ZSCR	551	034-2	NA	5WK49598	NA	A2C53239501	1342	Subassy SMD Bottom Side FSMY08	NA	HALB	S.Real	19.21	S5_FOB SLOT 08_ (APROB	4957511307		
143489	ZSCR	551	030-1	NA	5WK50228	NA	5WK50228	1301	RF Receiver TRX BMW 868MHz	NA	FERT	NA	322.95	S1_BMW_ (APROBACION AU	4957513970		
143490	ZSCR	551	030-1	NA	5WK50228	NA	5WK50228	1301	RF Receiver TRX BMW 868MHz	NA	FERT	NA	107.65	S1_BMW_ (APROBACION AU	4957513970		
143491	ZSCR	551	030-1	NA	5WK50228	NA	5WK50228	1301	RF Receiver TRX BMW 868MHz	NA	FERT	NA	215.3	S1_BMW_ (APROBACION AU	4957513970		
143492	ZSCR	551	030-1	NA	5WK50227	NA	5WK50227	1301	RF Receiver TRX BMW 433MHz	NA	FERT	NA	106.08	S1_BMW_ (APROBACION AU	4957513954		
143671	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428228	1342	PIN	NA	ROH	NA	33.6	S1_TIPM MEDIUM_ (APROB	4957513324		
143671	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428229	1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	14.74	S1_TIPM MEDIUM_ (APROB	4957513324		
143673	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428228	1342	PIN	NA	ROH	NA	13.4	S1_TIPM MEDIUM_ (APROB	4957513324		
143673	ZSCR	551	034-2	NA	5WY9011M	NA	A2C53428229	1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	13.86	S1_TIPM MEDIUM_ (APROB	4957513324		
143689	ZSCR	551	040-3	NA	5WK49521	NA	A2C53105128	1403	contact spring	NA	ROH	NA	2.24	S5_FOB ACURA 08_ENRIQUE	4957513693		
143689	ZSCR	551	040-3	NA	5WK49521	NA	A2C53248676	1403	inner housing	NA	ROH	NA	23.76	S5_FOB ACURA 08_ENRIQUE	4957513693		
143689	ZSCR	551	040-3	NA	5WK49521	NA	A2C53248677	1403	cover inner housing	NA	ROH	NA	8.25	S5_FOB ACURA 08_ENRIQUE	4957513693		
143691	ZSCR	551	030-1	NA	5WK49521	NA	A2C53295352B	1301	SMD SUB ASSY SMART FOB BOT	NA	HALB	S.Real	402.05	S5_FOB ACURA 08_ENRIQUE	4957511155		
