No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
639326	07/07/2015	ZSCR	551	034-2	NA	'050	A2C3776240093	NA	A2C3776240093	2	1342	HALB	S.Real	S4_BMW FBD 3_. (APROBA	4991917268
639327	07/07/2015	ZSCR	551	034-2	NA	'050	A2C8673350093	NA	A2C8673350093	5	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
639370	08/07/2015	ZSCR	551	042-4	NA	'015	5WY8834	NA	A2C53328412	2	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914519
639370	08/07/2015	ZSCR	551	042-4	NA	'015	5WY8833	NA	A2C53338452	1	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914532
639435	08/07/2015	ZSCR	551	040-1	NA	'015	A2C31563500	NA	A2C3156350093	3	1401	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914678
639450	08/07/2015	ZSCR	551	040-3	NA	'015	A2C8647920393	NA	A2C8647920393	16	1403	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914770
639461	08/07/2015	ZSCR	551	034-2	NA	'015	A2C8158270393	NA	A2C8158270393	2	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914685
639665	08/07/2015	ZSCR	551	034-2	NA	'015	A2C86733500	NA	A2C8673350093	2	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
639769	09/07/2015	ZSCR	551	030-1	NA	'050	A2C8673320193	NA	A2C8673320193	2	1301	HALB	S.Real	S1_TIS 1C MMC_. (APROB	4991916363
639832	09/07/2015	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
640150	09/07/2015	ZSCR	551	034-2	NA	'015	A2C53387021	NA	A2C53328411	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
