No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
266288	14/02/2013	ZSCR	551	040-1	NA	'045	A2C3471080093	NA	A2C3471080093	3	1401	NA	HALB	S.Real	1286.28	S1_GLOBAL A_LUIS LIZARR	NO	4965036607
267214	16/02/2013	ZSCR	551	040-5	NA	'045	5WG50030	NA	A2C53353141T	423	1405	NA	HALB	S.Real	41102.91	S4_PQ GATEWAY_MIGUEL ZA	NO	4965036905
267670	17/02/2013	ZSCR	551	034-2	NA	'045	S122736205K	NA	A2C3730180093	1	1342	NA	HALB	S.Real	227.09	S2_BCM SQUARE D_RODRIGO	NO	4965036655
267672	17/02/2013	ZSCR	551	040-1	NA	'045	S122736205K	NA	A2C3730180093	2	1401	NA	HALB	S.Real	454.18	S2_BCM SQUARE D_RODRIGO	NO	4965036664
267673	17/02/2013	ZSCR	551	040-3	NA	'045	S122736202K	NA	A2C31100700	1	1403	NA	HALB	S.Real	230.81	S2_BCM SQUARE D_RODRIGO	NO	4965036648
267677	17/02/2013	ZSCR	551	040-1	NA	'045	S122736204K	NA	A2C37302600	4	1401	NA	HALB	S.Real	1138.56	S2_BCM SQUARE D_RODRIGO	NO	4965036672
267779	17/02/2013	ZSCR	551	042-4	NA	'045	S180144021	NA	A2C5340873192	30	1424	NA	HALB	S.Real	1423.2	S2_NISSAN KEY FOB SQUAR	NO	4965036809
267801	17/02/2013	ZSCR	551	040-5	NA	'015	5WY8919	NA	A2C32144600	1	1405	NA	HALB	S.Real	250.38	S1_SPDJB_PABLO PALMER-C	NO	4965036320
267803	17/02/2013	ZSCR	551	034-2	NA	'015	5WY8919	NA	A2C32144600	1	1342	NA	HALB	S.Real	250.38	S1_SPDJB_PABLO PALMER-C	NO	4965036328
267804	17/02/2013	ZSCR	551	030-1	NA	'015	5WY8918	NA	A2C32147600	1	1301	NA	HALB	S.Real	225.88	S1_SPDJB_PABLO PALMER-C	NO	4965036337
267806	17/02/2013	ZSCR	551	042-4	NA	'015	5WY8923	NA	A2C32119300	1	1424	NA	HALB	S.Real	266.51	S1_SPDJB_PABLO PALMER-C	NO	4965028842
267806	17/02/2013	ZSCR	551	042-4	NA	'015	5WY8921	NA	A2C33101700	1	1424	NA	HALB	S.Real	267.67	S1_SPDJB_PABLO PALMER-C	NO	4965036344
