No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
528021	01/10/2014	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C53439917	8	1342	NA	ROH	12.88	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528023	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C00051931	26	1342	NA	ROH	205.66	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528030	01/10/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C00052450	5	1342	NA	ROH	36.95	S1_TIS 1D CHRYSLER_J.JA	NO	4982656417		
528035	01/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	160	1253	VUG148864	ROH	436.8	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
528036	01/10/2014	ZSCR	551	034-2	NA	'015	A2C86718800	NA	A2C86176400	2	1342	NA	ROH	17.42	S1_TIS 1D CHRYSLER_J.JA	NO	4982656417		
528037	01/10/2014	ZSCR	551	034-2	NA	'050	5WY8833	NA	A2C00053178	22	1342	NA	ROH	190.3	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
528037	01/10/2014	ZSCR	551	034-2	NA	'050	5WY8833	NA	A2C00053275	3	1342	NA	ROH	29.01	S1_DCU_A.ADRIAN CEBALLO	NO	4982655823		
528123	01/10/2014	ZSCR	551	050-1	NA	'015	5WY8751	NA	A2C53401335	4	1501	NA	ROH	27.92	S1_TG1C NISSAN_J.JAIME	NO	4982656181		
528123	01/10/2014	ZSCR	551	050-1	NA	'015	S180052048	NA	A2C53439917	4	1501	NA	ROH	6.44	S1_TG1C NISSAN_J.JAIME	NO	4982656192		
528169	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8829	NA	A2C53422372	28	1342	NA	ROH	66.36	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
528253	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8548	NA	A2C53311707	1	1342	NA	ROH	2.4	S5_TG1C HONDA_M.MIGUEL	NO	4982656520		
528371	01/10/2014	ZSCR	551	034-2	NA	'050	A2C53338452T	NA	A2C00053178	22	1342	NA	ROH	190.3	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
528399	01/10/2014	ZSCR	551	034-2	NA	'015	A2C53406787	NA	A2C53430182	114	1342	NA	ROH	121.98	S5_HYUNDAI TPMS ECU_E.E	NO	4982656506		
528403	01/10/2014	ZSCR	551	034-9	NA	'015	5WK50218S	NA	A2C53371501	3	1349	NA	ROH	4.44	S4_BMW FBD 3_. (APROBA	NO	4982656467		
528403	01/10/2014	ZSCR	551	034-9	NA	'015	5WK50220S	NA	A2C53393484	29	1349	NA	ROH	274.92	S4_BMW FBD 3_. (APROBA	NO	4982656467		
528444	01/10/2014	ZSCR	551	030-1	NA	'050	A2C35027200	NA	A2C81350400	16	1301	NA	ROH	80.96	S4_BMW FBD 3_. (APROBA	NO	4982656467		
528445	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8829	NA	A2C53422372	3	1342	NA	ROH	7.11	S1_TIS1C127 BMW_A.ADRIA	NO	4982656435		
528452	01/10/2014	ZSCR	551	042-4	NA	'015	5WY8548	NA	A2C00046497	7	1424	NA	ROH	56.84	S5_HONDA HL LL SP37_M.M	NO	4982656484		
528455	01/10/2014	ZSCR	551	034-2	NA	'015	A2C31749200	NA	A2C00052450	4	1342	NA	ROH	29.56	S1_TIS 1D CHRYSLER_J.JA	NO	4982656417		
528497	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C53422372	6	1342	NA	ROH	14.22	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528506	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C00051931	15	1342	NA	ROH	118.65	S1_TG1C NISSAN_J.JAIME	NO	4982656192		
528507	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C53422372	2	1342	NA	ROH	4.74	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
528546	02/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C31749200	64	1253	ECN102558	HALB	3115.52	S1_TIS 1D CHRYSLER_J.JA	NO	4982656637		
528551	02/10/2014	ZSCR	551	030-1	NA	'050	A2C30188101	NA	A2C86365300	96	1301	NA	ROH	138.24	S1_TG1C UNIVERSAL_J.JAI	NO	4982656245		
528553	02/10/2014	ZSCR	551	034-2	NA	'050	5WY7705	NA	6598282101	12	1342	NA	ROH	42.36	S1_LF_A.ADRIAN CEBALLOS	NO	4982656015		
528564	02/10/2014	ZSCR	551	034-2	NA	'050	5WY8547	NA	A2C00064584	14	1342	NA	ROH	274.26	S1_TG1C UNIVERSAL_J.JAI	NO	4982656207		
528567	02/10/2014	ZSCR	551	034-2	NA	'050	A2C53410546	NA	A2C40022068	2	1342	NA	ROH	19.74	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
528567	02/10/2014	ZSCR	551	034-2	NA	'050	A2C53410546S	NA	A2C40022068	12	1342	NA	ROH	118.44	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
