No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Adp		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
450880	29/04/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	4	3011	45		1403	ring	NA	ROH	NA	1.88	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
450880	29/04/2014	ZSCR	551	040-3	NA	'045	A2C81507400	NA	A2C82493901	4	3011	45		1403	housing cover assy	NA	ROH	NA	65.2	S1_FOB K2XX_L.LUIS LOPE	NO	
450881	29/04/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	2	3011	45		1403	ring	NA	ROH	NA	0.94	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
450881	29/04/2014	ZSCR	551	040-3	NA	'045	A2C81507400	NA	A2C82493901	2	3011	45		1403	housing cover assy	NA	ROH	NA	32.6	S1_FOB K2XX_L.LUIS LOPE	NO	
450909	30/04/2014	ZSCR	551	040-3	NA	'045	5WY7138	NA	A2C53256340	1	3011	45		1403	plug connector 2P H CI 9005 A	NA	ROH	NA	10.03	S1_EZKEY_L.LUIS LIZARRA	NO	4978262979
450909	30/04/2014	ZSCR	551	040-3	NA	'045	5WY7978A	NA	A2C53188411	4	3011	45		1403	antenna GM EZKEY P	NA	ROH	NA	42.32	S1_EZKEY_L.LUIS LIZARRA	NO	4978263298
450940	30/04/2014	ZSCR	551	040-2	NA	'045	A2C53283727	NA	A2C53309839	25	3011	45		1402	pcb GM CADILLAC	NA	ROH	NA	71.75	S1_EZKEY_M.MIGUEL ZAVAL	NO	
451008	30/04/2014	ZSCR	551	040-3	NA	'045	A2C53350196	NA	A2C53311196	3	3011	45		1403	cover LOP B BK	NA	ROH	NA	19.95	S4_PQ35 6ta Gen_. (APR	NO	4978264281
451012	30/04/2014	ZSCR	551	030-1	NA	'045	A2C9089980093	NA	A2C9089980093	1	3011	45		1301	electronic assy Top	NA	HALB	S.Real	78.93	S1_PK MY 13 FORD_M.MANU	NO	
451015	30/04/2014	ZSCR	551	030-1	NA	'045	A2C9089980093	NA	A2C9089980093	3	3011	45		1301	electronic assy Top	NA	HALB	S.Real	236.79	S1_PK MY 13 FORD_M.MANU	NO	
451023	30/04/2014	ZSCR	551	040-2	NA	'045	A2C82982100	NA	A2C82979500	1	3011	45		1402	pcb 4-lay 1353 main	NA	ROH	NA	45.51	S4_PQ35 6ta Gen_. (APR	NO	
451347	01/05/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31226900	3	3011	45		1342	keypad	NA	ROH	NA	5.79	S1_PK MY 13 FORD_M.MANU	NO	
451355	01/05/2014	ZSCR	551	040-3	NA	'045	5WY5975R	NA	A2C53405271	5	3011	45		1403	Foam cushion	NA	ROH	NA	1.65	S1_PK MY 13 FORD_M.MANU	NO	4978262846
451357	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243800	NA	A2C37754600	4	3011	45		1402	housing	NA	ROH	NA	10.6	S1_PEPS PK 1 WAY_M.MANU	NO	
451361	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227500	3	3011	45		1402	label	NA	ROH	NA	0.72	S1_PK MY 13 FORD_M.MANU	NO	
451361	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31578100	3	3011	45		1402	contact spring	NA	ROH	NA	2.13	S1_PK MY 13 FORD_M.MANU	NO	
451361	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227400	3	3011	45		1402	contact spring	NA	ROH	NA	2.25	S1_PK MY 13 FORD_M.MANU	NO	
451361	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C00045268	4	3011	45		1402	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	6.8	S1_PK MY 13 FORD_M.MANU	NO	
451361	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227300	3	3011	45		1402	housing assy	NA	ROH	NA	7.83	S1_PK MY 13 FORD_M.MANU	NO	
451363	01/05/2014	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C53429315	17	3011	45		1403	housing cover assy FOG FORD P	NA	ROH	NA	425	S1_PEPS PK Lincoln Embr	NO	4978262757
451380	01/05/2014	ZSCR	551	040-3	NA	'045	5WY8166	NA	A2C53282666	4	3011	45		1403	"housing 153,0x 92,0"	NA	ROH	NA	26.76	S1_ABM_M.MANUEL MANZANO	NO	4978263434
451406	01/05/2014	ZSCR	551	040-1	NA	'045	A2C82872900	NA	A2C82872900	1	3011	45		1401	DCM*GM PWE	NA	FERT	NA	51.77	S6_KWANG JIN_J.JAVIER B	NO	
451430	01/05/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C53405271	13	3011	45		1401	Foam cushion	NA	ROH	NA	4.29	S1_PK MY 13 FORD_M.MANU	NO	
451432	01/05/2014	ZSCR	551	034-1	NA	'045	A2C31243300	NA	A2C31227300	7	3011	45		1341	housing assy	NA	ROH	NA	18.27	S1_PK MY 13 FORD_M.MANU	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32299200	NA	A2C53434666	1	3011	45		1402	housing assy FOG FORD P	NA	ROH	NA	4.21	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C53426032	NA	A2C53434669	1	3011	45		1402	Lower Housing	NA	ROH	NA	4.21	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32299200	NA	A2C53333379	1	3011	45		1402	Badge Lincoln	NA	ROH	NA	5.04	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C53426032	NA	A2C53333378	1	3011	45		1402	Badge Ford	NA	ROH	NA	4.53	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C53426032	NA	A2C53429315	3	3011	45		1402	housing cover assy FOG FORD P	NA	ROH	NA	75	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32299200	NA	A2C53333348	1	3011	45		1402	frame	NA	ROH	NA	3.59	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C53426032	NA	A2C00004906	3	3011	45		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	4.92	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31544300	NA	A2C53426033	1	3011	45		1402	frame	NA	ROH	NA	2.46	S1_PEPS_J.JAVIER BECERR	NO	
451434	01/05/2014	ZSCR	551	040-2	NA	'045	A2C53426032	NA	A2C00054503	1	3011	45		1402	"SEN/DST80 Wedge Transponder 134.2kHz, Fo"	NA	ROH	NA	11.46	S1_PEPS_J.JAVIER BECERR	NO	
451453	01/05/2014	ZSCR	551	040-2	NA	'045	5WY8678	NA	A2C80174100	7	3011	45		1402	bracket FOG FORD PEPS	NA	ROH	NA	216.72	S1_PEPS_J.JAVIER BECERR	NO	
451453	01/05/2014	ZSCR	551	040-2	NA	'045	5WY8678	NA	A2C53343557	17	3011	45		1402	Nut M4 Hex Head Flange	NA	ROH	NA	5.44	S1_PEPS_J.JAVIER BECERR	NO	
451508	01/05/2014	ZSCR	551	040-2	NA	'045	A2C90248400	NA	A2C90248400	2	3011	45		1402	control device 433	NA	FERT	NA	133.52	S2_NIMOCO RECEIVER NISZ	NO	
451540	01/05/2014	ZSCR	551	040-2	NA	'045	5WY7703	NA	8800630143	1	3011	45		1402	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.06	S1_PATS_M.MANUEL MANZAN	NO	
451540	01/05/2014	ZSCR	551	040-2	NA	'045	5WY7703	NA	A2C53119450	1	3011	45		1402	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	9	S1_PATS_M.MANUEL MANZAN	NO	
451540	01/05/2014	ZSCR	551	040-2	NA	'045	5WY7703	NA	A2C53119451	1	3011	45		1402	COVER PATS CLIP ON 5WY7703	NA	ROH	NA	0.94	S1_PATS_M.MANUEL MANZAN	NO	
451540	01/05/2014	ZSCR	551	040-2	NA	'045	5WY7703	NA	8800630142	1	3011	45		1402	Etiqueta unidad Clip On	NA	ROH	NA	0.08	S1_PATS_M.MANUEL MANZAN	NO	
451554	01/05/2014	ZSCR	551	040-3	NA	'045	5WK48041	NA	6598037603	31	3011	45		1403	CARCASA-ANTENA NISSAN	NA	ROH	NA	529.79	S2_NISSAN STEPS_A.ANTON	NO	4978262035
451559	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C00045268	8	3011	45		1402	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	13.6	S1_PEPS PK 1 WAY_M.MANU	NO	
451559	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C53405271	4	3011	45		1402	Foam cushion	NA	ROH	NA	1.32	S1_PEPS PK 1 WAY_M.MANU	NO	
451559	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227500	4	3011	45		1402	label	NA	ROH	NA	0.96	S1_PEPS PK 1 WAY_M.MANU	NO	
451559	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31578100	4	3011	45		1402	contact spring	NA	ROH	NA	2.84	S1_PEPS PK 1 WAY_M.MANU	NO	
451559	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243800	NA	A2C37754600	4	3011	45		1402	housing	NA	ROH	NA	10.6	S1_PEPS PK 1 WAY_M.MANU	NO	
451559	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243300	NA	A2C31227400	4	3011	45		1402	contact spring	NA	ROH	NA	3	S1_PEPS PK 1 WAY_M.MANU	NO	
451561	01/05/2014	ZSCR	551	040-1	NA	'045	A2C31243800	NA	A2C37754600	9	3011	45		1401	housing	NA	ROH	NA	23.85	S1_PEPS PK 1 WAY_M.MANU	NO	
451561	01/05/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C53405271	3	3011	45		1401	Foam cushion	NA	ROH	NA	0.99	S1_PEPS PK 1 WAY_M.MANU	NO	
451588	01/05/2014	ZSCR	551	040-1	NA	'045	A2C31243800	NA	A2C53405271	9	3011	45		1401	Foam cushion	NA	ROH	NA	2.97	S1_PEPS PK 1 WAY_M.MANU	NO	
451588	01/05/2014	ZSCR	551	040-1	NA	'045	A2C31243800	NA	A2C37754600	10	3011	45		1401	housing	NA	ROH	NA	26.5	S1_PEPS PK 1 WAY_M.MANU	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32336100	NA	A2C34525500	6	3011	45		1402	Side caps	NA	ROH	NA	77.46	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	40091	NA	8800630143	5	3011	45		1402	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.3	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C53333375	6	3011	45		1402	ring	NA	ROH	NA	2.82	S1_FOB K2XX_L.LUIS LOPE	NO	
451650	01/05/2014	ZSCR	551	040-2	NA	'045	A2C32336100	NA	A2C34525401	3	3011	45		1402	Up Level Housing 4 Button	NA	ROH	NA	47.64	S1_FOB K2XX_L.LUIS LOPE	NO	
