No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
486012	7/7/2014	ZSCR	551	040-1	NA	'015	5WK49885A	NA	A2C53105128	4	3011	015		1401	Contact Spring positive	NA	ROH	NA	1.12	S5_SMART FOB_E.ENRIQUE	NO	4979929117
486012	7/7/2014	ZSCR	551	040-1	NA	'015	5WK49522	NA	A2C53248676	4	3011	015		1401	housing	NA	ROH	NA	7.96	S5_SMART FOB_E.ENRIQUE	NO	4979929091
486012	7/7/2014	ZSCR	551	040-1	NA	'015	5WK49522	NA	A2C53248677	4	3011	015		1401	cover	NA	ROH	NA	4.64	S5_SMART FOB_E.ENRIQUE	NO	4979929091
486582	7/8/2014	ZSCR	551	030-1	NA	'015	5WK47833	NA	A2C53249431	1	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	21.88	S5_ACURA ECU_E.ENRIQUE	NO	4979928777
486583	7/8/2014	ZSCR	551	030-1	NA	'015	A2C30938900	NA	A2C53249431	3	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	65.64	S5_SMART ECU_E.ENRIQUE	NO	4979929015
486594	7/8/2014	ZSCR	551	034-4	NA	'015	5WK49718	NA	A2C53242676	1	3011	015		1344	antenna HONDA ZZDIV	NA	ROH	NA	25.1	S5_INMMO_E.ENRIQUE GARC	NO	4979928937
486595	7/8/2014	ZSCR	551	040-3	NA	'015	5WK49718	NA	A2C53242675	2	3011	015		1403	housing cover	NA	ROH	NA	3.48	S5_INMMO_E.ENRIQUE GARC	NO	4979928937
486595	7/8/2014	ZSCR	551	040-3	NA	'015	5WK49718	NA	A2C53242676	2	3011	015		1403	antenna HONDA ZZDIV	NA	ROH	NA	50.2	S5_INMMO_E.ENRIQUE GARC	NO	4979928937
486598	7/8/2014	ZSCR	551	034-2	NA	'015	5WK49718	NA	A2C53242675	2	3011	015		1342	housing cover	NA	ROH	NA	3.48	S5_INMMO_E.ENRIQUE GARC	NO	4979928937
486598	7/8/2014	ZSCR	551	034-2	NA	'015	5WK49718	NA	A2C53242676	2	3011	015		1342	antenna HONDA ZZDIV	NA	ROH	NA	50.2	S5_INMMO_E.ENRIQUE GARC	NO	4979928937
