No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00002186	70	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	5.6	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00002186	8	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.64	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00002186	85	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	6.8	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00002186	104	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	8.32	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00002186	18	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	1.44	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00002186	70	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	5.6	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00002186	8	3011	050		1351	"1nF,10%,200V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.64	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00002578	14	3011	050		1351	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	11.62	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00002578	14	3011	050		1351	"10uF,20%,25V,SMD,TA,ELEC CAP/"		ROH	NA	11.62	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00003413	18	3011	050		1351	"47K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.18	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00003413	4	3011	050		1351	"47K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00003413	18	3011	050		1351	"47K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.18	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00003413	4	3011	050		1351	"47K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00003724	9	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.09	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00003724	7	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.07	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00003724	13	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.13	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00003724	2	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.02	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00003724	9	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.09	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00003724	7	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.07	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00003724	13	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.13	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00003724	2	3011	050		1351	"470R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.02	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00003761	15	3011	050		1351	"6K65,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	1.2	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00003761	15	3011	050		1351	"6K65,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	1.2	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00004144	2	3011	050		1351	"7K68,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00004144	2	3011	050		1351	"7K68,1%,TK100,125mW,0805,LIN RES/"		ROH	NA	0.04	ES_V8 V10_NA	4958241458
