area,tecnologia,defecto,causa,division,proyecto
SMD,HORNO,SOLDADURA POROSA,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,SOLDADURA POROSA,PROVEEDOR,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE DAÑADO,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE DAÑADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE FALTANTE,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE FALTANTE,METODO,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE DE CANTO,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,COMPONENTE DE CANTO,METODO,PSAD,HYUNDAI
SMD,HORNO,DESPLAZADO,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,TOMBSTONE,METODO,PSAD,HYUNDAI
SMD,HORNO,TOMBSTONE,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,CONTAMINACION,MANO DE OBRA,PSAD,HYUNDAI
SMD,HORNO,CONTAMINACION,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,CONTAMINACION,PROVEEDOR,PSAD,HYUNDAI
SMD,HORNO,CONTAMINACION,METODO,PSAD,HYUNDAI
SMD,HORNO,PCB ABORTADO,MAQUINA,PSAD,HYUNDAI
SMD,HORNO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
SMD,HORNO,LIBERACION DE EQUIPO,METODO,PSAD,HYUNDAI
SMD,HORNO,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
SMD,HORNO,SIN PRUEBA ANTERIOR,MANO DE OBRA,PSAD,HYUNDAI
SMD,LASER,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
SMD,LASER,COBRE EXPUESTO,MAQUINA,PSAD,HYUNDAI
SMD,LASER,COBRE EXPUESTO,METODO,PSAD,HYUNDAI
SMD,LASER,COBRE EXPUESTO,MANO DE OBRA,PSAD,HYUNDAI
SMD,LASER,COBRE EXPUESTO,PROVEEDOR,PSAD,HYUNDAI
SMD,LASER,DATA MATRIX ILEGIBLE,METODO,PSAD,HYUNDAI
SMD,LASER,DATA MATRIX ILEGIBLE,MAQUINA,PSAD,HYUNDAI
SMD,LASER,DATA MATRIX INCORRECTO,MAQUINA,PSAD,HYUNDAI
SMD,LASER,DATA MATRIX INCORRECTO,METODO,PSAD,HYUNDAI
SMD,LASER,PANEL ATORADO,METODO,PSAD,HYUNDAI
SMD,LASER,PANEL ATORADO,MAQUINA,PSAD,HYUNDAI
SMD,LASER,PANEL ATORADO,MANO DE OBRA,PSAD,HYUNDAI
SMD,LASER,SIN IMPRESION DE DATA MATRIX,MAQUINA,PSAD,HYUNDAI
SMD,LASER,DATA MATRIX DUPLICADO,MAQUINA,PSAD,HYUNDAI
SMD,LASER,DATA MATRIX DUPLICADO,METODO,PSAD,HYUNDAI
