No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
141868	ZSCR	551	035-1	0	6521017614A	NA	6575602075	5	3011	050		1351	BIP TRANSISTOR / BC846B_______		ROH	NA	0.4	ES CEC	4957324565
141868	ZSCR	551	035-1	0	6521017614A	NA	6596362078	1	3011	050		1351	16V -10+20% CERAMIC CAPACITOR		ROH	NA	1.32	ES CEC	4957324565
141868	ZSCR	551	035-1	0	6521017614A	NA	9156561	2	3011	050		1351	"4K22,1%,TK50,250MW,MINIMELF020"		ROH	NA	0.18	ES CEC	4957324565
141868	ZSCR	551	035-1	0	6521017614A	NA	A2C00001994	5	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	0.95	ES CEC	4957324565
141868	ZSCR	551	035-1	0	6521017614A	NA	A2C00003727	2	3011	050		1351	"270R,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.02	ES CEC	4957324565
141868	ZSCR	551	035-1	0	6521017614A	NA	A2C00043944	1	3011	050		1351	"8.2V,800mW,SOD123F,ZENER and 150W TVS/BZ"		ROH	NA	0.53	ES CEC	4957324565
141869	ZSCR	551	035-1	0	A2C53352296T	NA	8800630584	3	3011	050		1351	Etiqueta DT Amarilla de Pcb (PF 006)		ROH	NA	1.83	ES M3C	4957324937
141869	ZSCR	551	035-1	0	A2C53352296T	NA	A2C00000330	10	3011	050		1351	"600V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	1.9	ES M3C	4957324937
141869	ZSCR	551	035-1	0	A2C53352296B	NA	A2C00000391	7	3011	050		1351	"200V,2A,1,STANDARD,DO214AA,RECT DIODE/ES"		ROH	NA	2.87	ES M3C	4957324840
141869	ZSCR	551	035-1	0	A2C53352296B	NA	A2C00001040	6	3011	050		1351	"2,COMP,0Hz,SO8,OP-COMP/TS393IDT"		ROH	NA	11.94	ES M3C	4957324840
141869	ZSCR	551	035-1	0	A2C53352296T	NA	A2C00003620	4	3011	050		1351	"1K82,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.36	ES M3C	4957324937
141869	ZSCR	551	035-1	0	A2C53352296T	NA	A2C00003686	7	3011	050		1351	"3K9,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.07	ES M3C	4957324937
141869	ZSCR	551	035-1	0	A2C53352296T	NA	A2C00003828	14	3011	050		1351	"R LIN,2K2,5%,TK200,100mW,0603"		ROH	NA	0.14	ES M3C	4957324937
141869	ZSCR	551	035-1	0	A2C53352296B	NA	A2C00018261	4	3011	050		1351	"TLE6250G,CAN-Transceiver,OTHER IC/CAN-Tr"		ROH	NA	11.96	ES M3C	4957324840
141869	ZSCR	551	035-1	0	A2C53352296B	NA	A2C00019350	8	3011	050		1351	"33uF,20%,35V,SMD,AL,ELEC CAP/Aluminium E"		ROH	NA	9.92	ES M3C	4957324840
141869	ZSCR	551	035-1	0	A2C53352296B	NA	A2C00020895	4	3011	050		1351	"70V,150mA,2, common anode, FAST,SOT323_3"		ROH	NA	0.36	ES M3C	4957324840
141869	ZSCR	551	035-1	0	A2C53352296T	NA	A2C00043415	4	3011	050		1351	"16MHz,50ppm,NX5032GA,QUARTZ CRYSTAL/NX50"		ROH	NA	10.44	ES M3C	4957324937
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00000406	10	3011	050		1351	"D REC/ES3D,200V,3A,DO214AB,0s"		ROH	NA	8.1	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00001149	1	3011	050		1351	"4,GATE,SO14,LOGIC/MM74HC02MX"		ROH	NA	0.45	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00001173	1	3011	050		1351	"6,GATE,SO14,LOGIC/74HC04D/T3"		ROH	NA	0.44	ES SID904	4957324778
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00001173	3	3011	050		1351	"6,GATE,SO14,LOGIC/74HC04D/T3"		ROH	NA	1.32	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00001178	8	3011	050		1351	"4,GATE,SO14,LOGIC/74HC08DT3"		ROH	NA	3.52	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00002211	3	3011	050		1351	"47nF,10%,16V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.06	ES SID904	4957324778
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00002211	36	3011	050		1351	"47nF,10%,16V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.72	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00002296	1	3011	050		1351	"27nF,10%,50V,X7R,0805,TINNED,CER CAP/"		ROH	NA	0.05	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00003548	16	3011	050		1351	"3K01,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	1.28	ES SID904	4957324778
141870	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00003584	5	3011	050		1351	"3K3,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.4	ES SID904	4957324778
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00003584	5	3011	050		1351	"3K3,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.4	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344555T	NA	A2C00003695	2	3011	050		1351	"3K32,1%,TK50,250mW,MINIMELF0204,LIN RES/"		ROH	NA	0.18	ES SID904	4957324810
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00003839	1	3011	050		1351	"1K8,5%,TK250,63mW,0603,LIN RES/RC"		ROH	NA	0.01	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00004366	7	3011	050		1351	"68K1,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.07	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00004408	70	3011	050		1351	"R LIN,4K7,1%,TK100,100mW,0603"		ROH	NA	0.7	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00004463	22	3011	050		1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.22	ES SID904	4957324778
141870	ZSCR	551	035-1	0	A2C53344555T	NA	A2C00004463	29	3011	050		1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.29	ES SID904	4957324810
141870	ZSCR	551	035-1	0	A2C53344552A	NA	A2C00004463	69	3011	050		1351	"R LIN,10K,1%,TK100,100mW,0603"		ROH	NA	0.69	ES SID904	4957324754
141870	ZSCR	551	035-1	0	A2C53344552B	NA	A2C00004496	4	3011	050		1351	"R LIN,33K,1%,TK100,100mW,0603"		ROH	NA	0.04	ES SID904	4957324778
