No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
635541	27/06/2015	ZSCR	551	040-5	NA	'054	A2C35116101	NA	A2C35116101	1	3011	054	 	1405	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	
635650	27/06/2015	ZSCR	551	040-3	NA	'054	A2C32453912	NA	A2C35116101	1	3011	054	 	1403	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	
635652	27/06/2015	ZSCR	551	040-1	NA	'054	A2C35116101	NA	A2C35116101	1	3011	054	 	1401	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_A.A	NO	
635973	29/06/2015	ZSCR	551	030-1	NA	'054	5WK44673	NA	A2C32999900	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	150.01	PS_FIAT BRAZIL_.	NO	
636083	29/06/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636085	29/06/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636087	29/06/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636088	29/06/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636101	29/06/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636103	29/06/2015	ZSCR	551	030-1	NA	'054	A2C30910808	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636115	29/06/2015	ZSCR	551	030-1	NA	'054	A2C37924700	NA	A2C37744300	1	3011	054	 	1301	pcb assy PTFSPEED15 V01	NA	HALB	S.Real	168.42	PS_FIAT BRAZIL_.	NO	
636118	29/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C95735801	1				1095	pcb assy VW11	NA	HALB	S.Real	334.39	PS_VW11_.	NO	
636185	29/06/2015	MB1A	551	034-4	K96019	'054	NA	NA	A2C95735801	2				1095	pcb assy VW11	NA	HALB	S.Real	668.78	PS_VW11_.	NO	
636193	29/06/2015	ZSCR	551	040-3	NA	'054	5WK44675	NA	A2C53332366	4	3011	054	 	1403	cover RAP T BK	NA	ROH	NA	31.16	PS_FIAT BRAZIL_.	NO	
636208	29/06/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C92444800	1				1095	pin header 100P H 4R PF 1018	NA	ROH	NA	51.76	PS_VW11_.	NO	
636210	29/06/2015	ZSCR	551	040-3	NA	'054	5WK44830	NA	A2C53405780	1	3011	054	 	1403	housing	NA	ROH	NA	30.79	PS_HONDA HRS6_J.JUAN CH	NO	
636266	29/06/2015	MB1A	551	040-4	K96019	'054	NA	NA	A2C53424040	1230				1095	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	356.7	PSAD_DAIMLER SMART_F.FE	NO	
636266	29/06/2015	MB1A	551	040-4	K96019	'054	NA	NA	A2C83435000	246				1095	cover FIP T BK	NA	ROH	NA	4381.26	PSAD_DAIMLER SMART_F.FE	NO	
636491	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44630	NA	A2C32509000	1	3011	054	 	1301	pcb assy VW20 V01	NA	HALB	S.Real	140.87	PSAD_VW20_.	NO	
636493	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	4	3011	054	 	1301	pcb assy	NA	HALB	S.Real	324.44	PS_HONDA HRS6_J.JUAN CH	NO	
636494	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	3	3011	054	 	1301	pcb assy	NA	HALB	S.Real	243.33	PS_HONDA HRS6_J.JUAN CH	NO	
636495	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	81.11	PS_HONDA HRS6_J.JUAN CH	NO	
636496	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	3	3011	054	 	1301	pcb assy	NA	HALB	S.Real	243.33	PS_HONDA HRS6_J.JUAN CH	NO	
636497	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44291	NA	A2C53395078	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real	81.11	PS_HONDA HRS6_J.JUAN CH	NO	
636530	30/06/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C3511610193	1	3011	054	 	1301	pcb assy DAGSTAR2 D_12 SMD TOP	NA	HALB	S.Real	316.77	PSAD_DAIMLER STAR 2_A.A	NO	
636531	30/06/2015	ZSCR	551	030-1	NA	'054	A2C32453912	NA	A2C3511610193	1	3011	054	 	1301	pcb assy DAGSTAR2 D_12 SMD TOP	NA	HALB	S.Real	316.77	PSAD_DAIMLER STAR 2_A.A	NO	
636541	30/06/2015	ZSCR	551	030-1	NA	'054	5WK44562	NA	A2C32679900	6	3011	054	 	1301	pcb	NA	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	
636546	30/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C82768800	6				1095	pcb 4-lay FR-4 DAG Smart	NA	ROH	NA	124.02	PSAD_DAIMLER SMART_F.FE	NO	
636547	30/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	6				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	1057.26	PSAD_DAIMLER SMART_F.FE	NO	
636562	30/06/2015	MB1A	551	040-3	K96019	'054	NA	NA	A2C95735801	1				1095	pcb assy VW11	NA	HALB	S.Real	334.39	PS_VW11_.	NO	
636568	30/06/2015	ZSCR	551	040-3	NA	'054	A2C32453912	NA	A2C35116101	1	3011	054	 	1403	pcb assy DAGSTAR2 D_12	NA	HALB	S.Real	394.8	PSAD_DAIMLER STAR 2_F.F	NO	
636576	30/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C8522100193	12				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	2114.52	PSAD_DAIMLER SMART_F.FE	NO	
636576	30/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C8522140193	2				1095	pcb assy DAGSM D_4 SMD TOP	NA	HALB	S.Real	354.9	PSAD_DAIMLER SMART_F.FE	NO	
636584	30/06/2015	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53098572	30	3011	054	 	1342	label	NA	ROH	NA	13.2	OC_BOSE VW_A.ANA TAPIA-	NO	4991989471
636651	30/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C8522100193	1				1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	
