No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	apd	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010560	313	3011	100	1351	"T BIP/PZT3904,SOT223"		ROH	NA	106.42	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010564	374	3011	100	1351	"C CER,C0G,100pF,10%,100V,0805,-"		ROH	NA	33.66	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010570	4	3011	100	1351	"IC VOLT REG/TPS77133DGK,MSOP-8"		ROH	NA	14.68	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010574	1	3011	100	1351	"IC VOLT REG/TLE4267G,TO220-7"		ROH	NA	4.04	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010576	63	3011	100	1351	"IC BUS DRIV/TJA1054T/VM,SOIC14"		ROH	NA	320.67	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010581	3	3011	100	1351	"R SHUNT,0R003,3W,0A,5nH,Kelvin connectio"		ROH	NA	8.28	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010582	49	3011	100	1351	"D REC/-,200V,1A,SMB,0s"		ROH	NA	25.48	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010583	6	3011	100	1351	"SEN/LM74CIMX-5,TBD"		ROH	NA	29.28	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010590	3	3011	100	1351	"EM RELAY,TBD,SINGLE,8V"		ROH	NA	62.79	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010593	38	3011	100	1351	"Q QUARTZ/LN-G32-403,8MHz,AT51-GW"		ROH	NA	103.36	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010594	4	3011	100	1351	"IC OTH/-,QFN44"		ROH	NA	88.32	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010595	10	3011	100	1351	"IC OPCOMP/LM2903D,SO8"		ROH	NA	7.2	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010598	2	3011	100	1351	",A1,TBD,STD IC - MASKED ROM,MICRO PROG,T"		ROH	NA	156.94	OES_EPS_A.APROBACION AU	NO	4991694485
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C40010606	6	3011	100	1351	"T FET/IPB80N04S2-H4,MOS,POWER,N_CHAN,0V,"		ROH	NA	30.96	OES_EPS_A.APROBACION AU	NO	4991694380
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C53396249	1	3011	100	1351	"CONN,F,10CONT,ST,15436183R03"		ROH	NA	34.96	OES_EPS_A.APROBACION AU	NO	4991694485
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C53396250	1	3011	100	1351	"CONN,M,10CONT,ST,TYCO # 1642446-1"		ROH	NA	11.86	OES_EPS_A.APROBACION AU	NO	4991694485
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C53396251	1	3011	100	1351	"CONN,M,31CONT,RIGHT ANGLE"		ROH	NA	52.45	OES_EPS_A.APROBACION AU	NO	4991694402
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C53396258	2	3011	100	1351	"CONN,F,10CONT,ST,45391-1012"		ROH	NA	11.54	OES_EPS_A.APROBACION AU	NO	4991694402
643491	20/07/2015	ZSCR	551	035-1	0	'100	A2C53396263	NA	A2C53396264	0	3011	100	1351	ICDP PGM 256K FLASH BLANK A5140489J0100		ROH	NA	0	OES_EPS_A.APROBACION AU	NO	4991694402
