No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	x	x	x	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
219887	17/10/2012	ZSCR	551	030-1	NA	'015	5WK47832	NA	A2C53249431	1	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_ACURA ECU_ENRIQUE GA	NO	4962043557
219902	17/10/2012	ZSCR	551	030-1	NA	'015	A2C53249397	NA	A2C53249431	1	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_SMART ECU_ENRIQUE GA	NO	4962043605
219903	17/10/2012	ZSCR	551	034-2	NA	'015	5WK47833	NA	A2C53249431	1	3011	015		1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_SMART ECU_ENRIQUE GA	NO	4962043655
219904	17/10/2012	ZSCR	551	030-1	NA	'015	5WK47834	NA	A2C53249431	1	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_SMART ECU_ENRIQUE GA	NO	4962043580
219905	17/10/2012	ZSCR	551	034-2	NA	'015	5WK47834	NA	A2C53249431	2	3011	015		1342	multipoint connector 73P H 3SYS BK	NA	ROH	NA	45.7	S5_SMART ECU_ENRIQUE GA	NO	4962043661
219906	17/10/2012	ZSCR	551	030-1	NA	'015	5WK47833	NA	A2C53249431	2	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	45.7	S5_SMART ECU_ENRIQUE GA	NO	4962043575
219913	17/10/2012	ZSCR	551	030-1	NA	'015	5WK47837	NA	A2C53249431	1	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_ACURA ECU_ENRIQUE GA	NO	4962043591
219942	18/10/2012	ZSCR	551	030-1	NA	'015	A2C53427347	NA	A2C53249431	2	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	45.7	S5_ACURA ECU_ENRIQUE GA	NO	4962043616
219943	18/10/2012	ZSCR	551	030-1	NA	'015	5WK47833	NA	A2C53249431	1	3011	015		1301	multipoint connector 73P H 3SYS BK	NA	ROH	NA	22.85	S5_SMART ECU_ENRIQUE GA	NO	4962043575
219990	18/10/2012	ZSCR	551	034-2	NA	'050	5WK47832	NA	A2C53216585	4	3011	050		1342	pcb panel multiple 4-up	NA	ROH	NA	93.24	S5_ACURA ECU_ENRIQUE GA	NO	4962043633
