No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
624927	28/05/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C9573580093	19				1095	pcb assy VW11 SMD TOP	NA	HALB	S.Real	5013.15	PS_VW11_. (APROBACION	NO	4990816365		
626581	03/06/2015	MB1A	551	95	K96019	'054	A2C8522130193	NA	A2C00040894	13				1095	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	2.08	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
626581	03/06/2015	MB1A	551	95	K96019	'054	A2C8522140193	NA	A2C00040894	98				1095	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	15.68	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
626581	03/06/2015	MB1A	551	95	K96019	'054	A2C8522100193	NA	A2C00040894	158				1095	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	25.28	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
626582	03/06/2015	MB1A	551	95	K96019	'054	A2C9483240393	NA	A2C00048076	5				1095	"47nF,10%,100V,X7R,0805,Sn,CER CAP/++ Ope"		ROH	NA	0.45	PSAD_STAR 22_A.APROBACI	NO	4990814738		
626582	03/06/2015	MB1A	551	95	K96019	'054	A2C9483230293	NA	A2C00048076	2				1095	"47nF,10%,100V,X7R,0805,Sn,CER CAP/++ Ope"		ROH	NA	0.18	PSAD_STAR 22_A.APROBACI	NO	4990814738		
627541	04/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C95035704	45				1253	ACU VW11 MY15 S20 16 06 0 1 0 000	VUG020307	FERT	NA	16012.8	PS_VW11_.	NO	REV		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	2	5WK44600	2				1253	ACU HONHRS6 MY13 S15 XX XX 0 0 0	VUG020301	FERT	NA	705.14	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C3268040002	1				1253	pcb assy HONHRS6 V11B	VUG020301	HALB	S.Real	318.19	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C80216600	27				1253	pcb assy HONHRS6 D_4	VUG020301	HALB	S.Real	8570.88	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C8021660002	13				1253	pcb assy HONHRS6 V04	VUG020301	HALB	S.Real/AutoBF	4121.65	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C8021770003	36				1253	pcb assy HONHRS6 D_20_SW	VUG020301	HALB	S.Real	11426.04	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C80256400	1				1253	pcb assy HONHRS6 D_7	VUG020301	HALB	S.Real	185.34	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C84965300	2				1253	pcb assy HONHRS6 D_13	VUG020301	HALB	S.Real	413.46	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C84965300	1				1253	pcb assy HONHRS6 D_13	VUG020301	HALB	S.Real	206.73	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C91390100	2				1253	pcb assy HONHRS6 D_23	VUG020301	HALB	S.Real	589.64	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628667	08/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C91390400	1				1253	pcb assy HONHRS6 D_24	VUG020301	HALB	S.Real	294.31	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
628921	09/06/2015	MB1A	551	040-3	K96019	'054	NA	1	A2C38172106	1				1095	ACU DAGSMW453 MY13 S15 12 08 0 0 0 000	NA	FERT	NA	289.34	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
628964	09/06/2015	MB1A	551	040-1	K96019	'054	NA	NA	A2C96766800	1				1095	pcb assy DAGSMW453 with SW	NA	HALB	S.Real/AutoBF	254.54	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
628977	09/06/2015	MB1A	551	040-3	K96019	'054	NA	1	A2C38171905	1				1095	ACU DAGSMC453 MY13 S15 12 08 0 0 0 000	NA	FERT	NA	283.87	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629011	09/06/2015	MB1A	551	040-4	K96019	'054	NA	NA	A2C53424040	1595				1095	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	462.55	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629011	09/06/2015	MB1A	551	040-4	K96019	'054	NA	NA	A2C83435000	319				1095	cover FIP T BK	NA	ROH	NA	5681.39	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629109	09/06/2015	MB1A	551	95	K96019	'054	A2C8522140193	NA	A2C00040894	77				1095	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	12.32	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	2	5WK44601	1				1253	ACU HONHRS6 MY13 S15 XX XX 0 0 0	VUG020301	FERT	NA	218.45	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	0	A2C82096300	2				1253	ACU HONHRS5 MY13 S10 09 04 0 0 0 000	VUG020301	FERT	NA	510.56	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	KAAF	A2C85220900	10				1253	ACU HONHRS6 MY15 S15 11 05 0 0 0 000	VUG020301	FERT	NA	2372.9	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	KAAF	A2C85220900	1				1253	ACU HONHRS6 MY15 S15 11 05 0 0 0 000	VUG020301	FERT	NA	237.29	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	604AB	A2C89730900	1				1253	ACU HONHRS6 MY14 S15 10 05 0 1 0 000	VUG020301	FERT	NA	351.88	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	06AA	A2C90499200	3				1253	ACU HONHRS6 MY15 S15 05 02 0 0 0 000	VUG020301	FERT	NA	621.84	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	06AA	A2C90500000	12				1253	ACU HONHRS6 MY15 S15 05 02 0 0 0 000	VUG020301	FERT	NA	2487.36	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	06AA	A2C90500300	5				1253	ACU HONHRS6 MY15 S15 05 02 0 0 0 000	VUG020301	FERT	NA	1036.4	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91374200	19				1253	ACU HONHRS6 MY15 S15 10 04 0 1 0 000	VUG020301	FERT	NA	6208.63	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91374200	7				1253	ACU HONHRS6 MY15 S15 10 04 0 1 0 000	VUG020301	FERT	NA	2287.39	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91480400	35				1253	ACU HONHRS6 MY14 S15 12 04 0 1 0 000	VUG020301	FERT	NA	11427.85	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	77AA	A2C95772700	8				1253	ACU HONHRS6 MY15 S15 11 05 0 0 0 000	VUG020301	FERT	NA	1912.16	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	77AA	A2C95773600	3				1253	ACU HONHRS6 MY15 S15 05 02 0 0 0 000	VUG020301	FERT	NA	627.99	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629178	10/06/2015	MB1A	951	025-3	NA	'054	NA	77AA	A2C95773900	2				1253	ACU HONHRS6 MY15 S15 05 02 0 0 0 000	VUG020301	FERT	NA	419.34	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	1	5WK44461	2				1253	ACU HONHRS5 MY12 S10 XX XX 0 0 0	VUG020301	FERT	NA	755.78	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	5WK44515	6				1253	ACU HONHRS5 MY12 S10 XX XX 0 0 0	VUG020301	FERT	NA	1545.12	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	2	5WK44591	5				1253	ACU HONHRS5 MY13 S10 XX XX 0 0 0	VUG020301	FERT	NA	1300.5	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	5WK44689	2				1253	ACU HONHRS5 MY12 S10 XX XX 0 0 0	VUG020301	FERT	NA	514.24	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	5WK44690	2				1253	ACU HONHRS5 MY12 S10 XX XX 0 0 0	VUG020301	FERT	NA	512.08	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	A2C81622000	1				1253	ACU HONHRS5 MY13 S10 11 04 0 0 0 000	VUG020301	FERT	NA	379.18	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	A2C81622300	1				1253	ACU HONHRS5 MY13 S10 10 04 0 0 0 000	VUG020301	FERT	NA	256.1	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	A2C81625800	6				1253	ACU HONHRS5 MY13 S10 09 04 0 0 0 000	VUG020301	FERT	NA	1550.88	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	3	A2C81626000	3				1253	ACU HONHRS5 MY13 S10 09 04 0 0 0 000	VUG020301	FERT	NA	775.44	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	0	A2C82096300	1				1253	ACU HONHRS5 MY13 S10 09 04 0 0 0 000	VUG020301	FERT	NA	255.28	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	87AB	A2C87038500	5				1253	ACU HONHRS5 MY14 S10 11 04 0 1 0 000	VUG020301	FERT	NA	1903.05	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91374400	1				1253	ACU HONHRS6 MY15 S15 10 04 0 1 0 000	VUG020301	FERT	NA	326.6	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	06AC	A2C93017700	2				1253	ACU HONHRS5 MY15 S10 09 04 0 0 0 000	VUG020301	FERT	NA	502.84	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	904AA	A2C94504300	9				1253	ACU HONHRS5 MY15 S10 04 02 0 0 0 000	VUG020301	FERT	NA	2085.66	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	904AA	A2C94819900	1				1253	ACU HONHRS5 MY15 S10 10 04 0 1 0 000	VUG020301	FERT	NA	376.93	PS_HONDA HRS5_.	NO	4990814796		
629179	10/06/2015	MB1A	951	025-3	NA	'054	NA	904AA	A2C94819900	8				1253	ACU HONHRS5 MY15 S10 10 04 0 1 0 000	VUG020301	FERT	NA	3015.44	PS_HONDA HRS5_.	NO	4990814796		
629182	10/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C96766600	1				1095	pcb assy DAGSMC453 with SW	NA	HALB	S.Real/AutoBF	249.06	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629248	10/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C82768800	6				1095	pcb 4-lay FR-4 DAG Smart	NA	ROH	NA	124.02	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629257	10/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C95735700	360				1095	pcb 4-lay ImSn	NA	ROH	NA	4860	PS_VW11_.	NO	4990812788		
629324	10/06/2015	MB1A	551	040-5	K96019	'054	A2C95035704	NA	A2C92444800	1				1095	pin header 100P H 4R PF 1018	NA	ROH	NA	51.76	PS_VW11_.	NO	4990812788		
629325	10/06/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C87246300	3				1095	"holder assy PTPSS CAPAssy5,7"	NA	ROH	NA	38.67	PS_VW11_.	NO	4990812788		
629394	10/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C84965300	1				1253	pcb assy HONHRS6 D_13	VUG020301	HALB	S.Real	206.73	PS_HONDA HRS6_J.JUAN CH	NO	4990814636		
629394	10/06/2015	MB1A	951	025-3	NA	'054	NA	KAAF	A2C85220900	5				1253	ACU HONHRS6 MY15 S15 11 05 0 0 0 000	VUG020301	FERT	NA	1186.45	PS_HONDA HRS6_J.JUAN CH	NO	4990814716		
629394	10/06/2015	MB1A	951	025-3	NA	'054	NA	KAAF	A2C85220900	5				1253	ACU HONHRS6 MY15 S15 11 05 0 0 0 000	VUG020301	FERT	NA	1186.45	PS_HONDA HRS6_J.JUAN CH	NO	4990814716		
629394	10/06/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91374200	9				1253	ACU HONHRS6 MY15 S15 10 04 0 1 0 000	VUG020301	FERT	NA	2940.93	PS_HONDA HRS6_J.JUAN CH	NO	4990814716		
629394	10/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C91408600	2				1253	pcb assy HONHRS6 D_16	VUG020301	HALB	S.Real/AutoBF	589.1	PS_HONDA HRS6_J.JUAN CH	NO	4990814716		
629394	10/06/2015	MB1A	951	025-3	NA	'054	NA	2800	A2C91480400	6				1253	ACU HONHRS6 MY14 S15 12 04 0 1 0 000	VUG020301	FERT	NA	1959.06	PS_HONDA HRS6_J.JUAN CH	NO	4990814716		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C5339961702	1				1253	pcb assy V1B	VUG020301	HALB	S.Real/AutoBF	219.12	PS_HONDA HRS5_.	NO	4990814796		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C5339961703	1				1253	pcb assy HONHRS5 V01	VUG020301	HALB	S.Real	219.13	PS_HONDA HRS5_.	NO	4990814796		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C53399623	19				1253	pcb assy HONHRS5 V07	VUG020301	HALB	S.Real	4198.24	PS_HONDA HRS5_.	NO	4990814796		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	87AB	A2C87038500	5				1253	ACU HONHRS5 MY14 S10 11 04 0 1 0 000	VUG020301	FERT	NA	1903.05	PS_HONDA HRS5_.	NO	4990814796		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C92190900	7				1253	pcb assy HONHRS5 V25	VUG020301	HALB	S.Real	2394.63	PS_HONDA HRS5_.	NO	4990814796		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C94490800	6				1253	pcb assy HONHRS5 V37	VUG020301	HALB	S.Real	1149.12	PS_HONDA HRS5_.	NO	4990814796		
629649	11/06/2015	MB1A	951	025-3	NA	'054	NA	904AA	A2C94504300	1				1253	ACU HONHRS5 MY15 S10 04 02 0 0 0 000	VUG020301	FERT	NA	231.74	PS_HONDA HRS5_.	NO	4990814796		
629770	11/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C96766600	1				1095	pcb assy DAGSMC453 with SW	NA	HALB	S.Real/AutoBF	249.06	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629772	11/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C96766600	1				1095	pcb assy DAGSMC453 with SW	NA	HALB	S.Real/AutoBF	249.06	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629815	11/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C95735700	8				1095	pcb 4-lay ImSn	NA	ROH	NA	108	PS_VW11_.	NO	4990812788		
629831	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C98568300	6				1253	pcb assy VW10	VUG020248	HALB	S.Real	1436.7	PS_VW10 LC_.	NO	4990816452		
629831	11/06/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C9856830093	48				1253	pcb assy VW10 SMD TOP	VUG020248	HALB	S.Real	8946.24	PS_VW10 LC_.	NO	4990814835		
629859	11/06/2015	MB1A	551	040-3	K96019	'054	NA	NA	A2C96766600	1				1095	pcb assy DAGSMC453 with SW	NA	HALB	S.Real/AutoBF	249.06	PSAD_DAIMLER SMART_F.FE	NO	4990813031		
629878	11/06/2015	MB1A	551	050-3	K96019	'054	NA	NA	A2C95735801	2				1095	pcb assy VW11	NA	HALB	S.Real	668.78	PS_VW11_.	NO	4990812788		
629886	11/06/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C34599800	2				1095	"holder assy PTPSS CAPAssy8,8"	NA	ROH	NA	33.04	PSAD_STAR 22_.	NO	4990814738		
629890	11/06/2015	MB1A	551	040-5	K96019	'054	NA	NA	A2C34599800	3				1095	"holder assy PTPSS CAPAssy8,8"	NA	ROH	NA	49.56	PSAD_STAR 22_.	NO	4990814738		
629910	11/06/2015	MB1A	551	030-1	K96019	'054	NA	NA	A2C95735700	128	3011	054	 	1095	pcb 4-lay ImSn	NA	ROH	NA	1728	PS_VW11_.	NO			
629948	11/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	6593331401	35				1095	ETIQUETA DE IDENTIFIC. HONDA	NA	ROH	NA	9.45	PS_HONDA HRS7_. (APROB	NO	4990812726		
629948	11/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C53108387	175				1095	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	35	PS_HONDA HRS7_. (APROB	NO	4990812726		
629948	11/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C53397769	35				1095	housing	NA	ROH	NA	800.1	PS_HONDA HRS7_. (APROB	NO	4990812726		
629948	11/06/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C53397780	35				1095	cover	NA	ROH	NA	118.3	PS_HONDA HRS7_. (APROB	NO	4990812726		
