No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
462377	22/05/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C81455800	1	1095	pcb assy RENT4 V01	NA	HALB	S.Real	132.3	PS_RENAULT_.	NO	4978139587
462381	22/05/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C92711900	1	1095	pcb assy DAGSTAR2 ISC D_25	NA	HALB	S.Real	410.46	PSAD_DAIMLER STAR2_ISC_	NO	4978139729
462387	22/05/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C9257230093	1	1095	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_C.CAROLINA OTA	NO	4978139623
462388	22/05/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C9257230093	1	1095	pcb assy GMSMD30 Top	NA	HALB	S.Real	256.95	PS_SDM30_C.CAROLINA OTA	NO	4978139623
462411	22/05/2014	MB1A	551	030-1	K96019	'054	NA	NA	A2C9257270093	1	1095	pcb assy GMSMD30 Top	NA	HALB	S.Real	384.12	PS_SDM30_C.CAROLINA OTA	NO	4978139623
462441	22/05/2014	ZSCR	551	034-2	NA	'054	5WK43521	NA	A2C53106605	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	538.93	OC_OCS SUZUKI_A.ANA TAP	NO	4978141737
462443	22/05/2014	ZSCR	551	034-2	NA	'054	5WK44040	NA	A2C53279728	1	1342	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS SUZUKI_A.ANA TAP	NO	4978141748
462447	22/05/2014	ZSCR	551	022-2	NA	'054	5WY75960	NA	A2C00018861	12	1222	"150uH,540mA,HOL,COIL/BC-Drossel"	NA	ROH	NA	3.6	PS_ARAMIS III_E.EDWIN R	NO	4978139905
462447	22/05/2014	ZSCR	551	022-2	NA	'054	5WK44285SP	NA	A2C00023738	12	1222	"47uF,20%,50V,HOL,AL,ELEC CAP/"	NA	ROH	NA	3.12	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	A2C38081701	NA	A2C53338029	12	1222	pcb panel multiple 6-up main	NA	ROH	NA	256.56	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	A2C53240313MI	NA	A2C53125066	3	1222	multipoint connector 96P H 2SYS E-B	NA	ROH	NA	107.64	PS_ARAMIS III_E.EDWIN R	NO	4978139920
462447	22/05/2014	ZSCR	551	022-2	NA	'054	5WK43900M	NA	A2C00049991	18	1222	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	16.74	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	5WK44015	NA	A2C00017824	12	1222	"3.2mF,30%,35V,HOL,AL,ELEC CAP/AIRBAG, J"	NA	ROH	NA	48.6	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	5WK44004	NA	A2C00049991	36	1222	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	33.48	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	5WK44096	NA	6593757501	12	1222	Bracket Capacitor Cap Cradle	NA	ROH	NA	13.08	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	A2C53375511	NA	A2C53345691	8	1222	multipoint connector 96P H 2SYS E-A	NA	ROH	NA	323.2	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	A2C30930201	NA	A2C53345691	1	1222	multipoint connector 96P H 2SYS E-A	NA	ROH	NA	40.4	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462447	22/05/2014	ZSCR	551	022-2	NA	'054	A2C30930202	NA	A2C00056955	12	1222	"8.8mF,20%,35V,HOL,AL,ELEC CAP/"	NA	ROH	NA	111.96	PS_ARAMIS III_E.EDWIN R	NO	4978139868
462456	22/05/2014	ZSCR	551	034-4	NA	'054	A2C89730900	NA	A2C8021660002	1	1344	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	4978141821
