No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
674022	16/10/2015	MB1A	951	025-3	NA	'063	NA	NA	A2C3280590092	7	1253	circuit board assy TPM bottom	VUG020290	HALB	S.Real	290.85	S1_NISSAN KEY FOB CMF1_	NO	4995018860
674093	17/10/2015	ZSCR	551	034-2	NA	'063	A2C32805900	NA	A2C3280590092	4	1342	circuit board assy TPM bottom	NA	HALB	S.Real	166.2	S1_NISSAN KEY FOB CMF1_	NO	4995020696
674132	17/10/2015	ZSCR	551	034-2	NA	'063	A2C32805900	NA	A2C3280590092	1	1342	circuit board assy TPM bottom	NA	HALB	S.Real	41.55	S1_NISSAN KEY FOB CMF1_	NO	4995020702
674683	19/10/2015	ZSCR	551	050-3	NA	'045	S122736018	1	S122736018	1	1503	Nissan D BCM P53C EU RHD	NA	FERT	NA	341.37	S2_BCM_R.RODRIGO CERVAN	NO	4995022341
674683	19/10/2015	ZSCR	551	050-3	NA	'045	S122736049B	1	S122736049B	1	1503	Nissan D BCM C53D NAM WSCREW New SW	NA	FERT	NA	345.72	S2_BCM_R.RODRIGO CERVAN	NO	4995022341
675427	21/10/2015	ZSCR	551	034-2	NA	'063	A2C32805500	NA	A2C3280550092	1	1342	circuit board assy TPM	NA	HALB	S.Real	41.56	S1_NISSAN KEY FOB CMF1_	NO	4995020713
675547	21/10/2015	ZSCR	551	040-2	NA	'063	A2C32805500	NA	A2C3280550092	1	1402	circuit board assy TPM	NA	HALB	S.Real	41.56	S1_NISSAN KEY FOB CMF1_	NO	4995021431
675555	21/10/2015	ZSCR	551	034-2	NA	'063	A2C32805500	NA	A2C3280550092	5	1342	circuit board assy TPM	NA	HALB	S.Real	207.8	S1_NISSAN KEY FOB CMF1_	NO	4995020723
675690	22/10/2015	ZSCR	551	030-1	NA	'063	A2C32805500	NA	A2C3280550092	1	1301	circuit board assy TPM	NA	HALB	S.Real	41.56	S1_NISSAN KEY FOB CMF1_	NO	4995019937
676197	24/10/2015	ZSCR	551	034-2	NA	'063	A2C32805500	NA	A2C3280550092	1	1342	circuit board assy TPM	NA	HALB	S.Real	41.56	S1_NISSAN KEY FOB CMF1_	NO	4995020732
676434	25/10/2015	ZSCR	551	030-1	NA	'045	A2C73843508		A2C73843508	1	1301	DCM*GM GLOBAL NEC_EX2	NA	FERT	NA	47.61	S6_KWANG JIN_J.JAVIER B	NO	4995018928
676435	25/10/2015	ZSCR	551	030-1	NA	'045	A2C73843504	NA	A2C74052901	18	1301	pcb 2-lay TSG*GM PWE	NA	ROH	NA	62.1	S6_KWANG JIN_J.JAVIER B	NO	4995019028
