No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
527783	30/09/2014	ZSCR	551	040-1	NA	'054	A2C8021770003	NA	A2C8021770003	1	3011	054	 	1401	pcb assy HONHRS6 D_20_SW	NA	HALB	S.Real	307.48	PS_HONDA HRS6_J.JUAN CH	NO	
527813	30/09/2014	ZSCR	551	040-3	NA	'054	A2C86668900	NA	A2C82541100	3	3011	054	 	1403	PIN CONNECTOR / 56/32 POL. KOD. Y-F	NA	ROH	NA	46.47	PSAD_OPEL 4400_J.JOSE O	NO	
527845	30/09/2014	ZSCR	551	040-3	NA	'054	5WK43876		5WK43876	1				1403	ACU CHRJC MY08 M30 xx xx 0 1 0	NA	FERT	NA	322.7	OES_ARAMIS I_E.EDWIN RO	NO	
528300	01/10/2014	ZSCR	551	034-2	NA	'054	5WK42560	NA	A2C53328548	4				1342	keypad assy	NA	HALB	S.Real/AutoBF	1796.12	OC_OCS NISSAN_A.ANA TAP	NO	
528315	01/10/2014	ZSCR	551	040-3	NA	'054	A2C89711901	NA	A2C83021101	1	3011	054	 	1403	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real	325.8	PSAD_ARMIN_J.JOSE ORTIZ	NO	
528335	01/10/2014	ZSCR	551	034-2	NA	'054	5WK44695	NA	A2C53142468	12	3011	054	 	1342	housing	NA	ROH	NA	271.92	OES_HONDA CR-V HE_.	NO	4982929908
528335	01/10/2014	ZSCR	551	034-2	NA	'054	5WK44695	NA	A2C53108387	72	3011	054	 	1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	12.96	OES_HONDA CR-V HE_.	NO	4982929908
528335	01/10/2014	ZSCR	551	034-2	NA	'054	5WK44695	NA	A2C53142470	12	3011	054	 	1342	cover	NA	ROH	NA	226.32	OES_HONDA CR-V HE_.	NO	4982929908
528460	01/10/2014	ZSCR	551	034-4	NA	'054	A2C5339962003	NA	A2C5339962003	1	3011	054	 	1344	pcb assy V4c	NA	HALB	S.Real	212.13	PS_HONDA HRS6_J.JUAN CH	NO	
528510	01/10/2014	ZSCR	551	035-1	0	'054	A2C53096707	NA	6591312043	1	3011	054	 	1351	"6.2V,350MW, SOT23, ZENER,STAB"		ROH	NA	0.09	PSAD_EPSILON_N.NORTON M	NO	
528513	01/10/2014	ZSCR	551	035-1	0	'054	A2C9219090093	NA	A2C00025460	23	3011	054	 	1351	"R LIN,330R,5%,TK200,63mW,0402"		ROH	NA	0.23	PS_HONDA HRS5_N.NORTON	NO	
528513	01/10/2014	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00010249	4	3011	054	 	1351	"560R,1%,TK50,1W,MELF0207,LIN RES/"		ROH	NA	0.96	PS_HONDA HRS5_N.NORTON	NO	
528513	01/10/2014	ZSCR	551	035-1	0	'054	A2C9449080093	NA	A2C00006616	1	3011	054	 	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.01	PS_HONDA HRS5_N.NORTON	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00010444	1	3011	054	 	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00051994	1	3011	054	 	1351	"330uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	1.02	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00037882	1	3011	054	 	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00004324	1	3011	054	 	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00566700	1	3011	054	 	1351	"R LIN,2R7,1%,TK200,100mW,0603"		ROH	NA	0.17	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00039667	3	3011	054	 	1351	"22K,0.1%,TK25,100mW,0603,LIN RES/"		ROH	NA	0.87	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C40005330	3	3011	054	 	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00025363	4	3011	054	 	1351	"22nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.08	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00064279	1	3011	054	 	1351	"T FET/NTJD4001N,MOS,SMALLSIGNAL,SOT363"		ROH	NA	0.31	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00019595	1	3011	054	 	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	
528522	01/10/2014	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00029771	3	3011	054	 	1351	"51uH,200mA,SMD,CAN-COIL/ ++PLS USE A2C00"		ROH	NA	4.26	PSAD_DAIMLER STAR 2_N.N	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8437050093	NA	A2C40002786	2	3011	054	 	1351	"D ZEN/-,16V,225mW,SOT-23"		ROH	NA	0.18	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8437050093	NA	A2C40004453	4	3011	054	 	1351	"R LIN,20K,5%,TK200,100mW,0603"		ROH	NA	0.04	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8437050093	NA	A2C40002675	68	3011	054	 	1351	"T BIP/BCR133,SOT23-MOTOROLA"		ROH	NA	6.12	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8437050092	NA	A2C40002675	101	3011	054	 	1351	"T BIP/BCR133,SOT23-MOTOROLA"		ROH	NA	9.09	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8254200093	NA	A2C40002675	1021	3011	054	 	1351	"T BIP/BCR133,SOT23-MOTOROLA"		ROH	NA	91.89	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8253870092	NA	A2C40002675	536	3011	054	 	1351	"T BIP/BCR133,SOT23-MOTOROLA"		ROH	NA	48.24	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8254100092	NA	A2C40002675	464	3011	054	 	1351	"T BIP/BCR133,SOT23-MOTOROLA"		ROH	NA	41.76	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8254490093	NA	A2C40002675	431	3011	054	 	1351	"T BIP/BCR133,SOT23-MOTOROLA"		ROH	NA	38.79	PSAD_OPEL 4400_N.NORTON	NO	
528526	01/10/2014	ZSCR	551	035-1	0	'054	A2C8254490092	NA	A2C40002757	5	3011	054	 	1351	"R JUMP,0R05,0W,1A,0603"		ROH	NA	0.05	PSAD_OPEL 4400_N.NORTON	NO	
