No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
110298	MB1A	551	034-2	B30301-00295	NA	NA	A2C00049991	1202	3011	054		1095	"470uF,20%,35V,HOL,AL,ELEC CAP/ELXZ350ETD"	NA	ROH	NA	1045.74	4955890689
115495	ZSCR	551	034-2	NA	A2C53243156MI	NA	A2C53280258	1	3011	054		1342	.multipoint connector 96P H 2SYS E-A	NA	ROH	NA	22.63	4955890794
115806	ZSCR	551	030-1	NA	5WK44374	NA	A2C53287893	12	3011	054		1301	pcb BMWOCE E70 OCE2007 EMC	NA	ROH	NA	84.48	4955890721
117049	ZSCR	551	035-1	0	A2C31748900	NA	A2C00000407	8	3011	054		1351	"40V,1A,1,SCHOTTKY,DO214AC,RECT DIODE/SS1"		ROH	NA	2	4955890497
117049	ZSCR	551	035-1	0	A2C31748900	NA	A2C00000445	5	3011	054		1351	"1,NPN,NORMAL,500mA,45V,SOT23,BIP/BC817-2"		ROH	NA	0.4	4955890497
117049	ZSCR	551	035-1	0	A2C31748900	NA	A2C00004364	61	3011	054		1351	"33K2,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.61	4955890497
117049	ZSCR	551	035-1	0	A2C53412223	NA	A2C00004391	10	3011	054		1351	"47R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.2	4955890459
117049	ZSCR	551	035-1	0	A2C31748900	NA	A2C00004391	19	3011	054		1351	"47R,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.38	4955890497
117049	ZSCR	551	035-1	0	A2C53412223	NA	A2C00004465	7	3011	054		1351	"R LIN,47K,1%,TK100,100mW,0603"		ROH	NA	0.07	4955890459
117049	ZSCR	551	035-1	0	A2C53412223	NA	A2C00006609	120	3011	054		1351	"100R,5%,TK200,63mW,0402,LIN RES/"		ROH	NA	1.2	4955890459
