No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
164832	ZSCR	551	030-1	NA	5WK44591	NA	A2C5343547693	1	1301	pcb assy HONHRS5 V35 top side	NA	HALB	S.Real	192.36	PS_VW10 LC_GERARDO ECHE	4958790613
164834	ZSCR	551	030-1	NA	5WK44591	NA	A2C5343547693	1	1301	pcb assy HONHRS5 V35 top side	NA	HALB	S.Real	192.36	PS_VW10 LC_GERARDO ECHE	4958790613
164848	ZSCR	551	030-1	NA	A2C53405100MI	NA	A2C53405100	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790562
164850	ZSCR	551	030-1	NA	A2C53405100MI	NA	A2C53405100	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790562
164851	ZSCR	551	030-1	NA	A2C53405100MI	NA	A2C53405100	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790562
164852	ZSCR	551	030-1	NA	A2C53405100MI	NA	A2C53405100	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790562
164854	ZSCR	551	030-1	NA	A2C53388685MI	NA	A2C53388685	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790300
164855	ZSCR	551	030-1	NA	A2C53405100MI	NA	A2C53405100	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790562
164858	ZSCR	551	030-1	NA	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_GERARDO E	4958790245
164862	ZSCR	551	030-1	NA	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_GERARDO E	4958790245
164868	ZSCR	551	034-2	NA	5WK43611	NA	A2C53108379	8	1342	cover FIP T GY	NA	ROH	NA	26.56	PS_ARAMIS 2011_GERARDO	4958790781
164869	ZSCR	551	040-1	NA	5WK44354	NA	5WK44354	1	1401	MODULE CONTROL FOR AIRBAG Hyundai UD	NA	FERT	NA	277.06	PS_HYUNDAI_GERARDO ECHE	
164874	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4958789677
164875	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4958789677
164876	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4958789677
164880	ZSCR	551	030-1	NA	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_GERARDO E	4958790245
164881	ZSCR	551	030-1	NA	A2C53375499MI2	NA	A2C53375499A2	1	1301	SMD Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	285.41	PS_ARAMIS III_GERARDO E	4958790245
164883	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	1	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4958789677
164888	ZSCR	551	030-1	NA	A2C53375496A2	NA	A2C53338029	6	1301	pcb panel multiple 6-up main	NA	ROH	NA	151.68	PS_ARAMIS III_GERARDO E	
164890	ZSCR	551	030-1	NA	A2C53241828	NA	A2C53241828	4	1301	circuit board assy	NA	HALB	S.Real	845.96	PS_FORD_GERARDO ECHEAGA	
164892	ZSCR	551	030-1	NA	A2C53241828A	NA	A2C53241828B	4	1301	SMD E240 Bottom Side Ford Airbag's	NA	HALB	S.Real/AutoBF	118.64	PS_FORD_GERARDO ECHEAGA	4958789260
164893	ZSCR	551	030-1	NA	A2C53391237B	NA	A2C53367683	6	1301	pcb VW ZZDIV AC VW10G RdW 1	NA	ROH	NA	117.42	PS_VW10 LC_GERARDO ECHE	
164894	ZSCR	551	034-2	NA	5WK44252		5WK44252	1	1342	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	
164896	ZSCR	551	050-2	NA	5WK44252		5WK44252	1	1502	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	
164978	ZSCR	551	034-2	NA	5WY71570	NA	6590110701	4	1342	Epsilon SDM Cover	NA	ROH	NA	9.64	PSAD_EPSILON_GERARDO EC	
164984	ZSCR	551	034-2	NA	5WK44591	NA	A2C53435476	2	1342	pcb assy	NA	HALB	S.Real	469.94	PS_HONDA HRS5_GERARDO E	4958790602
164989	ZSCR	551	034-2	NA	5WK44252		5WK44252	1	1342	BoSe VW311	NA	FERT	NA	125.9	OC_BOSE VW_GERARDO ECHE	
164994	ZSCR	551	030-1	NA	5WK43871	NA	A2C53189515MI	1	1301	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	568.38	PS_ARAMIS II MCG_GERARD	4958789691
164996	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4958790318
165002	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4958790318
165004	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4958790318
165008	ZSCR	551	030-1	NA	5WY86930	NA	A2C53388685MI	1	1301	circuit board assy	NA	HALB	S.Real	438.97	PS_ARAMIS 2011_GERARDO	4958790318
165013	ZSCR	551	030-1	NA	5WK44321	NA	A2C53375499MI	1	1301	MI Assy W/S 204 W/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real	341.01	PS_ARAMIS 2011_GERARDO	4958790258
165017	ZSCR	551	030-1	NA	5WK44288	NA	A2C53367547	1	1301	ACU VW10 MY10 16 NAR BOSE	NA	HALB	S.Real	283.53	PS_VW10 LC_GERARDO ECHE	4958790161
165020	ZSCR	551	030-1	NA	5WK44288	NA	A2C53367547	1	1301	ACU VW10 MY10 16 NAR BOSE	NA	HALB	S.Real	283.53	PS_VW10 LC_GERARDO ECHE	4958790161
165024	ZSCR	551	030-1	NA	5WK44288	NA	A2C53367547	1	1301	ACU VW10 MY10 16 NAR BOSE	NA	HALB	S.Real	283.53	PS_VW10 LC_GERARDO ECHE	4958790161
165026	ZSCR	551	030-1	NA	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790453
165028	ZSCR	551	030-1	NA	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790453
165040	ZSCR	551	030-1	NA	A2C53399620	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790453
165041	ZSCR	551	030-1	NA	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790453
165042	ZSCR	551	030-1	NA	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790453
165044	ZSCR	551	030-1	NA	5WK44514	NA	A2C53399620	1	1301	pcb assy	NA	HALB	S.Real	232.64	PS_HONDA HRS5_GERARDO E	4958790453
165047	ZSCR	551	030-1	NA	A2C53364457A	NA	A2C53364453	12	1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	102.96	OC_BOSE VW_GERARDO ECHE	
165049	ZSCR	551	030-1	NA	A2C53189515A	NA	A2C53189515A	1	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	473.77	PS_ARAMIS II MCG_GERARD	4958789677
165053	ZSCR	551	030-1	NA	A2C53388685MI	NA	A2C53388685	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790300
165056	ZSCR	551	030-1	NA	5WY86960	NA	A2C53405100	1	1301	pcb assy	NA	HALB	S.Real	394.72	PS_ARAMIS 2011_GERARDO	4958790562
165060	ZSCR	551	030-1	NA	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.35	OC_BOSE VW_GERARDO ECHE	4958790067
165063	ZSCR	551	030-1	NA	5WK44252	NA	A2C53364457	1	1301	pcb assy	NA	HALB	S.Real	105.35	OC_BOSE VW_GERARDO ECHE	4958790067
165065	ZSCR	551	030-1	NA	A2C53241830	NA	A2C53241830	1	1301	circuit board assy	NA	HALB	S.Real	255.28	PS_FORD_GERARDO ECHEAGA	4958789826
165067	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165068	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	3	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	1421.31	PS_ARAMIS II MCG_GERARD	4958789677
165070	ZSCR	551	030-1	NA	A2C53364457A	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165071	ZSCR	551	030-1	NA	A2C53189515MI	NA	A2C53189515A	3	1301	SMD assy W/S 212 WITH PPS/RO side A	NA	HALB	S.Real	1421.31	PS_ARAMIS II MCG_GERARD	4958789677
165072	ZSCR	551	030-1	NA	A2C53364457A	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165075	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165077	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165079	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165081	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165083	ZSCR	551	030-1	NA	A2C53241828B	NA	A2C53241828B	4	1301	SMD E240 Bottom Side Ford Airbag's	NA	HALB	S.Real/AutoBF	118.64	PS_FORD_GERARDO ECHEAGA	4958789260
165084	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165085	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165087	ZSCR	551	030-1	NA	A2C53364457	NA	A2C53364457A	1	1301	subensamble de SMD BoSe VW Top	NA	HALB	S.Real	76.78	OC_BOSE VW_GERARDO ECHE	4958790076
165088	ZSCR	551	030-1	NA	A2C53375496A2	NA	A2C53375496B2	6	1301	SMD Assy W/S204 WO/PyroPPSg WO/RO WO/PO	NA	HALB	S.Real/AutoBF	492	PS_ARAMIS III_GERARDO E	4958789305
