No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	 	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C33000200	NA	A2C00052689	112	1351	"R LIN,3K24,1%,TK100,63mW,0402"		ROH	NA	1.12	PS_FIAT BRAZIL_N.NORTON	NO	4987639547		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950092	NA	A2C00052689	16	1351	"R LIN,3K24,1%,TK100,63mW,0402"		ROH	NA	0.16	PS_FIAT BRAZIL_N.NORTON	NO	4987639555		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C9666050093	NA	A2C00053584	5	1351	"7MHz,0.2%,CSTCR,CER RESONATOR"		ROH	NA	6.1	PS_FIAT BRAZIL_N.NORTON	NO			
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3774430093	NA	A2C00053584	6	1351	"7MHz,0.2%,CSTCR,CER RESONATOR"		ROH	NA	7.32	PS_FIAT BRAZIL_N.NORTON	NO	4987640407		
597781	10/03/2015	ZSCR	551	035-1	0	'054	A2C3320950093	NA	A2C00053584	8	1351	"7MHz,0.2%,CSTCR,CER RESONATOR"		ROH	NA	9.76	PS_FIAT BRAZIL_N.NORTON	NO	4987639569		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00006616	30	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.3	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900093	NA	A2C00007695	46	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	7.36	PSAD_VW20_N.NORTON MARQ	NO	4987639523		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00010444	21	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.21	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900093	NA	A2C00037882	38	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.38	PSAD_VW20_N.NORTON MARQ	NO	4987639523		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00049163	379	1351	"10uF,10%,16V,X7R,1206,Sn,CER CAP/"		ROH	NA	87.17	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900093	NA	A2C00051999	19	1351	"2.2mF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	144.4	PSAD_VW20_N.NORTON MARQ	NO	4987639523		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900093	NA	A2C00062871	4	1351	"L COIL/-,150uH,790mA,SMD"		ROH	NA	9.44	PSAD_VW20_N.NORTON MARQ	NO	4987639523		
597782	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900093	NA	A2C40000864	359	1351	"C CER,X7R,2.2uF,10%,50V,1206,Sn,STANDARD"		ROH	NA	78.98	PSAD_VW20_N.NORTON MARQ	NO	4987639523		
597783	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00004338	4	1351	"R LIN,8K25,1%,TK100,100mW,0603"		ROH	NA	0.04	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597783	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00004363	17	1351	"R LIN,15K4,1%,TK100,100mW,0603"		ROH	NA	0.17	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597783	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00004364	17	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	0.17	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597783	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00040894	26	1351	"2,PNP,RET,R<b>=10k R<e-b>=10k, 100mA,50"		ROH	NA	4.16	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597783	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00043037	8	1351	"200V,2A,1,STANDARD,DO214AA,RECT DIODE/ES"		ROH	NA	4.48	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597783	10/03/2015	ZSCR	551	035-1	0	'054	A2C3250900092	NA	A2C00052851	7	1351	"10R,1%,TK100,125mW,0805,LIN RES/D12 100"		ROH	NA	0.07	PSAD_VW20_N.NORTON MARQ	NO	4987639512		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00004016	6	1351	"61R9,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	0.18	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00004016	99	1351	"61R9,1%,TK100,250mW,1206,LIN RES/"		ROH	NA	2.97	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00004067	2	1351	"R LIN,8K25,1%,TK100,125mW,0805"		ROH	NA	0.04	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00004067	22	1351	"R LIN,8K25,1%,TK100,125mW,0805"		ROH	NA	0.44	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00004322	12	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.12	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00004322	7	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.07	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00004364	2	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	0.02	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00004449	12	1351	"R LIN,2K,1%,TK100,250mW,1206"		ROH	NA	0.24	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00004449	8	1351	"R LIN,2K,1%,TK100,250mW,1206"		ROH	NA	0.16	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00005783	5	1351	"R LIN,47R,1%,TK100,125mW,0805"		ROH	NA	0.1	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00005783	3	1351	"R LIN,47R,1%,TK100,125mW,0805"		ROH	NA	0.06	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00006435	5	1351	"1R,5%,TK600,63mW,0603,LIN RES/"		ROH	NA	0.05	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00006616	18	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.18	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00006616	1	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00006616	12	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.12	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00006616	1	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00006616	8	1351	"R LIN,7K5,5%,TK200,63mW,0402"		ROH	NA	0.08	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00007695	20	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	3.2	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00007695	20	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	3.2	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00007695	55	1351	"2,NPN,RET,100mA,50V,SOT363,BIP/BCR135/R<"		ROH	NA	8.8	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00010918	44	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.44	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00010918	5	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.05	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00010918	6	1351	"R LIN,100K,1%,TK100,63mW,0402"		ROH	NA	0.06	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00018230	5	1351	"400V,1A,1,STANDARD,DO214AC,RECT DIODE/S1"		ROH	NA	0.95	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00019591	3	1351	"R LIN,4K12,1%,TK100,63mW,0402"		ROH	NA	0.03	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00019591	4	1351	"R LIN,4K12,1%,TK100,63mW,0402"		ROH	NA	0.04	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00019592	24	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.24	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00019592	12	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.12	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00019592	6	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.06	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00019592	38	1351	"R LIN,5K62,1%,TK100,63mW,0402"		ROH	NA	0.38	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00021262	1	1351	"240R,1%,TK50,1W,MELF0207,LIN RES/MMB0207"		ROH	NA	0.26	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00022829	3	1351	"R LIN,56K,1%,TK100,63mW,0402"		ROH	NA	0.03	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00023857	5	1351	"F BEAD/BLM41P,90mOhm,1KOhm,1.5A,SMD"		ROH	NA	1.6	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00028102	4	1351	"2,OP AMP,0Hz,TSSOP8,OP-COMP/TLC2272-QPW"		ROH	NA	7.36	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00028102	43	1351	"2,OP AMP,0Hz,TSSOP8,OP-COMP/TLC2272-QPW"		ROH	NA	79.12	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00031009	2	1351	"4,EQ ISO,konvex 1206,1K,1%,63mW,NET RES/"		ROH	NA	0.12	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00031009	3	1351	"4,EQ ISO,konvex 1206,1K,1%,63mW,NET RES/"		ROH	NA	0.18	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00031355	77	1351	"200V,250mA,1,FAST,SOD323,RECT DIODE/BAS2"		ROH	NA	8.47	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00033919	8	1351	"1uF,10%,50V,X7R,1206,Sn,CER CAP/GCM"		ROH	NA	0.96	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00033919	8	1351	"1uF,10%,50V,X7R,1206,Sn,CER CAP/GCM"		ROH	NA	0.96	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00035287	8	1351	"60V,2A,1,SCHOTTKY,SMB,RECT DIODE/SS26"		ROH	NA	4.16	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00039660	7	1351	"2K55,0.1%,TK25,100mW,0603,LIN RES/RT0603"		ROH	NA	1.47	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00044348	1	1351	"1,PNP,NORMAL,100mA,45V,SOT323,BIP,hFE=22"		ROH	NA	0.08	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00044348	4	1351	"1,PNP,NORMAL,100mA,45V,SOT323,BIP,hFE=22"		ROH	NA	0.32	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00049163	12	1351	"10uF,10%,16V,X7R,1206,Sn,CER CAP/"		ROH	NA	2.76	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00051989	5	1351	"100uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	4.1	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00051989	7	1351	"100uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	5.74	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00051989	36	1351	"100uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	29.52	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00051994	42	1351	"330uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	37.8	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00051994	10	1351	"330uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	9	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00051994	216	1351	"330uF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	194.4	PSAD_DAIMLER STAR 2_N.N	NO	STOCK		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00051999	43	1351	"2.2mF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	326.8	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00051999	57	1351	"2.2mF,20%,35V,SMD,AL,ELEC CAP/"		ROH	NA	433.2	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00052689	90	1351	"R LIN,3K24,1%,TK100,63mW,0402"		ROH	NA	0.9	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00052689	69	1351	"R LIN,3K24,1%,TK100,63mW,0402"		ROH	NA	0.69	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00052689	66	1351	"R LIN,3K24,1%,TK100,63mW,0402"		ROH	NA	0.66	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00052689	79	1351	"R LIN,3K24,1%,TK100,63mW,0402"		ROH	NA	0.79	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00052851	25	1351	"10R,1%,TK100,125mW,0805,LIN RES/D12 100"		ROH	NA	0.25	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00052851	27	1351	"10R,1%,TK100,125mW,0805,LIN RES/D12 100"		ROH	NA	0.27	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00052851	23	1351	"10R,1%,TK100,125mW,0805,LIN RES/D12 100"		ROH	NA	0.23	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00052851	27	1351	"10R,1%,TK100,125mW,0805,LIN RES/D12 100"		ROH	NA	0.27	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00052851	9	1351	"10R,1%,TK100,125mW,0805,LIN RES/D12 100"		ROH	NA	0.09	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C00054239	1	1351	"600V,1.5A,1,STANDARD,SMB/DO214AA,RECT DI"		ROH	NA	0.31	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00062333	1	1351	"L COIL/,150uH,1.5A,SMD // NFND PLS USE A"		ROH	NA	2.7	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00063123	14	1351	"Q QUARTZ/NX3225GB,16MHz,NX3225GB"		ROH	NA	24.08	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00063123	13	1351	"Q QUARTZ/NX3225GB,16MHz,NX3225GB"		ROH	NA	22.36	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00064279	19	1351	"T FET/NTJD4001N,MOS,SMALLSIGNAL,SOT363"		ROH	NA	6.08	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00064279	7	1351	"T FET/NTJD4001N,MOS,SMALLSIGNAL,SOT363"		ROH	NA	2.24	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C40002657	1	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	0.12	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C40002657	14	1351	"D SUP/MMBZ27VDA,SOT23"		ROH	NA	1.68	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C40005330	31	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0.31	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C40005330	1	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0.01	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C40005330	59	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0.59	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160092	NA	A2C40005330	7	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0.07	PSAD_DAIMLER STAR 2_N.N	NO			
597785	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C40005330	17	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0.17	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00000445	1	1351	"1,NPN,NORMAL,500mA,45V,SOT23,BIP/BC817-2"		ROH	NA	0.08	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00000568	77	1351	"T BIP/BC 847S E6327,SOT363"		ROH	NA	11.55	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00003447	52	1351	"R LIN,4K7,5%,TK200,250mW,1206"		ROH	NA	1.04	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00004025	1	1351	"R LIN,1K3,1%,TK100,250mW,1206"		ROH	NA	0.03	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00004322	65	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.65	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00004322	99	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.99	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C8705700192	NA	A2C00004322	41	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.41	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00004322	10	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.1	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00004324	28	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.28	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00004324	93	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.93	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00004324	54	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.54	PSAD_DAIMLER STAR 2_N.N	NO	4987639607		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00004324	185	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	1.85	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00004324	45	1351	"R LIN,22K1,1%,TK100,100mW,0603"		ROH	NA	0.45	PSAD_DAIMLER STAR 2_N.N	NO	4987640245		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00004363	40	1351	"R LIN,15K4,1%,TK100,100mW,0603"		ROH	NA	0.4	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C8705700193	NA	A2C00004363	74	1351	"R LIN,15K4,1%,TK100,100mW,0603"		ROH	NA	0.74	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610193	NA	A2C00004364	2	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	0.02	PSAD_DAIMLER STAR 2_N.N	NO	4987640182		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511610192	NA	A2C00004364	158	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	1.58	PSAD_DAIMLER STAR 2_N.N	NO	STOCK		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00004364	158	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	1.58	PSAD_DAIMLER STAR 2_N.N	NO	STOCK		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620192	NA	A2C00004364	100	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	1	PSAD_DAIMLER STAR 2_N.N	NO	STOCK		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00004449	45	1351	"R LIN,2K,1%,TK100,250mW,1206"		ROH	NA	0.9	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C8705700193	NA	A2C00006435	4	1351	"1R,5%,TK600,63mW,0603,LIN RES/"		ROH	NA	0.04	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C3511620193	NA	A2C00006435	56	1351	"1R,5%,TK600,63mW,0603,LIN RES/"		ROH	NA	0.56	PSAD_DAIMLER STAR 2_N.N	NO	4987640344		
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663160093	NA	A2C00006609	6	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.06	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150093	NA	A2C00006609	5	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.05	PSAD_DAIMLER STAR 2_N.N	NO			
597786	10/03/2015	ZSCR	551	035-1	0	'054	A2C9663150092	NA	A2C00006609	8	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.08	PSAD_DAIMLER STAR 2_N.N	NO			
