No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Apd	espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
552356	19/11/2014	ZSCR	551	040-5	NA	'054	A2C31080700	NA	A2C3108070093	1	3011	054	 	1405	SMT Top Chrysler RT ORC MY13	NA	HALB	S.Real	272.92	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552358	19/11/2014	ZSCR	551	040-1	NA	'054	5WY89350	NA	A2C31080700	1	3011	054	 	1401	airbag	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_E.ED	NO	4984277874	
552363	19/11/2014	ZSCR	551	040-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO	4984276871	
552365	19/11/2014	ZSCR	551	040-1	NA	'054	5WY89350	NA	A2C31080700	1	3011	054	 	1401	airbag	NA	HALB	S.Real	331.82	PS_CHRYSLER MY2013_E.ED	NO	4984277874	
552399	19/11/2014	ZSCR	551	040-1	NA	'054	5WK44288	NA	A2C53367547	1	3011	054	 	1401	ACU VW10 MY10 M35 16 06 0 0 0 000	NA	HALB	S.Real	263.07	PS_VW10 LC_U.ULISES VIL	NO	4984277465	
552405	19/11/2014	ZSCR	551	034-2	NA	'054	5WK44508	NA	A2C53416946	5	3011	054	 	1342	ACU VW10 MY11 M35 08 04 0 0 0 000	NA	HALB	S.Real	1062.5	PS_VW10 LC_U.ULISES VIL	NO	4984277508	
552412	19/11/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C40000025	9	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	61.47	PS_SDM10+_.	NO		
552412	19/11/2014	ZSCR	551	034-2	NA	'054	A2C87075000	NA	A2C53338471	2	3011	054	 	1342	contact element	NA	ROH	NA	2.04	PS_SDM10+_.	NO		
552412	19/11/2014	ZSCR	551	034-2	NA	'054	A2C82735500	NA	A2C53395715	1	3011	054	 	1342	housing WIC P BK A-B	NA	ROH	NA	34.8	PS_SDM10+_.	NO		
552421	19/11/2014	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C53436156	2	3011	054	 	1342	cover RAP T BK	NA	ROH	NA	12.8	PS_CHRYSLER MY2013_E.ED	NO	4984277874	
552424	19/11/2014	ZSCR	551	042-4	NA	'054	A2C31080700	NA	A2C30202900	2	3011	054	 	1424	multipoint connector 84P H 2SYS AFAD	NA	ROH	NA	77.54	PS_CHRYSLER MY2013_E.ED	NO	4984278051	
552430	19/11/2014	ZSCR	551	034-2	NA	'054	6592827601V02	NA	A2C53287874	1	3011	054	 	1342	pcb assy	NA	HALB	S.Real	54.85	OC_OCS NISSAN_A.ANA TAP	NO	4984277934	
552430	19/11/2014	ZSCR	551	034-2	NA	'054	A2C53340359	NA	A2C53300380	1	3011	054	 	1342	cable harness	NA	ROH	NA	22.18	OC_OCS NISSAN_A.ANA TAP	NO		
552468	19/11/2014	ZSCR	551	034-2	NA	'054	A2C30910808	NA	A2C86055000	1	3011	054	 	1342	cover	NA	ROH	NA	9.91	PSAD_VW20_U.ULISES VILL	NO	4984278003	
552470	19/11/2014	ZSCR	551	034-2	NA	'054	A2C89711901	NA	A2C83021500	42	3011	054	 	1342	label identificati	NA	ROH	NA	1140.72	PSAD_ARMIN_J.JOSE ORTIZ	NO		
552473	19/11/2014	ZSCR	551	022-2	NA	'054	A2C32453903	NA	A2C3511610093	12	3011	054	 	1222	pcb assy DAGSTAR2 V02	NA	HALB	S.Real	3668.76	PSAD_DAIMLER STAR 2_A.A	NO		
552479	19/11/2014	ZSCR	551	034-2	NA	'054	A2C30910800	NA	A2C32509000	6	3011	054	 	1342	pcb assy VW20 V01	NA	HALB	S.Real	823.98	PSAD_VW20_U.ULISES VILL	NO	4984277958	
552481	19/11/2014	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	136	3011	054	 	1342	sticker	NA	ROH	NA	69.36	PS_VW10 LC_U.ULISES VIL	NO	4984277595	
552482	19/11/2014	ZSCR	551	034-2	NA	'054	A2C83016700	NA	A2C83017300	44	3011	054	 	1342	certification label identificati	NA	ROH	NA	725.12	PSAD_PSA CAN_J.JOSE ORT	NO		
