No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
173199	29/06/2012	MB1A	551	034-2	K96019	NA	NA	A2C34684200	80	3011	045		1095	GLOBAL-A_BCM_TOP_HOUSING	NA	ROH	NA	531.2	S1_GLOBAL A_LUIS LIZARR	NO	4959329015	
173201	29/06/2012	ZSCR	551	040-2	NA	5WK48906	NA	A2C00004906	13	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	17.81	S1_PEPS_MANUEL MANZANO-	NO	4959330969	
173209	29/06/2012	ZSCR	551	040-1	NA	5WG50408	NA	A2C53420006	1	3011	045		1401	pcb assy VW PQ35 ZE	NA	HALB	S.Real	348.79	S4_PQ35 5TA GEN_CHRISTI	NO	4959330847	
173210	29/06/2012	ZSCR	551	040-1	NA	5WG50401	NA	A2C53420001	1	3011	045		1401	pcb assy VW PQ35 ZE	NA	HALB	S.Real	325.6	S4_PQ35 5TA GEN_CHRISTI	NO	4959330823	
173271	29/06/2012	ZSCR	551	034-2	NA	5WY8771	NA	A2C53389581	200	3011	045		1342	sticker	NA	ROH	NA	24	S1_PEPS_MANUEL MANZANO-	NO	4959330320	
173424	29/06/2012	ZSCR	551	050-3	NA	5WG50027	NA	5WG50027	10	3011	045		1503	VGW Entry +	NA	FERT	NA	1122.6	S4_PQ GATEWAY_MIGUEL ZA	NO	4959331107	
173424	29/06/2012	ZSCR	551	050-3	NA	5WG50028	NA	5WG50028	10	3011	045		1503	VGW EM +	NA	FERT	NA	1145.7	S4_PQ GATEWAY_MIGUEL ZA	NO	4959331127	
173424	29/06/2012	ZSCR	551	050-3	NA	5WG50029	NA	5WG50029	15	3011	045		1503	VGW Medium +	NA	FERT	NA	1753.5	S4_PQ GATEWAY_MIGUEL ZA	NO	4959331146	
173519	30/06/2012	ZSCR	551	034-4	NA	5WY7703	NA	40091530	1	3011	045		1344	SMD ESPEJO PATS CLIP ON MY08	NA	HALB	S.Real	19.86	S1_PATS_MANUEL MANZANO-	NO	4959330679	
173519	30/06/2012	ZSCR	551	034-4	NA	5WY7703	NA	A2C53119450	1	3011	045		1344	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	9.18	S1_PATS_MANUEL MANZANO-	NO	4959330679	
173612	30/06/2012	ZSCR	551	030-1	NA	5WY8606	NA	40340074	4	3011	045		1301	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	449.92	S1_PEPS_MANUEL MANZANO-	NO	4959329208	
173630	30/06/2012	ZSCR	551	030-1	NA	5WY8800	NA	A2C53282679	1	3011	045		1301	ABM + ALM Sub Assy	NA	HALB	S.Real	125.62	S1_ABM_MANUEL MANZANO-G	NO	4959329333	
173631	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	4	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	234.72	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173632	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	2	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	117.36	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173633	30/06/2012	ZSCR	551	030-1	NA	A2C32171100	NA	A2C32171100	1	3011	045		1301	pcb assy	NA	HALB	S.Real/AutoBF	60.4	S1_PEPS_MANUEL MANZANO-	NO	4959329643	
173634	30/06/2012	ZSCR	551	040-1	NA	5WY8770	NA	A2C53333370	1	3011	045		1401	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	58.68	S1_PEPS_MANUEL MANZANO-	NO	4959330767	
173635	30/06/2012	ZSCR	551	030-1	NA	A2C32171100	NA	A2C32171100	3	3011	045		1301	pcb assy	NA	HALB	S.Real/AutoBF	181.2	S1_PEPS_MANUEL MANZANO-	NO	4959329643	
173638	30/06/2012	ZSCR	551	030-1	NA	A2C32171100	NA	A2C32171100	1	3011	045		1301	pcb assy	NA	HALB	S.Real/AutoBF	60.4	S1_PEPS_MANUEL MANZANO-	NO	4959329643	
173646	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	8	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	469.44	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173648	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	4	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	234.72	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173650	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	2	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	117.36	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173652	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	6	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	352.08	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173653	30/06/2012	ZSCR	551	030-1	NA	5WY8770S	NA	A2C53333370	4	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	234.72	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173656	30/06/2012	ZSCR	551	030-1	NA	A2C32171100	NA	A2C32171100	7	3011	045		1301	pcb assy	NA	HALB	S.Real/AutoBF	422.8	S1_PEPS_MANUEL MANZANO-	NO	4959329643	
173658	30/06/2012	ZSCR	551	030-1	NA	A2C32171100	NA	A2C32171100	4	3011	045		1301	pcb assy	NA	HALB	S.Real/AutoBF	241.6	S1_PEPS_MANUEL MANZANO-	NO	4959329643	
173659	30/06/2012	ZSCR	551	030-1	NA	A2C32171100	NA	A2C32171100	3	3011	045		1301	pcb assy	NA	HALB	S.Real/AutoBF	181.2	S1_PEPS_MANUEL MANZANO-	NO	4959329643	
173660	30/06/2012	ZSCR	551	040-1	NA	5WY8770	NA	A2C53333370	4	3011	045		1401	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	234.72	S1_PEPS_MANUEL MANZANO-	NO	4959330767	
173661	30/06/2012	ZSCR	551	040-1	NA	5WY8770S	NA	A2C53333370	2	3011	045		1401	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	117.36	S1_PEPS_MANUEL MANZANO-	NO	4959330767	
173662	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	1	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	58.68	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173720	30/06/2012	ZSCR	551	034-2	NA	5WY8606	NA	A2C53353727	1	3011	045		1342	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	S1_PEPS_MANUEL MANZANO-	NO	4959330584	
173721	30/06/2012	ZSCR	551	030-1	NA	5WY8799	NA	A2C53282664	1	3011	045		1301	pcb assy FOG FORD ABM Base	NA	HALB	S.Real	84.67	S1_ABM_MANUEL MANZANO-G	NO	4959329311	
173722	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	6	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	352.08	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173723	30/06/2012	ZSCR	551	030-1	NA	5WY8770	NA	A2C53333370	3	3011	045		1301	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	176.04	S1_PEPS_MANUEL MANZANO-	NO	4959329450	
173932	01/07/2012	ZSCR	551	034-2	NA	5WY8606	NA	A2C53353727	1	3011	045		1342	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	S1_PEPS_MANUEL MANZANO-	NO	4959330584	
174002	01/07/2012	ZSCR	551	034-2	NA	5WY8770	NA	A2C53333370	20	3011	045		1342	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	1173.6	S1_PEPS_MANUEL MANZANO-	NO	4959330495	
174004	01/07/2012	ZSCR	551	034-2	NA	5WY8770S	NA	A2C53333370	1	3011	045		1342	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	58.68	S1_PEPS_MANUEL MANZANO-	NO	4959330495	
174006	01/07/2012	ZSCR	551	040-1	NA	5WY8770	NA	A2C53333370	5	3011	045		1401	SMD SUB ASSY FORD PK 315 Mhz NA	NA	HALB	S.Real	293.4	S1_PEPS_MANUEL MANZANO-	NO	4959330767	
174038	01/07/2012	ZSCR	551	034-4	NA	5WY7703	NA	40091530	4	3011	045		1344	SMD ESPEJO PATS CLIP ON MY08	NA	HALB	S.Real	79.44	S1_PATS_MANUEL MANZANO-	NO	4959330679	
174038	01/07/2012	ZSCR	551	034-4	NA	5WY7703	NA	8800630143	4	3011	045		1344	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.44	S1_PATS_MANUEL MANZANO-	NO	4959330679	
174038	01/07/2012	ZSCR	551	034-4	NA	5WY7703	NA	A2C53119450	4	3011	045		1344	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	36.72	S1_PATS_MANUEL MANZANO-	NO	4959330679	
									2024													
