No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
640154	09/07/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C93813900	3				1253	pcb assy HONHRS6 D_28	VUG020301	HALB	S.Real	886.62	PS_HONDA HRS6_J.JUAN CH	NO	
641165	13/07/2015	MB1A	551	050-3	K96019	'054	NA	NA	A2C96830000	2				1095	pcb assy HONHRS7 D_15	NA	HALB	S.Real	564.2	PS_HONDA HRS7_.	NO	
642518	17/07/2015	MB1A	951	025-3	NA	'054	NA	NA	A2C8021770004	2				1253	pcb assy HONHRS6 D_20 REV 4	VUG020301	HALB	S.Real	634.42	PS_HONDA HRS6_J.JUAN CH	NO	
647611	31/07/2015	ZSCR	551	050-5	NA	'054	5WK44675	NA	A2C33000300	13	3011	054	 	1505	pcb assy	NA	HALB	S.Real	1630.33	PS_FIAT BRAZIL_. (APRO	NO	
647611	31/07/2015	ZSCR	551	050-5	NA	'054	A2C37924700	NA	A2C3774430093	2	3011	054	 	1505	FIAT 326 3V SMT TOP	NA	HALB	S.Real	251.12	PS_FIAT BRAZIL_. (APRO	NO	
647668	31/07/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C9483230293	24				1095	pcb assy DAGSTAR22 Top	NA	HALB	S.Real	11790.48	PSAD_STAR 22_.	NO	
647673	31/07/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C9483230293	21				1095	pcb assy DAGSTAR22 Top	NA	HALB	S.Real	10316.67	PSAD_STAR 22_.	NO	
647684	31/07/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C9483230293	7				1095	pcb assy DAGSTAR22 Top	NA	HALB	S.Real	3438.89	PSAD_STAR 22_.	NO	
647684	31/07/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C9483240393	1				1095	pcb assy DAGSTAR22 tOP	NA	HALB	S.Real	430.23	PSAD_STAR 22_.	NO	
647724	31/07/2015	MB1A	551	022-2	K96019	'054	NA	NA	A2C8522120193	2				1095	pcb assy DAGSM D_5 SMD TOP	NA	HALB	S.Real	332.86	PSAD_DAIMLER SMART_F.FE	NO	
648693	04/08/2015	ZSCR	551	030-1	NA	'054	A2C83341500	NA	A2C8334150093	1	3011	054	 	1301	pcb topSMD TOP	NA	HALB	S.Real	240.23	PS_SDM10+_.	NO	
649014	04/08/2015	ZSCR	551	034-2	NA	'054	5WK43949	NA	A2C53242712	2	3011	054	 	1342	ACU MY07 M30 12	NA	HALB	S.Real	912.02	OES_HONDA CR-V HE_.	NO	
649273	05/08/2015	ZSCR	551	050-3	NA	'054	A2C37924700	NA	A2C37744300	1	3011	054	 	1503	pcb assy PTFSPEED15 V01	NA	HALB	S.Real	168.42	PS_FIAT BRAZIL_.	NO	
