No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
87607	ZSCR	551	050-1	NA	5WY7051	NA	6594602055	6	3011	073		1501	BIP TRANSISTOR / TIP32C_______	NA	ROH	NA	9.6	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	A2C00022085	2	3011	073		1501	"1,42V,38mOhm,TO220-AB/5,GENERAL PURPOSE,"	NA	ROH	NA	23.52	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	6521011304	7	3011	073		1501	TUERCA M4	NA	ROH	NA	0.84	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	6593352098	1	3011	073		1501	"0R5,1%,TK0,10W,R_TO220,FIX RES"	NA	ROH	NA	9.41	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	A2C00011060	4	3011	073		1501	"60V,30mOhm,TO220-AB/5,GENERAL PURPOSE,HI"	NA	ROH	NA	30.44	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	6594392053	1	3011	073		1501	"1UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	1.65	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	6521010706	1	3011	073		1501	SOPORTE PARA CAPACITOR RM15	NA	ROH	NA	1.02	4954786829
87607	ZSCR	551	050-1	NA	5WY7051	NA	A2C00065102	6	3011	073		1501	"1RANSISTOR, IRF9640, TO 220"	NA	ROH	NA	28.02	4954786829
87619	ZSCR	551	034-2	NA	A2C53107631	NA	6521031909	15	3011	073		1342	SIL PAD MAIN PCB	NA	ROH	NA	241.65	4954786920
87619	ZSCR	551	034-2	NA	A2C53107631	NA	6521037001	15	3011	073		1342	54 WAY CONNECTOR	NA	ROH	NA	927	4954786920
87626	ZSCR	551	040-4	NA	5WY8119	NA	6521031901	7	3011	073		1404	SEAL HOUSING	NA	ROH	NA	145.81	4954786890
88002	ZSCR	551	042-4	NA	5WY7050	NA	A2C53212497	2	3011	073		1424	housing cover Al alloy GY	NA	ROH	NA	171.8	4954786804
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6576372041	4	3011	073		1342	"TRANSFORMADOR, 60V/120V, EPV 2"	NA	ROH	NA	124.6	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6592392087	2	3011	073		1342	"68UF,10%,60V,MKT,FILM CAP/"	NA	ROH	NA	79.64	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6592392083	4	3011	073		1342	"22UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	62.32	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6594312052	2	3011	073		1342	"10A 100V, TO220, DIODES RECTIF"	NA	ROH	NA	7.36	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6576372069	2	3011	073		1342	"TRANSFORMADOR, 24V/7V/135V/4A"	NA	ROH	NA	82.72	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6581672043	4	3011	073		1342	OTHER IC'S / 104571P / PWM_CON	NA	ROH	NA	25.6	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6581672044	4	3011	073		1342	OTHER IC'S / LM2524 / PWM_MOD.	NA	ROH	NA	21.96	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6521011905	4	3011	073		1342	AISLANTE 5-POS	NA	ROH	NA	8.12	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6591602099	2	3011	073		1342	"TRANSISTOR, BUZ31L, TO 220"	NA	ROH	NA	8.54	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6594312007	4	3011	073		1342	"DIODO, MUR840, TO 220"	NA	ROH	NA	8	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6594602028	4	3011	073		1342	"TRANSISTOR, SUP75N08, TO 220"	NA	ROH	NA	36.52	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6521010304	2	3011	073		1342	MARCO DE ALUMINIO DC/DC	NA	ROH	NA	53.12	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6521010706	12	3011	073		1342	SOPORTE PARA CAPACITOR RM15	NA	ROH	NA	12.24	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6576372039	4	3011	073		1342	"TRANSFORMADOR, FIS323, T6130-A"	NA	ROH	NA	50.2	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6592392082	4	3011	073		1342	"1.5UF,10%,400V,MKT,FILM CAP/"	NA	ROH	NA	13.48	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6576372068	4	3011	073		1342	"INDUCTOR, 2UH, 20%, 4A, AX"	NA	ROH	NA	11.2	4954786845
89483	ZSCR	551	034-2	NA	5WY7051RU	NA	6592392081	8	3011	073		1342	"3.3UF,10%,100V,MKT,FILM CAP/"	NA	ROH	NA	18.4	4954786845
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6594312007	3	3011	073		1348	"DIODO, MUR840, TO 220"	NA	ROH	NA	6	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6591602099	2	3011	073		1348	"TRANSISTOR, BUZ31L, TO 220"	NA	ROH	NA	8.54	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6521011304	7	3011	073		1348	TUERCA M4	NA	ROH	NA	0.84	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6592392085	2	3011	073		1348	"330UF,30%,63V,HOL,AL,ELEC CAP/"	NA	ROH	NA	35.68	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6593352097	2	3011	073		1348	"0R12,1%,TK0,10W,R_TO220,FIX RE"	NA	ROH	NA	18.82	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6593352098	1	3011	073		1348	"0R5,1%,TK0,10W,R_TO220,FIX RES"	NA	ROH	NA	9.41	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6594602092	1	3011	073		1348	"TRANSISTOR,MJE15031,TO220 AB"	NA	ROH	NA	2.44	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6596672047	1	3011	073		1348	"IC, LMB1029, TO 220"	NA	ROH	NA	0.3	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6594392053	1	3011	073		1348	"1UF,10%,160V,MKT,FILM CAP/"	NA	ROH	NA	1.65	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	A2C00022085	2	3011	073		1348	"1,42V,38mOhm,TO220-AB/5,GENERAL PURPOSE,"	NA	ROH	NA	23.52	4954786822
89594	ZSCR	551	034-8	NA	5WY7050RU	NA	6594602055	6	3011	073		1348	BIP TRANSISTOR / TIP32C_______	NA	ROH	NA	9.6	4954786822
