No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
165597	09/06/2012	ZSCR	551	022-2	NA	5WY8834	NA	A2C53328412	24	3011	015		1222	circuit board assy	NA	HALB	S.Real	2235.12	S1_DCU_ADRIAN CEBALLOS	NO	4958909303
165662	09/06/2012	ZSCR	551	030-1	NA	A2C53338540	NA	A2C53335966	2	3011	#N/A		1301	SMD Assy Fob Mobilio HP (Top side)	NA	HALB	S.Real/AutoBF	70.58	S5_ECU 09_ENRIQUE GARCI	NO	4958908997
165670	10/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	8	3011	#N/A		1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	463.36	S1_TG1C DCX_JAIME JIMEN	NO	4958909131
165672	10/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	4	3011	#N/A		1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	231.68	S1_TG1C DCX_JAIME JIMEN	NO	4958909131
165673	10/06/2012	ZSCR	551	034-2	NA	A2C32163600	NA	A2C32163600	3	3011	#N/A		1342	module assy TPM	NA	HALB	S.Real/AutoBF	144	S1_TG1C DCX_JAIME JIMEN	NO	4958909053
165674	10/06/2012	ZSCR	551	034-2	NA	A2C32163600	NA	A2C32163600	1	3011	#N/A		1342	module assy TPM	NA	HALB	S.Real/AutoBF	48	S1_TG1C DCX_JAIME JIMEN	NO	4958909053
165675	10/06/2012	ZSCR	551	034-2	NA	A2C32163600	NA	A2C32163600	8	3011	#N/A		1342	module assy TPM	NA	HALB	S.Real/AutoBF	384	S1_TG1C DCX_JAIME JIMEN	NO	4958909053
165676	10/06/2012	ZSCR	551	040-2	NA	5WY8547	NA	A2C53348715	2	3011	#N/A		1402	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	115.84	S1_TG1C DCX_JAIME JIMEN	NO	4958909240
165677	10/06/2012	ZSCR	551	034-2	NA	S180052025	NA	A2C53345109	1	3011	#N/A		1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	56.85	S5_TG1C HONDA_MIGUEL QU	NO	4958909117
165678	10/06/2012	ZSCR	551	034-2	NA	S180052034	NA	A2C37346900	1	3011	#N/A		1342	housing assy TPM	NA	HALB	S.Real/AutoBF	45	S5_TG1C HONDA_MIGUEL QU	NO	4958909070
165683	10/06/2012	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	5	3011	#N/A		1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	237.7	S5_TG1C HONDA_MIGUEL QU	NO	4958909185
165684	10/06/2012	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	1	3011	#N/A		1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_MIGUEL QU	NO	4958909185
165808	10/06/2012	ZSCR	551	030-1	NA	A2C53249282	NA	A2C53249282B	4	3011	#N/A		1301	SMD sub-assy ECU JPN Mobilio BOT SIDE	NA	HALB	S.Real/AutoBF	238.2	S5_ECU 08_ENRIQUE GARCI	NO	4958908977
165811	10/06/2012	ZSCR	551	030-1	NA	A2C53249282B	NA	A2C53216585	4	3011	050		1301	pcb panel multiple 4-up	NA	ROH	NA	93.24	S5_ECU 08_ENRIQUE GARCI	NO	4958909611
