No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP		
136836	ZSCR	551	040-3	NA	5WY8866	NA	A2C53428271	2	1403	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	521.5	4957111320		
137285	ZSCR	551	034-2	NA	A2C53428272T	NA	A2C53428272T	8	1342	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci TOP	NA	HALB	S.Real	2046.8	4957111292		
137353	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	1	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	30.91	4957111011		
137363	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	40	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	1236.4	4957111011		
137567	ZSCR	551	034-2	NA	A2C53428272	NA	A2C53428272T	4	1342	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci TOP	NA	HALB	S.Real	1023.4	4957111292		
137669	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	3	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	92.73	4957111011		
137673	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	1	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	30.91	4957111011		
137691	ZSCR	551	034-2	NA	5WK49309	NA	A2C53215540-B	2	1342	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	61.82	4957111263		
137784	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	6	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	185.46	4957111011		
137832	ZSCR	551	042-4	NA	A2C31231100	NA	A2C31231300	2	1424	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	446.96	4957110288		
137833	ZSCR	551	030-1	NA	A2C31231100	NA	A2C31231300	1	1301	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	223.48	4957110268		
137847	ZSCR	551	034-2	NA	A2C53428272	NA	A2C53428272T	2	1342	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci TOP	NA	HALB	S.Real	511.7	4957111292		
137882	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428222	91	1342	"PIN,SQUARE,BERYLLIUM-COPPER"	NA	ROH	NA	20.02	4957111670		
137882	ZSCR	551	034-2	NA	A2C31231300	NA	A2C53428223	16	1342	"PIN,NATURAL"	NA	ROH	NA	4	4957111670		
137883	ZSCR	551	034-2	NA	A2C31231300T	NA	A2C31229200	4	1342	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	251.08	4957111670		
137886	ZSCR	551	042-4	NA	A2C53428700T	NA	A2C53428225	2	1424	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	105.44	4957112137		
137887	ZSCR	551	030-1	NA	A2C53428271	NA	A2C53428272	2	1301	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	521.5	4957111416		
137889	ZSCR	551	034-2	NA	A2C53428271	NA	A2C53428272	2	1342	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	521.5	4957111446		
137894	ZSCR	551	030-1	NA	A2C53430025	NA	A2C53430026	1	1301	MY09 SPDJB MODEL C TMI	NA	HALB	S.Real	299.47	4957110337		
137897	ZSCR	551	030-1	NA	5WY8922	NA	A2C32146600T	2	1301	MY12 SPDJB HELIX MODEL B TMI	NA	HALB	S.Real	516.92	4957110457		
137900	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428227	82	1351	PIN	NA	ROH	NA	16.4	4957111670		
137902	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428220	85	1351	"CONN,0CONT,NEW MATL FRET RCPT"	NA	ROH	NA	57.8	4957111670		
137904	ZSCR	551	035-1	NA	A2C31231300	NA	A2C53428228	303	1351	PIN	NA	ROH	NA	60.6	4957111670		
138213	ZSCR	551	030-1	NA	A2C31231300	NA	A2C53428227	200	1301	PIN	NA	ROH	NA	40	4957111670		
138213	ZSCR	551	030-1	NA	A2C31231300	NA	A2C53428228	2100	1301	PIN	NA	ROH	NA	420	4957111670		
138213	ZSCR	551	030-1	NA	A2C31231300	NA	A2C53428229	200	1301	"PIN,TNG FORK (TALL)"	NA	ROH	NA	44	4957111670		
138214	ZSCR	551	030-1	NA	A2C31231300T	NA	A2C31229200	52	1301	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	3264.04	4957111670		
138219	ZSCR	551	050-3	NA	A2C53428271	NA	A2C53428272	2	1503	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	521.5	4957111585		
138221	ZSCR	551	030-1	NA	5WY8866	NA	A2C53428271	2	1301	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	521.5	4957111122		
138247	ZSCR	551	035-1	NA	A2C53428272	NA	A2C53428198	1830	1351	"PIN,SPD TERM Z02 VERISON"	NA	ROH	NA	366	4957112111		
138247	ZSCR	551	035-1	NA	A2C53428272	NA	A2C53428199	2145	1351	"PIN,NAT"	NA	ROH	NA	128.7	4957112111		
138250	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	6	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	1564.5	4957111285		
138252	ZSCR	551	040-1	NA	5WY8866	NA	A2C53428271	1	1401	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111301		
138255	ZSCR	551	040-4	NA	5WY8866	NA	A2C53428271	1	1404	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111349		
138256	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	1	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111285		
138257	ZSCR	551	040-4	NA	5WY8866	NA	A2C53428271	1	1404	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111349		
138259	ZSCR	551	040-4	NA	5WY8866	NA	A2C53428271	2	1404	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	521.5	4957111349		
138260	ZSCR	551	040-2	NA	5WY8866	NA	A2C53428271	1	1402	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111311		
138263	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	1	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111285		
138266	ZSCR	551	042-4	NA	A2C53428679	0	A2C53428700	1	1424	SUB PCB TMI ASSY. MY11DS GAS LOG DV2S1	NA	HALB	S.Real/AutoBF	235.09	4957111560		
138279	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	1	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	260.75	4957111285		
138282	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	2	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	521.5	4957111285		
138292	ZSCR	551	042-4	NA	A2C31231100	NA	A2C31231300	6	1424	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	1340.88	4957110288		
138293	ZSCR	551	030-1	NA	A2C31231100	NA	A2C31231300	6	1301	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	1340.88	4957110268		
138294	ZSCR	551	040-4	NA	5WY8866	NA	A2C53428271	8	1404	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	2086	4957111349		
138295	ZSCR	551	040-3	NA	A2C53428679	NA	A2C53428700T	1	1403	SUB PCB TMI ASSY. MY11DS GAS LOG TOP	NA	HALB	S.Real	229.66	4957111326		
138296	ZSCR	551	040-4	NA	5WY8866	NA	A2C53428271	2	1404	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	521.5	4957111349		
138298	ZSCR	551	040-4	NA	5WY8866	NA	A2C53428271	5	1404	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	1303.75	4957111349		
138299	ZSCR	551	034-2	NA	5WY9011	NA	A2C31231100	4	1342	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	893.92	4957111195		
138300	ZSCR	551	040-4	NA	5WY9011	NA	A2C31231100	2	1404	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	446.96	4957111221		
138302	ZSCR	551	034-2	NA	5WY9011	NA	A2C31231100	2	1342	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	446.96	4957111195		
138304	ZSCR	551	040-2	NA	5WY9011	NA	A2C31231100	2	1402	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	446.96	4957111213		
138305	ZSCR	551	030-1	NA	A2C31231100	NA	A2C31231300	1	1301	SUB PCB TOP THD ASSY. PROD MY12 S1_MY12	NA	HALB	S.Real	223.48	4957110268		
138363	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	2	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	521.5	4957111285		
138364	ZSCR	551	034-2	NA	5WY8866	NA	A2C53428271	3	1342	TIPM MY11 7C S1 BUX LOG MODEL	NA	HALB	S.Real	782.25	4957111285		
138365	ZSCR	551	034-2	NA	5WY9011	NA	A2C31231100	3	1342	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	670.44	4957111195		
138366	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	7	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	216.37	4957111011		
138376	ZSCR	551	030-1	NA	5WK49309	NA	A2C53215540-B	3	1301	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	92.73	4957111011		
138378	ZSCR	551	034-2	NA	5WK49309	NA	A2C53215540-B	2	1342	"""SMD BOT Assy EU/Asia 433,92 MHz 3 button"""	NA	HALB	S.Real	61.82	4957111263		
138387	ZSCR	551	030-1	NA	A2C53428271	NA	A2C53428272	1	1301	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	260.75	4957111416		
138388	ZSCR	551	030-1	NA	A2C53428679	NA	A2C53428700	10	1301	SUB PCB TMI ASSY. MY11DS GAS LOG DV2S1	NA	HALB	S.Real/AutoBF	2350.9	4957111435		
138389	ZSCR	551	030-1	NA	A2C53428271	NA	A2C53428272	2	1301	SUB PCB TMI ASSY. D/BUX MY11 DV2 7Ci V1	NA	HALB	S.Real/AutoBF	521.5	4957111416		
138391	ZSCR	551	030-1	NA	A2C53428272	NA	A2C00042519	41	1301	"4,36V,160mOhm,PowerSSO-24,GENERAL PURPOS"	NA	ROH	NA	305.45	4957112111		
138391	ZSCR	551	030-1	NA	A2C53428272	NA	A2C00058681	25	1301	"MC9S12XET512J3MAG,A1,144LQFP,FLASH,16bit"	NA	ROH	NA	891.75	4957112111		
138391	ZSCR	551	030-1	NA	A2C53428272	NA	A2C40016767	4	1301	"IC SMART POW/PC33580BAPNAR2,12.00 X 12.0"	NA	ROH	NA	87.32	4957112111		
