No.Item	Fecha	zSCR	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00004422	11	3011	054	 	1351	"R LIN,28K,1%,TK100,100mW,0603"		ROH	NA	0.11	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00008010	7	3011	054	 	1351	"1,NPN,NORMAL,hFE sorting to: 420...800,"		ROH	NA	0.56	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00008583	13	3011	054	 	1351	"3K3,1%,TK100,100mW,0603,LIN RES/ERJ ++"		ROH	NA	0.26	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00013205	5	3011	054	 	1351	"R LIN,180R,1%,TK100,125mW,0805"		ROH	NA	0.1	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00018540	1	3011	054	 	1351	"22uH,450mA,SMD,COIL/B82432-T, SIMID 1812"		ROH	NA	0.61	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00018548	2	3011	054	 	1351	"68uH,1.2A,SMD,COIL/SLN10145T"		ROH	NA	2.5	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00022343	37	3011	054	 	1351	"8MHz,0.1%,CSTCE,CER RESONATOR"		ROH	NA	52.91	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00034044	1	3011	054	 	1351	"1,N_CHAN,LL,MOS,POWER,55V,15A,69mOhm,TO2"		ROH	NA	1.08	PSAD_EPSILON_G.GERARDO	NO	
429850	3/17/2014	ZSCR	551	035-1	0	'054	A2C5339189192	NA	A2C00038059	10	3011	054	 	1351	"22uH,1.9A,SMD,COIL/SLF10145T-220M1R9-C ("		ROH	NA	23	PSAD_EPSILON_G.GERARDO	NO	
430839	3/19/2014	ZSCR	551	034-3	NA	'054	5WY78891	NA	5WY78891	1	3011	054	 	1343	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	291.22	PS_FORD_.	NO	
430839	3/19/2014	ZSCR	551	034-3	NA	'054	5WY78940	NA	5WY78940	1	3011	054	 	1343	MODUL CONTROL FOR AIRBAG VN127_08	NA	FERT	NA	284.38	PS_FORD_.	NO	
430839	3/19/2014	ZSCR	551	034-3	NA	'054	5WY78960	NA	5WY78960	1	3011	054	 	1343	MODUL CONTROL FOR AIRBAG D3L	NA	FERT	NA	420.77	PS_FORD_.	NO	
430911	3/19/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	1	3011	054	 	1301	GMB SMT Top side	NA	HALB	S.Real	127	PSAD_GM BRASIL_A.ANA TA	NO	
430914	3/19/2014	ZSCR	551	030-1	NA	'054	A2C9257230093	NA	A2C9257230092	1	3011	054	 	1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	81.19	PS_SDM30_C.CAROLINA OTA	NO	4976209768
430930	3/19/2014	ZSCR	551	030-1	NA	'054	5WK44252	NA	A2C53364457	1	3011	054	 	1301	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4976209421
430950	3/19/2014	ZSCR	551	030-1	NA	'054	A2C53364457A	NA	A2C53364453	12	3011	054	 	1301	pcb IEEZZDIV BOSE IEE VW3	NA	ROH	NA	112.8	OC_BOSE VW_A.ANA TAPIA-	NO	
430952	3/19/2014	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	4	3011	054	 	1301	pcb	NA	ROH	NA	91.56	PS_SDM30_C.CAROLINA OTA	NO	
430954	3/19/2014	ZSCR	551	030-1	NA	'054	A2C3797550092	NA	A2C53189514	3	3011	054	 	1301	pcb panel multiple 3-up main	NA	ROH	NA	73.71	PS_ARAMIS II MCG_F.FERN	NO	
430983	3/19/2014	ZSCR	551	030-1	NA	'054	5WY89130	NA	A2C53342620	1	3011	054	 	1301	pcb DC main	NA	ROH	NA	18.38	PS_ARAMIS 2013_E.EDWIN	NO	
430984	3/19/2014	ZSCR	551	030-1	NA	'054	5WY89130	NA	A2C53342620	1	3011	054	 	1301	pcb DC main	NA	ROH	NA	18.38	PS_ARAMIS 2013_E.EDWIN	NO	
430990	3/19/2014	ZSCR	551	040-1	NA	'054	A2C83971800	NA	A2C83972000	1	3011	054	 	1401	pcb topSMD	NA	HALB	S.Real/AutoBF	361.65	PS_SDM10+_C.CAROLINA OT	NO	
430993	3/19/2014	ZSCR	551	040-3	NA	'054	A2C86816802	NA	A2C86617100	1	3011	054	 	1403	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
430995	3/19/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	3011	054	 	1401	pcb assy	NA	HALB	S.Real/AutoBF	149.71	PSAD_GM BRASIL_A.ANA TA	NO	
430996	3/19/2014	ZSCR	551	030-1	NA	'054	A2C83016700	NA	A2C83016900	1	3011	054	 	1301	pcb assy PSAG3I 8-V CAN	NA	HALB	S.Real/AutoBF	196.13	PSAD_PSA CAN_J.JOSE ORT	NO	4976209538
430998	3/19/2014	ZSCR	551	034-2	NA	'054	A2C91764100	NA	A2C91764100	2	3011	054	 	1342	ACU MY14 12 SDM30.12.I	NA	FERT	NA	626.2	PS_SDM30_C.CAROLINA OTA	NO	
430999	3/19/2014	ZSCR	551	034-4	NA	'054	A2C91764100	NA	A2C91764100	1	3011	054	 	1344	ACU MY14 12 SDM30.12.I	NA	FERT	NA	313.1	PS_SDM30_C.CAROLINA OTA	NO	
431002	3/19/2014	ZSCR	551	034-2	NA	'054	A2C91764100	NA	A2C92572300	1	3011	054	 	1342	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_C.CAROLINA OTA	NO	
431008	3/19/2014	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53364457	3	3011	054	 	1342	pcb assy	NA	HALB	S.Real/AutoBF	288.75	OC_BOSE VW_A.ANA TAPIA-	NO	
431017	3/19/2014	ZSCR	551	040-3	NA	'054	A2C91764100	NA	A2C91764100	1	3011	054	 	1403	ACU MY14 12 SDM30.12.I	NA	FERT	NA	313.1	PS_SDM30_C.CAROLINA OTA	NO	
431025	3/19/2014	ZSCR	551	040-1	NA	'054	A2C37924700	NA	A2C37744300	1	3011	054	 	1401	pcb assy PTFSPEED15 V01	NA	HALB	S.Real	156.24	PS_FIAT BRAZIL_E.EDWIN	NO	
431027	3/19/2014	ZSCR	551	034-4	NA	'054	A2C91764100	NA	A2C91764100	1	3011	054	 	1344	ACU MY14 12 SDM30.12.I	NA	FERT	NA	313.1	PS_SDM30_C.CAROLINA OTA	NO	
431029	3/19/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C40000025	3	3011	054	 	1342	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	20.49	PS_SDM10+_C.CAROLINA OT	NO	
431035	3/19/2014	ZSCR	551	034-2	NA	'054	5WK44771	NA	A2C81531200	1	3011	054	 	1342	pcb assy DAGARM3 V14	NA	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
431035	3/19/2014	ZSCR	551	034-2	NA	'054	A2C86816802	NA	A2C86617100	1	3011	054	 	1342	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
431036	3/19/2014	ZSCR	551	040-2	NA	'054	A2C83971800	NA	A2C83972000	1	3011	054	 	1402	pcb topSMD	NA	HALB	S.Real/AutoBF	361.65	PS_SDM10+_C.CAROLINA OT	NO	
431040	3/19/2014	ZSCR	551	034-4	NA	'054	A2C81622000	NA	A2C53399629	1	3011	054	 	1344	pcb assy HONHRS5 RO V13	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS5_.	NO	
431041	3/19/2014	ZSCR	551	034-2	NA	'054	5WK44285		5WK44285	1	3011	054	 	1342	MODULE CONTROL FOR AIRBAG VW10 RdW	NA	FERT	NA	231.46	PS_VW10 LC_U.ULISES VIL	NO	
431045	3/19/2014	ZSCR	551	034-4	NA	'054	A2C91085700	NA	A2C91085700	1	3011	054	 	1344	ACU MY11 18 R SDM10+	NA	FERT	NA	427.68	PS_SDM10+_C.CAROLINA OT	NO	
431046	3/19/2014	ZSCR	551	040-3	NA	'054	A2C91085700	NA	A2C91085700	1	3011	054	 	1403	ACU MY11 18 R SDM10+	NA	FERT	NA	427.68	PS_SDM10+_C.CAROLINA OT	NO	
431047	3/19/2014	ZSCR	551	040-3	NA	'054	A2C91085700	NA	A2C91085700	2	3011	054	 	1403	ACU MY11 18 R SDM10+	NA	FERT	NA	855.36	PS_SDM10+_C.CAROLINA OT	NO	
431048	3/19/2014	ZSCR	551	034-4	NA	'054	A2C91085700	NA	A2C91085700	1	3011	054	 	1344	ACU MY11 18 R SDM10+	NA	FERT	NA	427.68	PS_SDM10+_C.CAROLINA OT	NO	
431050	3/19/2014	ZSCR	551	040-3	NA	'054	A2C91764100	NA	A2C91764100	1	3011	054	 	1403	ACU MY14 12 SDM30.12.I	NA	FERT	NA	313.1	PS_SDM30_C.CAROLINA OTA	NO	
431056	3/19/2014	ZSCR	551	040-3	NA	'054	A2C86816902	NA	A2C86617300	2	3011	054	 	1403	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	857.66	PS_ARAMIS III_E.EDWIN R	NO	
431059	3/19/2014	ZSCR	551	034-2	NA	'054	5WY88050	NA	A2C53408690	4	3011	054	 	1342	cover	NA	ROH	NA	15.88	PSAD_GM BRASIL_A.ANA TA	NO	
431069	3/19/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	1500	3011	054	 	1342	certification label identificati	NA	ROH	NA	495	PS_SDM30_C.CAROLINA OTA	NO	
431107	3/19/2014	ZSCR	551	034-2	NA	'054	5WK44354	NA	A2C53381596	7	3011	054	 	1342	cover	NA	ROH	NA	38.5	PS_HYUNDAI_.	NO	
431224	3/20/2014	ZSCR	551	034-2	NA	'054	A2C83016700	NA	A2C83017000	8	3011	054	 	1342	cover B	NA	ROH	NA	32.08	PSAD_PSA MAGNA_J.JOSE O	NO	
431224	3/20/2014	ZSCR	551	034-2	NA	'054	A2C83016700	NA	A2C83017000	10	3011	054	 	1342	cover B	NA	ROH	NA	40.1	PSAD_PSA MAGNA_J.JOSE O	NO	
431224	3/20/2014	ZSCR	551	034-2	NA	'054	A2C73614500	NA	A2C83017100	10	3011	054	 	1342	housing assy PSAG3I prefabrica	NA	ROH	NA	498.5	PSAD_PSA MAGNA_J.JOSE O	NO	
431224	3/20/2014	ZSCR	551	034-2	NA	'054	A2C83016700	NA	A2C83017100	8	3011	054	 	1342	housing assy PSAG3I prefabrica	NA	ROH	NA	398.8	PSAD_PSA MAGNA_J.JOSE O	NO	
