No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP								
560465	05/12/2014	ZSCR	551	050-2	NA	'054	5WY78180	NA	A2C53139779	5				1502	circuit board assy	NA	HALB	S.Real/AutoBF	1924.45	PS_FORD_. (APROBACION	NO									
561045	07/12/2014	ZSCR	551	030-1	NA	'054	A2C9257230093	NA	A2C9257230092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	81.19	PS_SDM30_.	NO									
561046	07/12/2014	ZSCR	551	030-1	NA	'054	A2C9257240093	NA	A2C9257240092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	81.94	PS_SDM30_.	NO									
561074	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
561075	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
561076	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
561077	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
561078	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
561079	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8153120093	NA	A2C8153120092	1				1301	pcb assy DAGARM3 V14 Bottom	NA	HALB	S.Real/AutoBF	81.75	PS_ARAMIS III_E.EDWIN R	NO									
561137	07/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
561176	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8397200093	NA	A2C8397200092	24				1301	pcb topSMD bottom	NA	HALB	S.Real/AutoBF	3383.28	PS_SDM10+_.	NO									
561212	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8661710093	NA	A2C8661710092	1				1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	81.06	PS_ARAMIS III_E.EDWIN R	NO									
561213	07/12/2014	ZSCR	551	030-1	NA	'054	A2C8661710093	NA	A2C8661710092	1				1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	81.06	PS_ARAMIS III_E.EDWIN R	NO									
561214	07/12/2014	ZSCR	551	030-1	NA	'054	NA	NA	A2C8681670092	1				1301	pcb assy DAGARM3 V18EDR BOTTOM	NA	HALB	S.Real/AutoBF	89.42	PS_ARAMIS III_E.EDWIN R	NO									
561225	07/12/2014	ZSCR	551	030-1	NA	'054	A2C89730900	NA	A2C8021660002	1				1301	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	307.13	PS_HONDA HRS6_J.JUAN CH	NO									
561247	07/12/2014	ZSCR	551	040-1	NA	'054	A2C30910808	NA	A2C32509000	2	3011	054	 	1401	pcb assy VW20 V01	NA	HALB	S.Real	274.66	PSAD_VW20_U.ULISES VILL	NO	4985064229								
561248	07/12/2014	ZSCR	551	040-1	NA	'054	A2C87038500	NA	A2C5339962902	1				1401	pcb assy HONHRS5 RO V13B	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS5_. (APROB	NO									
561249	07/12/2014	ZSCR	551	040-3	NA	'054	A2C91764400	NA	A2C92572700	2				1403	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	774.36	PS_SDM30_. (APROBACION	NO									
561252	07/12/2014	ZSCR	551	040-1	NA	'054	A2C85901112	KAAF	A2C85901112	1				1401	ACU DAGSTAR2 MY13 S15 32 06 0 1 0 000 C2	NA	FERT	NA	462.23	PSAD_DAIMLER STAR 2_A.A	NO	4985060208								
561253	07/12/2014	ZSCR	551	040-2	NA	'054	A2C91764100	2800	A2C91764100	1				1402	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4985060351								
561254	07/12/2014	ZSCR	551	040-3	NA	'054	A2C91764200	2800	A2C91764200	1				1403	ACU MY14 S15 12 XX 0 1 0 000	NA	FERT	NA	413.51	PS_SDM30_.	NO	4985060487								
561266	07/12/2014	ZSCR	551	040-3	NA	'054	5WK44040	NA	A2C53279728	1				1403	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO									
561268	07/12/2014	ZSCR	551	040-3	NA	'054	5WK44245	NA	A2C53353898	1				1403	keypad assy	NA	HALB	S.Real/AutoBF	485.13	OC_OCS NISSAN_A.ANA TAP	NO									
561282	07/12/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C92572700	1				1401	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	387.18	PS_SDM30_.	NO									
561283	07/12/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO									
561285	07/12/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	2				1401	pcb assy	NA	HALB	S.Real/AutoBF	299.42	PSAD_GM BRASIL_A.ANA TA	NO									
561289	07/12/2014	ZSCR	551	040-2	NA	'054	A2C91764400	2800	A2C91764400	1				1402	ACU MY14 S15 18 XX 0 1 0 000	NA	FERT	NA	441.94	PS_SDM30_.	NO	4985060379								
561291	07/12/2014	ZSCR	551	040-3	NA	'054	A2C87038500	NA	A2C5339962902	1				1403	pcb assy HONHRS5 RO V13B	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS5_.	NO									
561300	07/12/2014	ZSCR	551	040-3	NA	'054	A2C86852400	87AB	A2C86852400	1				1403	ACU HMCUD MY13 S10 12 XX 0 0 0 000	NA	FERT	NA	228.84	PS_HYUNDAI_.	NO	4985060470								
561318	07/12/2014	ZSCR	551	050-1	NA	'054	5WY90360	NA	A2C53108387	76	3011	054	 	1501	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	13.68	PSAD_GM BRASIL_A.ANA TA	NO	4985064088								
561318	07/12/2014	ZSCR	551	050-1	NA	'054	5WY90360	NA	A2C53408549	19	3011	054	 	1501	housing D= 2	NA	ROH	NA	390.07	PSAD_GM BRASIL_A.ANA TA	NO	4985064088								
561318	07/12/2014	ZSCR	551	050-1	NA	'054	A2C91764400	NA	A2C83145200	6	3011	054	 	1501	certification label identificati	NA	ROH	NA	1.98	PSAD_GM BRASIL_A.ANA TA	NO									
561338	07/12/2014	ZSCR	551	040-1	NA	'054	A2C87038500	NA	A2C5339962902	1				1401	pcb assy HONHRS5 RO V13B	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS5_.	NO									
561339	07/12/2014	ZSCR	551	040-1	NA	'054	5WY88030	NA	A2C53417786	1				1401	pcb assy	NA	HALB	S.Real/AutoBF	149.73	PSAD_GM BRASIL_A.ANA TA	NO									
561343	07/12/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	1				1403	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO									
561346	07/12/2014	ZSCR	551	040-2	NA	'054	A2C32453912	3	A2C32453912	1				1402	ACU DAGS2W222 MY12 S15 24 09 0 1 0 000	NA	FERT	NA	425.24	PSAD_DAIMLER STAR 2_A.A	NO	4985060325								
561347	07/12/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO									
561355	07/12/2014	ZSCR	551	040-3	NA	'054	5WK44040	NA	A2C53279728	1				1403	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO									
561363	07/12/2014	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875B	1				1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	78.02	PS_HYUNDAI_.	NO									
561364	07/12/2014	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	1				1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	78.02	PS_HYUNDAI_.	NO									
561575	08/12/2014	ZSCR	551	030-1	NA	'054	A2C9257270093	NA	A2C9257270092	1				1301	pcb assy GMSMD30 Bottom	NA	HALB	S.Real/AutoBF	82.44	PS_SDM30_.	NO									
561576	08/12/2014	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	1				1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	78.02	PS_HYUNDAI_.	NO									
561577	08/12/2014	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	1				1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	78.02	PS_HYUNDAI_.	NO									
561578	08/12/2014	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	1				1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	78.02	PS_HYUNDAI_.	NO									
561610	08/12/2014	ZSCR	551	030-1	NA	'054	A2C53429875A	NA	A2C53429875B	6				1301	Hyundai circuit board assy 12FL SMD Bot	NA	HALB	S.Real/AutoBF	468.12	PS_HYUNDAI_.	NO									
561616	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8661710093	NA	A2C8661710092	1				1301	pcb assy DAGARM3 RO V17EDR Bottom	NA	HALB	S.Real/AutoBF	81.06	PS_ARAMIS III_E.EDWIN R	NO									
561652	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561654	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561655	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
561657	08/12/2014	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660092	1				1301	pcb assy HONHRS6 V04 BOTTOM	NA	HALB	S.Real/AutoBF	51.43	PS_HONDA HRS6_J.JUAN CH	NO									
