No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	APD	Espacio	Reason Code	Descripción	g	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
542881	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	9	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
542882	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	9	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
542884	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C86617100	3	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	6	HALB	S.Real	1279.71	PS_ARAMIS III_E.EDWIN R	NO	
542890	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764300	NA	A2C9257250093	1	3011	054	 	1301	pcb assy GMSMD30 Top	10	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO	
542893	31/10/2014	ZSCR	551	030-1	NA	'054	A2C80612806	NA	A2C81455800	1	3011	054	 	1301	pcb assy RENT4 V01	1	HALB	S.Real	132.3	PS_RENAULT_. (APROBACI	NO	
542910	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	6	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542922	31/10/2014	ZSCR	551	030-1	NA	'054	A2C85801000	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	1	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542927	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	3011	054	 	1301	Hyundai circuit board assy 12FL SMD Top	7	HALB	S.Real	158.84	PS_HYUNDAI_. (APROBACI	NO	
542959	31/10/2014	ZSCR	551	034-2	NA	'054	A2C5340491402	NA	A2C5340491402	3	3011	054	 	1342	pcb assy HONHRS5 V30 REV 02	3	HALB	S.Real	980.67	PS_HONDA HRS5_.	NO	
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C38172103	NA	A2C91593500	6	3011	054	 	1424	multipoint connector124/ 59P H 2SYS 1018	2	ROH	NA	311.52	PSAD_DAIMLER STAR 2_A.A	NO	
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C33330514	NA	A2C91600700	1	3011	054	 	1424	multipoint connector124/ 86P H 2SYS 1018	1	ROH	NA	61.25	PSAD_DAIMLER STAR 2_A.A	NO	
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C92704001	NA	A2C91600800	2	3011	054	 	1424	multipoint connector124/ 76P H 2SYS 1018	3	ROH	NA	115.58	PSAD_DAIMLER STAR 2_A.A	NO	
543324	01/11/2014	ZSCR	551	034-2	NA	'054	A2C82735100	NA	A2C40000022	4	3011	054	 	1342	"C ELEC,AL,4.7mF,20%,35V"	2	ROH	NA	26.92	PS_SDM10+_.	NO	
543338	01/11/2014	ZSCR	551	034-3	NA	'054	A2C38172101	NA	A2C53424040	200	3011	054	 	1343	"pan head screw M3,5 x 12,00 1268"	1	ROH	NA	54	PSAD_DAIMLER STAR 2_A.A	NO	
543338	01/11/2014	ZSCR	551	034-3	NA	'054	A2C81768402	NA	A2C83435000	6	3011	054	 	1343	cover FIP T BK	2	ROH	NA	114.12	PSAD_DAIMLER STAR 2_A.A	NO	
543342	01/11/2014	ZSCR	551	034-2	NA	'054	A2C83749500	NA	A2C53333520	200	3011	054	 	1342	TYPE LABLE	2	ROH	NA	76	PS_SDM10+_.	NO	
543342	01/11/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	10	ROH	NA	33	PS_SDM10+_.	NO	
543388	01/11/2014	ZSCR	551	030-1	NA	'054	A2C8021730002	NA	A2C8021730093	1	3011	054	 	1301	pcb assy HONHRS6 V06 TOP	3	HALB	S.Real	142.19	PS_HONDA HRS6_J.JUAN CH	NO	
543391	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	6	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
543392	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	9	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
543393	01/11/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	2	3011	054	 	1301	pcb assy DAGARM3 RO V17EDR	9	HALB	S.Real	853.14	PS_ARAMIS III_E.EDWIN R	NO	
543401	01/11/2014	ZSCR	551	030-1	NA	'054	5WK44285	NA	A2C53367544	1	3011	054	 	1301	ACU VW10 MY10 M35 08 04 0 0 0 000	12	HALB	S.Real	208.93	PS_VW10 LC_U.ULISES VIL	NO	4983915616
543461	01/11/2014	ZSCR	551	030-1	NA	'054	A2C3511610092	NA	A2C35115900	18	3011	054	 	1301	pcb 6-lay FR-4 main	1	ROH	NA	453.96	PSAD_DAIMLER STAR 2_A.A	NO	
543466	01/11/2014	ZSCR	551	030-1	NA	'054	A2C32453910	NA	A2C3511610193	1	3011	054	 	1301	pcb assy DAGSTAR2 D_12 SMD TOP	3	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	
543472	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53435477	NA	A2C5343547793	1	3011	054	 	1301	pcb assy HONHRS5 V36 top side	5	HALB	S.Real	179.03	PS_HONDA HRS5_.	NO	
543473	01/11/2014	ZSCR	551	030-1	NA	'054	A2C53435477	NA	A2C5343547793	1	3011	054	 	1301	pcb assy HONHRS5 V36 top side	5	HALB	S.Real	179.03	PS_HONDA HRS5_.	NO	
543479	01/11/2014	ZSCR	551	030-1	NA	'054	A2C32453910	NA	A2C3511610193	1	3011	054	 	1301	pcb assy DAGSTAR2 D_12 SMD TOP	3	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	
543512	01/11/2014	ZSCR	551	030-1	NA	'054	A2C81622000	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	2	HALB	S.Real	278.67	PS_HONDA HRS6_J.JUAN CH	NO	
