No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
40057	ZSCR	551	035-1	0	A2C3459950093	NA	A2C00020588	3	3011	054		1351	"82R5,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.03	
54436	ZSCR	551	035-1	0	S208681003	NA	6592362089	8	3011	054		1351	"8MHZ,0.5%,PAS RESO/CSTCS8.00MT"		ROH	NA	19.04	
56847	ZSCR	551	040-3	NA	A2C53299462	NA	A2C53295286	3				1403	cable harness	NA	ROH	NA	76.56	
84035	ZSCR	551	035-1	0	A2C33000100	NA	A2C00055566	16	3011	054		1351	"TMS470PVF242BBPZ,A1,PQFP100,FLASH,32bit,"		ROH	NA	456.8	
84306	ZSCR	551	035-1	0	A2C53100669	NA	A2C00019606	3	3011	054		1351	"13K7,1%,TK100,63mW,0603,LIN RES/"		ROH	NA	0.03	
84307	ZSCR	551	035-1	0	6598367621	NA	6594312008	89	3011	054		1351	"200V,2A,SMB,DIODES RECTIFIER /"		ROH	NA	46.28	
84307	ZSCR	551	035-1	0	6598367621	NA	6596312072	23	3011	054		1351	"00V,1A,SMA,FAST,SINGLE,RECT D"		ROH	NA	7.13	
84307	ZSCR	551	035-1	0	6598367621	NA	A2C00000414	1	3011	054		1351	"70V,140mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	0.12	
84307	ZSCR	551	035-1	0	6598367621	NA	A2C00000479	59	3011	054		1351	"1,NPN,NORMAL,4A,45V,TO252/DPAK,BIP/MJD14"		ROH	NA	90.86	
84307	ZSCR	551	035-1	0	6598367621	NA	A2C00032200	11	3011	054		1351	"24MHz,0.5%,CSTCV,CER RESONATOR"		ROH	NA	19.91	
84321	ZSCR	551	035-1	0	6596177131	NA	A2C00010400	43	3011	054		1351	"L COIL/-,16uH,100mA,SMD +++ use instead"		ROH	NA	84.28	
84321	ZSCR	551	035-1	0	6596177131	NA	A2C00011544	7	3011	054		1351	"1,N_CHAN,MOS,POWER,30V,35A,30mOhm,TO252/"		ROH	NA	19.04	
84321	ZSCR	551	035-1	0	6596177131	NA	A2C00017167	2	3011	054		1351	"FMON60TB.1,A1,tssop14_065,-,MICRO PROG/F"		ROH	NA	12.48	
84321	ZSCR	551	035-1	0	6596177131	NA	A2C00020173	11	3011	054		1351	POWER SCHOTTKY RECT DIODE		ROH	NA	6.6	
