No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	 Valor 	No.Docto.SAP
123686	ZSCR	551	030-1	NA	A2C53405100MI	NA	A2C53405100	3	3011	054		1301	circuit board assy	NA	HALB	S.Real	" $1,217.79 "	4956288394
122014	ZSCR	551	030-1	NA	5WY8747	NA	A2C53396263	3	3011	054		1301	EPS FIAT 169 ASSY	NA	HALB	S.Real	" $1,190.88 "	4956288403
124228	ZSCR	551	040-5	NA	5WK43871	NA	A2C53189515MI	2	3011	054		1405	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	" $1,136.76 "	4956287795
124374	ZSCR	551	040-2	NA	5WK43871	NA	A2C53189515MI	2	3011	054		1402	Manual insertion assy W/S 212 WITH PPS/R	NA	HALB	S.Real	" $1,136.76 "	4956287804
124565	ZSCR	551	040-1	NA	5WK44276	NA	5WK44276	3	3011	054		1401	AIRBAG HONDA ACCORD 11 V5	NA	FERT	NA	" $1,058.46 "	
124079	ZSCR	551	042-4	NA	5WY8749	1	5WY8749	2	3011	054		1424	OPEL EPS AEPSOPGA04M00	NA	FERT	NA	" $1,043.48 "	
88017	MB1A	951	025-3	NA	NA	2	5WK44186	2	3011	054		1253	R172 ECE with PyroPPSg with RO Aramis 3	VUG014969	FERT	NA	" $1,021.84 "	
82102	MB1A	951	025-3	NA	NA	1	5WK44323	2	3011	054		1253	C218/204 W/PyroPPSg W/RO WO/PO Aramis 3	VUG014969	FERT	NA	" $1,020.26 "	
123778	ZSCR	551	034-2	NA	5WK44252		5WK44252	8	3011	054		1342	BoSe VW311	NA	FERT	NA	" $1,007.20 "	
124076	ZSCR	551	034-3	NA	5WY8747	1	5WY8747	2	3011	054		1343	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $967.64 	
124078	ZSCR	551	034-3	NA	5WY8747	1	5WY8747	2	3011	054		1343	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $967.64 	
124639	ZSCR	551	040-5	NA	5WY8747	1	5WY8747	2	3011	054		1405	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $967.64 	
124640	ZSCR	551	034-2	NA	5WY8747	1	5WY8747	2	3011	054		1342	FIAT 169 EPS AEPSFT6904Q00	NA	FERT	NA	 $967.64 	
115212	MB1A	551	064-2	NA	NA	NA	A2C00034839	2500	3011	054		1642	"150uH,540mA,HOL,COIL/Choke"	NA	ROH	NA	 $900.00 	
122069	ZSCR	551	030-1	NA	5WK44014	NA	A2C53279666	2	3011	054		1301	airbag control elect MY10	NA	HALB	S.Real	 $886.00 	4956288411
122669	ZSCR	551	034-9	NA	5WK44014	NA	A2C53279666	2	3011	054		1349	airbag control elect MY10	NA	HALB	S.Real	 $886.00 	4956288207
123073	ZSCR	551	034-2	NA	5WK44508	NA	A2C00027016	47	3011	054		1342	housing	NA	ROH	NA	 $845.53 	
124353	ZSCR	551	030-1	NA	A2C53395077	NA	A2C53395076	84	3011	054		1301	pcb IEEZZDIV	NA	ROH	NA	 $808.92 	4956288482
94120	MB1A	551	064-2	NA	NA	NA	A2C53377332	22	3011	054		1642	pin header 100P H 3R 1018 VI	NA	ROH	NA	 $802.78 	
121664	ZSCR	551	034-2	NA	5WY8747	NA	A2C53396263	2	3011	054		1342	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $793.92 	4956288344
121665	ZSCR	551	040-3	NA	5WY8747	NA	A2C53396263	2	3011	054		1403	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $793.92 	4956288089
122448	ZSCR	551	034-2	NA	5WY8747	NA	A2C53396263	2	3011	054		1342	EPS FIAT 169 ASSY	NA	HALB	S.Real	 $793.92 	4956288344
123879	ZSCR	551	034-2	NA	5WY8748	NA	A2C53396256	44	3011	054		1342	TAPA FIAT	NA	ROH	NA	 $747.12 	
124567	ZSCR	551	040-1	NA	5WK44276	NA	5WK44276	2	3011	054		1401	AIRBAG HONDA ACCORD 11 V5	NA	FERT	NA	 $705.64 	
115292	MB1A	551	064-2	NA	NA	NA	A2C53125065	31	3011	054		1642	multipoint connector 96P H 2SYS C-B	NA	ROH	NA	 $701.53 	
122941	ZSCR	551	040-3	NA	5WK44073	NA	A2C53298665MI	1	3011	054		1403	Manual insertion assy A207 WITH PPS / RO	NA	HALB	S.Real	 $676.75 	4956288024
123683	ZSCR	551	040-2	NA	5WK44073	NA	A2C53298665MI	1	3011	054		1402	Manual insertion assy A207 WITH PPS / RO	NA	HALB	S.Real	 $676.75 	4956288133
122443	ZSCR	551	022-2	NA	5WY75900	NA	6590119056	2	3011	054		1222	Subensamble IM MY06 8L SP	NA	HALB	S.Real	 $650.00 	
120139	ZSCR	551	035-1	0	A2C53396255T	NA	A2C40010600	8	3011	054		1351	"IC MCU PRO/-,A1,TBD,STD IC - MASKED ROM,"		ROH	NA	 $619.36 	
123075	ZSCR	551	034-2	NA	5WK43952	NA	A2C53245952	31	3011	054		1342	"housing FIP 152,0x 135,7"	NA	ROH	NA	 $614.42 	
