No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	d	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
542807	31/10/2014	ZSCR	551	034-2	NA	'054	A2C83749500	NA	A2C40000022	1				1342	"C ELEC,AL,4.7mF,20%,35V"	2	ROH	NA	6.73	PS_SDM10+_.	NO	
542807	31/10/2014	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C40000025	2				1342	"C ELEC,AL,6.8mF,20%,35V"	2	ROH	NA	13.66	PS_SDM10+_.	NO	
542810	31/10/2014	ZSCR	551	042-4	NA	'054	A2C38171903	NA	A2C91595300	1				1424	multipoint connector124/ 55P H 2SYS 1018	3	ROH	NA	50.54	PSAD_DAIMLER STAR2_ISC_	NO	
542828	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53412213	NA	A2C53412223	1				1301	circuit board assy	9	HALB	S.Real	127	PSAD_GM BRASIL_A.ANA TA	NO	
542829	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542831	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542832	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542833	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542839	31/10/2014	ZSCR	551	030-1	NA	'054	A2C8153120092	NA	A2C53338029	72	3011	054	 	1301	pcb panel multiple 6-up main	12	ROH	NA	1539.36	PS_ARAMIS III_E.EDWIN R	NO	
542841	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C8661710093	1				1301	pcb assy DAGARM3 RO V17EDR Top	3	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542843	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86617100	NA	A2C8661710093	1				1301	pcb assy DAGARM3 RO V17EDR Top	1	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542845	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1				1301	pcb assy DAGARM3 RO V17EDR Top	8	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542846	31/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C8153120093	1	3011	054	 	1301	pcb assy DAGARM3 V14 TOP	24	HALB	S.Real	369.52	PS_ARAMIS III_E.EDWIN R	NO	
542850	31/10/2014	ZSCR	551	030-1	NA	'054	A2C34527100	NA	A2C53388687	1				1301	circuit board assy	2	HALB	S.Real	359.32	PS_ARAMIS 2012_. (APRO	NO	
542851	31/10/2014	ZSCR	551	030-1	NA	'054	A2C81542300	NA	A2C53388687	1				1301	circuit board assy	4	HALB	S.Real	359.32	PS_ARAMIS 2012_. (APRO	NO	
542852	31/10/2014	ZSCR	551	030-1	NA	'054	A2C34527100	NA	A2C53388687	1				1301	circuit board assy	2	HALB	S.Real	359.32	PS_ARAMIS 2012_. (APRO	NO	
542853	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53388687	NA	A2C53342620	1	3011	054	 	1301	pcb DC main	11	ROH	NA	18.38	PS_ARAMIS 2012_. (APRO	NO	4983653838
542855	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53364457	NA	A2C53364457A	1				1301	subensamble de SMD BoSe VW Top	7	HALB	S.Real	72.43	OC_BOSE VW_A.ANA TAPIA-	NO	
542857	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1				1301	pcb assy DAGARM3 RO V17EDR Top	8	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542859	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1				1301	pcb assy DAGARM3 RO V17EDR Top	8	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542860	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C8661710093	1				1301	pcb assy DAGARM3 RO V17EDR Top	8	HALB	S.Real	366.77	PS_ARAMIS III_E.EDWIN R	NO	
542864	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542866	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542868	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542869	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542871	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542872	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542874	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542875	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	1	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	166.71	PS_VW10 LC_U.ULISES VIL	NO	
542876	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53416946	NA	A2C53417068A	6	3011	054	 	1301	VW10 circuit board assy 8FL SMD Top	21	HALB	S.Real	1000.26	PS_VW10 LC_U.ULISES VIL	NO	
542877	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53374378A	NA	A2C53374377	1	3011	054	 	1301	pcb VW ZZDIV AC	20	ROH	NA	15.86	PS_VW10 LC_U.ULISES VIL	NO	4983653783
542880	31/10/2014	ZSCR	551	030-1	NA	'054	A2C80644601	NA	A2C81531200	1				1301	pcb assy DAGARM3 V14	7	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542881	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1				1301	pcb assy DAGARM3 RO V17EDR	8	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
542882	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816801	NA	A2C86617100	1				1301	pcb assy DAGARM3 RO V17EDR	8	HALB	S.Real	426.57	PS_ARAMIS III_E.EDWIN R	NO	
542884	31/10/2014	ZSCR	551	030-1	NA	'054	A2C86816800	NA	A2C86617100	3				1301	pcb assy DAGARM3 RO V17EDR	3	HALB	S.Real	1279.71	PS_ARAMIS III_E.EDWIN R	NO	
542885	31/10/2014	ZSCR	551	030-1	NA	'054	A2C80644601	NA	A2C81531200	1				1301	pcb assy DAGARM3 V14	7	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542887	31/10/2014	ZSCR	551	030-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
542888	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764400	NA	A2C9257270093	1	3011	054	 	1301	pcb assy GMSMD30 Top	29	HALB	S.Real	384.12	PS_SDM30_. (APROBACION	NO	
542890	31/10/2014	ZSCR	551	030-1	NA	'054	A2C91764300	NA	A2C9257250093	1				1301	pcb assy GMSMD30 Top	6	HALB	S.Real	284.13	PS_SDM30_. (APROBACION	NO	
542893	31/10/2014	ZSCR	551	030-1	NA	'054	A2C80612806	NA	A2C81455800	1				1301	pcb assy RENT4 V01	1	HALB	S.Real	132.3	PS_RENAULT_. (APROBACI	NO	
542908	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	2	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	664.62	PS_SDM10+_. (APROBACIO	NO	
542910	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971700	NA	A2C8397190093	1				1301	pcb topSMD top	2	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542911	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542912	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542914	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542915	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542916	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542918	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542919	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542920	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542922	31/10/2014	ZSCR	551	030-1	NA	'054	A2C85801000	NA	A2C8397190093	1				1301	pcb topSMD top	1	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542923	31/10/2014	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	3011	054	 	1301	pcb topSMD top	29	HALB	S.Real	332.31	PS_SDM10+_. (APROBACIO	NO	
542927	31/10/2014	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1				1301	Hyundai circuit board assy 12FL SMD Top	6	HALB	S.Real	158.84	PS_HYUNDAI_. (APROBACI	NO	
542959	31/10/2014	ZSCR	551	034-2	NA	'054	A2C5340491402	NA	A2C5340491402	3				1342	pcb assy HONHRS5 V30 REV 02	6	HALB	S.Real	980.67	PS_HONDA HRS5_.	NO	
542986	31/10/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1301	pcb assy PTFSPEED10 D_26	11	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
542989	31/10/2014	ZSCR	551	042-4	NA	'054	A2C53404914	NA	A2C53404914A	1				1424	circuit board assy	1	HALB	S.Real	276.38	PS_HONDA HRS6_J.JUAN CH	NO	
542993	31/10/2014	ZSCR	551	040-1	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
543064	31/10/2014	ZSCR	551	042-4	NA	'054	A2C80644600	NA	A2C81531200	1	3011	054	 	1301	pcb assy DAGARM3 V14	24	HALB	S.Real	433.85	PS_ARAMIS III_E.EDWIN R	NO	
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C38172103	NA	A2C91593500	6				1424	multipoint connector124/ 59P H 2SYS 1018	2	ROH	NA	311.52	PSAD_DAIMLER STAR 2_A.A	NO	
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C33330514	NA	A2C91600700	1				1424	multipoint connector124/ 86P H 2SYS 1018	1	ROH	NA	61.25	PSAD_DAIMLER STAR 2_A.A	NO	
543322	01/11/2014	ZSCR	551	042-4	NA	'054	A2C92704001	NA	A2C91600800	2				1424	multipoint connector124/ 76P H 2SYS 1018	3	ROH	NA	115.58	PSAD_DAIMLER STAR 2_A.A	NO	
543324	01/11/2014	ZSCR	551	034-2	NA	'054	A2C82735100	NA	A2C40000022	4				1342	"C ELEC,AL,4.7mF,20%,35V"	1	ROH	NA	26.92	PS_SDM10+_.	NO	
543338	01/11/2014	ZSCR	551	034-3	NA	'054	A2C38172101	NA	A2C53424040	200				1343	"pan head screw M3,5 x 12,00 1268"	1	ROH	NA	54	PSAD_DAIMLER STAR 2_A.A	NO	
543338	01/11/2014	ZSCR	551	034-3	NA	'054	A2C81768402	NA	A2C83435000	6				1343	cover FIP T BK	1	ROH	NA	114.12	PSAD_DAIMLER STAR 2_A.A	NO	
543342	01/11/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	100				1342	certification label identificati	6	ROH	NA	33	PS_SDM10+_.	NO	
