No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID		Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00022031	18	1351	"4,EQ ISO,konvex 1206,7K5,1%,63mW,NET RES"		ROH	NA	0.9	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00563300	7	1351	"MMSZ4681/-,2.4V,500mW,SOD-123"		ROH	NA	1.05	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00044219	1	1351	"240R,1%,TK100,63mW,0603,LIN RES/RC"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C40005330	1	1351	"R JUMP,0R05,63mW,1A,0402"		ROH	NA	0	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00003708	1	1351	"R LIN,3K3,5%,TK200,100mW,0603"		ROH	NA	0.01	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00019595	13	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.13	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00000380	1	1351	"600V,3A,1,STANDARD,SMC DO214AB,RECT DIOD"		ROH	NA	0.5	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257250092	NA	A2C00037882	9	1351	"R LIN,2K4,1%,TK100,63mW,0402"		ROH	NA	0.09	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00059117	37	1351	"5R6,1%,TK50,100mW,0603,LIN RES/"		ROH	NA	1.85	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00043037	2	1351	"200V,2A,1,STANDARD,DO214AA,RECT DIODE/ES"		ROH	NA	0.96	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00004555	221	1351	"R LIN,2K,1%,TK100,100mW,0603"		ROH	NA	2.21	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00057767	18	1351	"IC MCU BLK/SPC560P50L3 (Pictus512K),A1,L"		ROH	NA	311.94	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00006609	29	1351	"R LIN,100R,5%,TK200,63mW,0402"		ROH	NA	0.29	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00023857	164	1351	"F BEAD/BLM41P,90mOhm,1KOhm,1.5A,SMD"		ROH	NA	54.12	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00004322	21	1351	"R LIN,5K62,1%,TK100,100mW,0603"		ROH	NA	0.21	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00004349	534	1351	"R JUMP,0R05,100mW,1A,0603"		ROH	NA	5.34	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00025363	3	1351	"22nF,10%,50V,X7R,0603,TINNED,CER CAP/"		ROH	NA	0.06	PS_SDM30_L.LPL AUTOMATI	NO	
475970	6/18/2014	ZSCR	551	035-1	0	'054	A2C9257230093	NA	A2C00389000	1	1351	"C ELEC,AL,330uF,20%,35V"		ROH	NA	1.75	PS_SDM30_L.LPL AUTOMATI	NO	
