No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
341110	24/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C86733100	58				1095	circuit board assy TPM	NA	HALB	S.Real/AutoBF	1421.58	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342286	27/08/2013	ZSCR	551	030-1	NA	'015	5WY8547	0	A2C3144240093	4				1301	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	121.88	S1_TG1C DCX_JAIME JIMEN	NO	4970296381
342293	27/08/2013	ZSCR	551	030-1	NA	'015	5WY8547	NA	A2C3144240093	4				1301	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	121.88	S1_TG1C DCX_JAIME JIMEN	NO	4970296381
342299	27/08/2013	ZSCR	551	030-1	NA	'015	A2C31556000	NA	A2C3156350093	2				1301	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	61.42	S1_TG1C NISSAN_JAIME JI	NO	4970296402
342320	27/08/2013	ZSCR	551	034-2	NA	'015	A2C31556000	NA	A2C3156350093	5				1342	circuit board assy TPM LOCAPASE TOP	NA	HALB	S.Real	153.55	S1_TG1C NISSAN_JAIME JI	NO	4970296440
342377	27/08/2013	ZSCR	551	030-1	NA	'015	A2C30777500	NA	A2C8156880093	11				1301	circuit board assy TPM TOP	NA	HALB	S.Real	335.17	S1_TG1C NISSAN_JAIME JI	NO	4970296489
342381	27/08/2013	ZSCR	551	034-2	NA	'015	A2C30777500	NA	A2C8156880093	4				1342	circuit board assy TPM TOP	NA	HALB	S.Real	121.88	S1_TG1C NISSAN_JAIME JI	NO	4970296506
342383	27/08/2013	ZSCR	551	030-1	NA	'015	A2C30777500	NA	A2C8156880093	3				1301	circuit board assy TPM TOP	NA	HALB	S.Real	91.41	S1_TG1C NISSAN_JAIME JI	NO	4970296489
342489	27/08/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C53413503	45	3011	015		1095	valve core assy TPM	NA	ROH	NA	203.4	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342495	27/08/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C83792200	48	3011	015		1095	intermediate part	NA	ROH	NA	41.76	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342527	27/08/2013	ZSCR	551	040-2	NA	'050	6598177632	NA	6598172132	32	3011	015		1402	PCB FR4 DOUBLE SIDED PLATED TH	NA	ROH	NA	116.8	S1_CORPORATE_ADRIAN CEB	NO	4970296292
342557	27/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C8673350093	10				1095	pcb assy VDC Top	NA	HALB	S.Real	440.6	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342560	27/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C53413509	3	3011	015		1095	cover NC	NA	ROH	NA	1.77	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342566	27/08/2013	MB1A	551	034-9	B30301-00495	'015	NA	NA	A2C32880100	3				1095	module assy TPM	NA	HALB	S.Real/AutoBF	130.32	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342570	27/08/2013	MB1A	551	034-2	K96019	'015	NA	NA	A2C33098601	45				1095	housing assy TPM	NA	HALB	S.Real/AutoBF	1997.55	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342573	27/08/2013	MB1A	551	034-9	K96019	'015	NA	NA	A2C82360001	12				1095	module assy TPM	NA	HALB	S.Real/AutoBF	514.68	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342576	27/08/2013	MB1A	551	034-2	K96019	'015	NA	NA	A2C8673310093	17				1095	circuit board assy TPM	NA	HALB	S.Real/AutoBF	413.95	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342582	27/08/2013	MB1A	551	034-2	K96019	'015	NA	NA	A2C00052450	13	3011	015		1095	"EM OTH BATTERY/LITHIUM BATTERY HT, 3V, 3"	NA	ROH	NA	128.96	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342586	27/08/2013	MB1A	551	034-2	K96019	'015	NA	NA	A2C53413503	2	3011	015		1095	valve core assy TPM	NA	ROH	NA	9.04	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342589	27/08/2013	MB1A	551	034-2	K96019	'015	NA	NA	A2C86351600	6	3011	015		1095	housing assy TPM	NA	ROH	NA	33.3	S1_TIS 1D MMC_JAIME JIM	NO	4970295875
342593	27/08/2013	MB1A	551	022-2	B30301-00495	'015	NA	NA	A2C31749200	1				1095	wheel unit TPM 433 MHz	NA	HALB	S.Real/AutoBF	51.27	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342600	27/08/2013	MB1A	551	022-2	B30301-00495	'015	NA	NA	A2C00052450	1	3011	015		1095	"EM OTH BATTERY/LITHIUM BATTERY HT, 3V, 3"	NA	ROH	NA	9.92	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342600	27/08/2013	MB1A	551	022-2	B30301-00495	'015	NA	NA	A2C8673350093	1				1095	pcb assy VDC Top	NA	HALB	S.Real	44.06	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342608	27/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C86176500	15				1095	valve core assy TPM	NA	HALB	S.Real/AutoBF	88.05	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342611	27/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C8673350093	3				1095	pcb assy VDC Top	NA	HALB	S.Real	132.18	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342616	27/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C32880100	1				1095	module assy TPM	NA	HALB	S.Real/AutoBF	43.44	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
342620	27/08/2013	MB1A	551	034-2	B30301-00495	'015	NA	NA	A2C86176400	21	3011	015		1095	housing assy TPM	NA	ROH	NA	421.05	S1_TIS 1D CHRYSLER_JAIM	NO	4970295685
