No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
622471	21/05/2015	ZSCR	551	040-5	NA	'054	A2C37744300	NA	A2C89896600	4	3011	054	 	1405	multipoint connector 56/ 20P H 2SYS CE 3	NA	ROH	NA	110.16	PS_FIAT BRAZIL_.	NO	STOCK
622570	21/05/2015	ZSCR	551	040-5	NA	'054	5WK44396	NA	A2C91600900	8	3011	054	 	1405	multipoint connector124/ 89P H 2SYS 1018	NA	ROH	NA	465.44	PSAD_DAIMLER STAR2_ISC_	NO	VERSION
623109	24/05/2015	ZSCR	551	042-4	NA	'054	A2C38122200	NA	A2C32804000	1	3011	054	 	1424	multipoint connector 56/ 23P H 2SYS	NA	ROH	NA	27.98	PS_FIAT BRAZIL_.	NO	
623111	24/05/2015	ZSCR	551	042-4	NA	'054	A2C92704001	NA	A2C91600800	5	3011	054	 	1424	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	258.4	PSAD_DAIMLER STAR2_ISC_	NO	
623274	24/05/2015	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C8021660093	1	3011	054	 	1301	pcb assy HONHRS6 V04 TOP	NA	HALB	S.Real	272.68	PSAD_VW20_.	NO	
623276	24/05/2015	ZSCR	551	030-1	NA	'054	A2C96636001	NA	A2C9666060093	1	3011	054	 	1301	pcb assy PTFSPEED15 V01_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	
623280	24/05/2015	ZSCR	551	030-1	NA	'054	A2C96636001	NA	A2C9666060093	1	3011	054	 	1301	pcb assy PTFSPEED15 V01_1 SMD TOP	NA	HALB	S.Real	125.46	PS_FIAT BRAZIL_.	NO	
623338	24/05/2015	ZSCR	551	040-3	NA	'054	A2C38070400	NA	A2C3320950093	5	3011	054	 	1403	SMD A FIAT 310 V16 TOP	NA	HALB	S.Real	631	PS_FIAT BRAZIL_.	NO	4990393695
623386	24/05/2015	ZSCR	551	040-3	NA	'054	A2C30910808	NA	A2C53424040	28	3011	054	 	1403	"pan head screw M3,5 x 12,00 1268"	NA	ROH	NA	8.12	PSAD_VW20_.	NO	4990394797
623386	24/05/2015	ZSCR	551	040-3	NA	'054	A2C30910808	NA	A2C86055000	7	3011	054	 	1403	cover	NA	ROH	NA	73.22	PSAD_VW20_.	NO	4990394797
623491	25/05/2015	ZSCR	551	040-3	NA	'054	A2C30910808	NA	A2C86055000	1	3011	054	 	1403	cover	NA	ROH	NA	10.46	PSAD_VW20_.	NO	4990394797
623642	25/05/2015	ZSCR	551	050-1	NA	'054	5WK44830	NA	A2C53108387	10	3011	054	 	1501	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	2	PS_HONDA HRS6_J.JUAN CH	NO	4990394638
623642	25/05/2015	ZSCR	551	050-1	NA	'054	5WK44823	NA	A2C53397769	1	3011	054	 	1501	housing	NA	ROH	NA	22.86	PS_HONDA HRS6_J.JUAN CH	NO	4990394629
623642	25/05/2015	ZSCR	551	050-1	NA	'054	5WK44830	NA	A2C53397780	2	3011	054	 	1501	cover	NA	ROH	NA	6.76	PS_HONDA HRS6_J.JUAN CH	NO	4990394638
623642	25/05/2015	ZSCR	551	050-1	NA	'054	5WK44830	NA	A2C53405780	1	3011	054	 	1501	housing	NA	ROH	NA	30.79	PS_HONDA HRS6_J.JUAN CH	NO	4990394638
623643	25/05/2015	ZSCR	551	034-8	NA	'054	5WK44819	NA	A2C53355144	1	3011	054	 	1348	housing	NA	ROH	NA	4.27	OC_BOSE VW_A.ANA TAPIA-	NO	4990394603
623643	25/05/2015	ZSCR	551	034-8	NA	'054	A2C53364457	NA	A2C53355145	1	3011	054	 	1348	front plate	NA	ROH	NA	22.23	OC_BOSE VW_A.ANA TAPIA-	NO	
623650	25/05/2015	ZSCR	551	040-5	NA	'054	A2C92704001	NA	A2C53330109	1	3011	054	 	1405	socket	NA	ROH	NA	17.49	PSAD_DAIMLER STAR 2_A.A	NO	
623670	25/05/2015	ZSCR	551	034-4	NA	'054	5WK44763	NA	A2C8021730002	1	3011	054	 	1344	pcb assy HONHRS6 V06B	NA	HALB	S.Real	183.92	PS_HONDA HRS6_J.JUAN CH	NO	4990394567
