Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc.HeaderTex	No.Docto.SAP
ZSCR	551	022-2	NA	A2C53373417	NA	A2C53311707	17	1222	housing	NA	ROH	NA	45.39	S1TG1CHYUNDAI(APRO	4957734289
ZSCR	551	030-1	NA	5WY8547	NA	A2C30840500	48	1301	pcb	NA	ROH	NA	74.4	S1TG1CHYUNDAI(APRO	4957734331
ZSCR	551	030-1	NA	5WY8547	NA	A2C30840500	48	1301	pcb	NA	ROH	NA	74.4	S1TG1CDCX(APROBACI	4957734331
ZSCR	551	034-2	NA	A2C53429642	NA	A2C53429643	1	1342	SPDJB ANTENNA	NA	ROH	NA	39.44	S1SPDJBPABLOPALMER-C	4957735050
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429644	7	1342	"26 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	48.86	S1SPDJBPABLOPALMER-C	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429645	3	1342	"14 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	8.91	S1SPDJBPABLOPALMER-C	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429647	6	1342	"TERM,0CONT,CONNECTORS, DL 1.14MM AUTOHEA"	NA	ROH	NA	2.46	S1SPDJBPABLOPALMER-C	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429649	1	1342	"TERM,CONN,F,6CONT,CONNECTORS, FORK"	NA	ROH	NA	7.74	S1SPDJBPABLOPALMER-C	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53430028	5	1342	"ANTENNA SYSTEM,MISC,PDM"	NA	ROH	NA	14.4	S1SPDJBPABLOPALMER-C	4957735041
ZSCR	551	034-2	NA	5WK49308	NA	A2C00010398	2	1342	"EM OTH BATTERY/CR1616,57mAh,3V"	NA	ROH	NA	4.64	S5TXKJORGEAGUILAR	4957735162
ZSCR	551	034-2	NA	5WK49308	NA	A2C53215552	1	1342	sealing	NA	ROH	NA	8.61	S5TXKJORGEAGUILAR	4957735162
ZSCR	551	034-2	NA	5WK49308	NA	A2C53215555	2	1342	contact spring	NA	ROH	NA	0.52	S5TXKJORGEAGUILAR	4957735162
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216753	5	1342	cover	NA	ROH	NA	9.3	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	5WK49210	NA	A2C53216755	5	1342	housing	NA	ROH	NA	122.3	S5RXMJORGEAGUILAR	4957735137
ZSCR	551	034-2	NA	A2C80504700	NA	A2C53419609	2	1342	housing	NA	ROH	NA	111.56	S5FOBACURA09ENRIQUE	4957735065
ZSCR	551	030-1	NA	A2C31348400	NA	A2C31535000	40	1301	pcb HONDA KEY U	NA	ROH	NA	99.2	S5TXKJORGEAGUILAR	4957734499
ZSCR	551	030-1	NA	A2C53428272	NA	A2C00058681	48	1301	"MC9S12XET512J3MAG,A1,144LQFP,FLASH,16bit"	NA	ROH	NA	1545.6	S1TIPMLOGICPABLOPAL	4957734661
ZSCR	551	030-1	NA	A2C53428272	NA	A2C40016769	30	1301	"IC SMART POW/IC,PC33874BPNA,12 X 12 QFN"	NA	ROH	NA	477.3	S1TIPMLOGICPABLOPAL	4957734661
ZSCR	551	030-1	NA	A2C53428272	NA	A2C40006055	156	1301	"C ELEC,TA,15uF,20%,10V"	NA	ROH	NA	117	S1TIPMLOGICPABLOPAL	4957734661
ZSCR	551	034-2	NA	A2C53430026	NA	A2C00019139	84	1342	"47UF,10%,16V,SMD,TA,ELEC CAP/"	NA	ROH	NA	89.04	S1TIPMMEDIUMPABLOPA	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C40007720	26	1342	"D SUP/U5ZA27C(TE24L),10.50 X 16.00"	NA	ROH	NA	103.22	S1TIPMMEDIUMPABLOPA	4957735041
ZSCR	551	034-2	NA	A2C53430026	NA	A2C53429644	25	1342	"26 TERM,CONNECTORS, DL 0.64MM AUTOHEA"	NA	ROH	NA	126.75	S1TIPMMEDIUMPABLOPA	4957735041
