No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
118339	MB1A	551	034-2	B30301-00495	NA	NA	A2C34172200	3	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	197.82	4955970997
118340	MB1A	551	040-2	B30301-00495	NA	NA	A2C34172200	5	1095	TSG*GM PWE PCB TOP MAN. ASSEMB	NA	HALB	S.Real/AutoBF	329.7	4955970997
118349	ZSCR	551	030-1	NA	S122736090A	NA	A2C53386110	3	1301	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	799.77	4955970565
118352	ZSCR	551	030-1	NA	S122736040C	NA	A2C53334349	1	1301	module assy USM IKEY RHD	NA	HALB	S.Real	298.23	4955970325
118366	ZSCR	551	030-1	NA	S122736040C	NA	A2C53334349	1	1301	module assy USM IKEY RHD	NA	HALB	S.Real	298.23	4955970325
118367	ZSCR	551	040-2	NA	S122736040C	NA	A2C53334348	1	1402	control device USM ikey RHD	NA	HALB	S.Real/AutoBF	316.89	4955969687
118368	ZSCR	551	040-2	NA	S122736040C	NA	A2C53334349	1	1402	module assy USM IKEY RHD	NA	HALB	S.Real	298.23	4955969584
118571	ZSCR	551	040-1	NA	S122736040C	NA	A2C53334349	2	1401	module assy USM IKEY RHD	NA	HALB	S.Real	596.46	4955969763
118572	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	3	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	799.77	4955969801
118576	ZSCR	551	042-4	NA	A2C53334340	NA	A2C53251265B	3	1424	SMD Sub-assembly Nissan BCM P32M	NA	HALB	S.Real/AutoBF	227.52	4955969065
118594	ZSCR	551	040-2	NA	5WG50029	NA	A2C53390797T	1	1402	circuit board assy VW PQ35 V07 TOP	NA	HALB	S.Real	97.34	4955969649
118597	ZSCR	551	035-1	NA	5WG50028	NA	A2C53094643	3	1351	pin header 20P H 2R THP BK	NA	ROH	NA	20.34	4955969873
118624	ZSCR	551	030-1	NA	S122736039C	NA	A2C53251264	1	1301	SMD Sub-assembly Nissan D BCM P32M	NA	HALB	S.Real	166.92	4955970274
118625	ZSCR	551	030-1	NA	A2C53386110	NA	A2C53386111	1	1301	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955970412
118626	ZSCR	551	040-2	NA	A2C53386110	NA	A2C53386111	1	1402	electronic assy USM L42A NAM	NA	HALB	S.Real	185.63	4955969609
118629	ZSCR	551	030-1	NA	S180039013	NA	A2C53294661	2	1301	circuit board assy TLS_RF_TUN	NA	HALB	S.Real	111.72	4955970294
118660	ZSCR	551	035-1	NA	5WK50332	NA	A2C00045575	6	1351	"UPD76F0117GJ(A1),A1,LQFP144,FLASH,32bit,"	NA	ROH	NA	221.58	4955970062
118660	ZSCR	551	035-1	NA	5WK50331	NA	A2C00052547	40	1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	265.2	4955970031
118666	ZSCR	551	034-2	NA	5WK50329	NA	A2C53396776	3	1342	"""pcb assy VW POLO, VECU v018"""	NA	HALB	S.Real	903.75	4955970167
118671	ZSCR	551	035-1	NA	5WG50292	NA	A2C00046632	1	1351	"UPD76F0118GM(A1),A1,LQFP176,FLASH,32bit,"	NA	ROH	NA	45.56	4955969881
118671	ZSCR	551	035-1	NA	5WK50331	NA	A2C00047432	2	1351	"MICRO,SINGLE,10V,PIP-RELAY/V23086-R1802-"	NA	ROH	NA	7.86	4955970031
118671	ZSCR	551	035-1	NA	5WK50331	NA	A2C00047433	6	1351	"MICRO,SINGLE,12V,PIP-RELAY/V23086-R1805-"	NA	ROH	NA	39.66	4955970031
118671	ZSCR	551	035-1	NA	5WK50331	NA	A2C00047708	1	1351	"MICRO,TWIN,10V,PIP-RELAY/V23086-R2802-A8"	NA	ROH	NA	12.72	4955970031
118671	ZSCR	551	035-1	NA	5WK50331	NA	A2C00052547	72	1351	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	477.36	4955970031
118674	ZSCR	551	040-2	NA	S122736090A	NA	A2C53386110	2	1402	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	4955969695
118755	ZSCR	551	040-2	NA	5WK50331	NA	A2C53221115	3	1402	housing BK	NA	ROH	NA	56.61	4955969513
118755	ZSCR	551	040-2	NA	5WK50331	NA	A2C53221116	1	1402	housing BK	NA	ROH	NA	14.99	4955969513
118766	ZSCR	551	040-2	NA	5WK50244	NA	A2C53361994	1	1402	"""pcb assy VW POLO, VECU"""	NA	HALB	S.Real	336.29	4955969593
118774	ZSCR	551	040-2	NA	A2C53386110	NA	A2C53386111	3	1402	electronic assy USM L42A NAM	NA	HALB	S.Real	556.89	4955969609
118777	ZSCR	551	040-2	NA	A2C53386110	0	A2C53386111	3	1402	electronic assy USM L42A NAM	NA	HALB	S.Real	556.89	4955969609
118781	ZSCR	551	040-2	NA	S122736090A	NA	A2C53386110	2	1402	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	4955969695
118810	ZSCR	551	040-2	NA	S122736090A	NA	A2C00030496	4	1402	"EM OTH POLY FUSE/21*3*LS10.1,16V,14A"	NA	ROH	NA	14	4955969548
118810	ZSCR	551	040-2	NA	S122736090A	NA	A2C53158470	1	1402	pin header 3P V SP THP BK	NA	ROH	NA	5.01	4955969548
118836	ZSCR	551	040-5	NA	5WK48902C	NA	A2C53100307B	236	1405	SMD Subassembly Key Fob 3B 314.85MHz JP	NA	HALB	S.Real	12002.96	4955969100
118997	ZSCR	551	035-1	0	A2C53350875B	NA	6531672097	69	1351	IC/PHILIPS ADVANCED BASESTATIO		ROH	NA	389.16	4955970097
119008	ZSCR	551	035-1	0	A2C53361994T	NA	A2C00003685	646	1351	"R LIN,10K,5%,TK200,100mW,0603"		ROH	NA	6.46	4955970116
119060	ZSCR	551	040-1	NA	S122736090A	NA	A2C53386110	2	1401	pcb assy TLS_BCM_ USM L42A NAM	NA	HALB	S.Real/AutoBF	533.18	4955969801
119083	ZSCR	551	030-1	NA	5WG50027	NA	A2C53380883T	8	1301	circuit board assy VW PQ35 V05 TOP	NA	HALB	S.Real	741.6	4955970389
119085	ZSCR	551	030-1	NA	5WG50027	NA	A2C53287265	16	1301	pcb VW PQ35	NA	ROH	NA	204.64	4955970237
119085	ZSCR	551	030-1	NA	5WG50027	NA	A2C53380883T	8	1301	circuit board assy VW PQ35 V05 TOP	NA	HALB	S.Real	741.6	4955970389
119092	ZSCR	551	040-3	NA	5WK50437	NA	A2C53221115	1	1403	housing BK	NA	ROH	NA	18.87	4955969260
119093	ZSCR	551	040-3	NA	5WK50437	NA	A2C53398079	2	1403	"""pcb assy VW POLO, VECU v020"""	NA	HALB	S.Real	652.84	4955969427
