No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
310019	6/5/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C83377700	1	1095	HALB	S.Real/AutoBF	482.36	PSAD_LAND ROVER_JOSE OR	NO	4967937488
310028	6/5/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C82542000	1	1095	HALB	S.Real/AutoBF	238.97	PSAD_OPEL 4400_JOSE ORT	NO	4967937559
310030	6/5/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C82542000	1	1095	HALB	S.Real/AutoBF	238.97	PSAD_OPEL 4400_JOSE ORT	NO	4967937559
310074	6/5/2013	MB1A	551	034-3	K96019	'054	NA	NA	A2C82538700	1	1095	HALB	S.Real/AutoBF	245.74	PSAD_OPEL 4400_JOSE ORT	NO	4967937559
310078	6/5/2013	MB1A	551	042-4	K96019	'054	NA	NA	A2C83009000	4	1095	HALB	S.Real/AutoBF	2136.48	PSAD_OPEL 4400_JOSE ORT	NO	4967937559
310079	6/5/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C83047100	4	1095	ROH	NA	90.28	PSAD_LAND ROVER_JOSE OR	NO	4967937488
310089	6/5/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83009000	3	1095	HALB	S.Real/AutoBF	1602.36	PSAD_VOLVO P15_JOSE ORT	NO	4967937541
310091	6/5/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83435000	8	1095	ROH	NA	73.36	PSAD_DAIMLER STAR 2_ANA	NO	4967937360
310170	6/5/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C82542000	2	1095	HALB	S.Real/AutoBF	477.94	PSAD_OPEL 4400_JOSE ORT	NO	4967937559
310314	6/6/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83435000	2	1095	ROH	NA	18.34	PSAD_DAIMLER STAR 2_ANA	NO	4967937360
310332	6/6/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511620092	1	1095	HALB	S.Real/AutoBF	161.36	PSAD_DAIMLER STAR 2_ANA	NO	4967937360
310333	6/6/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511620092	1	1095	HALB	S.Real/AutoBF	161.36	PSAD_DAIMLER STAR 2_ANA	NO	4967937360
310334	6/6/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C3511620092	1	1095	HALB	S.Real/AutoBF	161.36	PSAD_DAIMLER STAR 2_ANA	NO	4967937360
